Player,Class,Pos,Summary,Player-additional
Gavin Hardison,SO,QB,198 Cmp 357 Att 3218 Yds 18 TD,gavin-hardison-1
Calvin Brownholtz,SO,QB,2 Cmp 7 Att 60 Yds 1 TD,calvin-brownholtz-1
Isaiah Bravo,SR,QB,,isaiah-bravo-1
Jakolby Longino,FR,QB,,jakolby-longino-1
Kevin Hurley,SO,QB,,kevin-hurley-1
Zach Rodriguez,FR,QB,,zach-rodriguez-2
Reynaldo Flores,JR,RB,32 Att 130 Yds 4.1 Avg,reynaldo-flores-1
Ronald Awatt,JR,RB,159 Att 844 Yds 5.3 Avg,ronald-awatt-1
Deion Hankins,FR,RB,121 Att 458 Yds 3.8 Avg,deion-hankins-1
Quadraiz Wadley,SR,RB,34 Att 139 Yds 4.1 Avg,quadraiz-wadley-1
Willie Eldridge,FR,RB,23 Att 123 Yds 5.3 Avg,willie-eldridge-1
Jacob Cowing,SO,WR,69 Rec 1354 Yds 19.6 Avg,jacob-cowing-1
Jalen Joseph,FR,WR,,jalen-joseph-1
Justin Garrett,SR,WR,50 Rec 685 Yds 13.7 Avg,justin-garrett-3
Tyrin Smith,SO,WR,33 Rec 570 Yds 17.3 Avg,tyrin-smith-1
Walter Dawn,SR,WR,3 Rec 27 Yds 9.0 Avg,walter-dawn-1
Nick Ast,JR,WR,2 Rec 15 Yds 7.5 Avg,nick-ast-1
Jeremiah Ballard,FR,WR,1 Rec 16 Yds 16.0 Avg,jeremiah-ballard-1
Jostein Clarke,FR,WR,,jostein-clarke-1
Penny Baker,FR,WR,,penny-baker-1
Miles Banks,JR,WR,,miles-banks-1
Davis Burns,FR,WR,,davis-burns-1
Mister Chavis,FR,WR,,mister-chavis-1
Josh Farr,JR,WR,,josh-farr-2
Lucas Flores,FR,WR,,lucas-flores-1
Matt Malewitz,JR,WR,,matt-malewitz-1
Jonathan Patrick,SO,WR,,jonathan-patrick-1
Khalil Warfield,FR,WR,,khalil-warfield-1
Trent Thompson,JR,TE,9 Rec 133 Yds 14.8 Avg,trent-thompson-2
Juan Camacho,FR,TE,,juan-camacho-1
Robert Cervantes,FR,TE,,robert-cervantes-1
Devon Daich,JR,TE,,devon-daich-1
Wyatt Dyer,FR,TE,,wyatt-dyer-1
Zach Fryar,FR,TE,,zach-fryar-1
Julian Lopez,FR,TE,,julian-lopez-1
Luke Soto,FR,TE,,luke-soto-1
