Player,Class,Pos,Summary,Player-additional
Brennan Armstrong,JR,QB,326 Cmp 500 Att 4449 Yds 31 TD,brennan-armstrong-1
Jay Woolfolk,FR,QB,22 Cmp 41 Att 245 Yds 0 TD,jay-woolfolk-1
Keytaon Thompson,SR,QB,1 Cmp 4 Att -1 Yds 0 TD,keytaon-thompson-1
Ira Armstead,FR,QB,0 Cmp 2 Att 0 Yds 0 TD,ira-armstead-1
Jacob Rodriguez,FR,QB,,jacob-rodriguez-1
Wayne Taulapapa,SR,RB,62 Att 324 Yds 5.2 Avg,wayne-taulapapa-1
Mike Hollins,SO,RB,49 Att 213 Yds 4.3 Avg,mike-hollins-1
Devin Darrington,SR,RB,32 Att 237 Yds 7.4 Avg,devin-darrington-1
Ronnie Walker Jr.,SR,RB,5 Att 32 Yds 6.4 Avg,ronnie-walker-jr-1
Chris Barfield,FR,RB,,chris-barfield-1
Amaad Foston,FR,RB,,amaad-foston-1
Dontayvion Wicks,SO,WR,57 Rec 1203 Yds 21.1 Avg,dontayvion-wicks-1
Billy Kemp,SR,WR,74 Rec 725 Yds 9.8 Avg,billy-kemp-2
Ra'Shaun Henry,SR,WR,34 Rec 603 Yds 17.7 Avg,rashaun-henry-1
Malachi Fields,FR,WR,11 Rec 172 Yds 15.6 Avg,malachi-fields-1
Demick Starling,SO,WR,4 Rec 93 Yds 23.3 Avg,demick-starling-1
Jaylon Baker,JR,WR,,jaylon-baker-1
Nathaniel Beal III,SO,WR,,nathaniel-beal-iii-1
Josh Clifford,JR,WR,,josh-clifford-1
Ethan Davies,FR,WR,,ethan-davies-1
Jesiah Davis,FR,WR,,jesiah-davis-1
Lavel Davis,SO,WR,,lavel-davis-1
Artie Henry,SR,WR,,artie-henry-2
Zack Kindel,SO,WR,,zack-kindel-1
Hayden Mitchell,SR,WR,,hayden-mitchell-1
Ugo Obasi,JR,WR,,ugo-obasi-1
Jared Rayman,SO,WR,,jared-rayman-1
Dillon Tennyson,FR,WR,,dillon-tennyson-1
Luke Wentz,SO,WR,,luke-wentz-1
Jelani Woods,SR,TE,44 Rec 598 Yds 13.6 Avg,jelani-woods-1
Grant Misch,JR,TE,4 Rec 20 Yds 5.0 Avg,grant-misch-1
Henry Duke,FR,TE,,henry-duke-2
Mike Kosar,SO,TE,,mike-kosar-1
Joshua Rawlings,FR,TE,,joshua-rawlings-1
Jack Witmer,FR,TE,,jack-witmer-1
Sackett Wood Jr.,SO,TE,,sackett-wood-jr-1
Ty Furnish,FR,OL,,ty-furnish-1
Jestus Johnson III,FR,OL,,jestus-johnson-iii-1
Noah Josey,FR,OL,,noah-josey-1
Grant Lanham,FR,OL,,grant-lanham-1
Charlie Patterson,FR,OL,,charlie-patterson-1
Logan Taylor,FR,OL,,logan-taylor-2
Justin Duenkel,SO,K,,justin-duenkel-1
Olasunkonmi Agunloye,FR,DL,,olasunkonmi-agunloye-1
Adeeb Atariwa,SR,DL,,adeeb-atariwa-1
Jahmeer Carter,SO,DL,,jahmeer-carter-1
Michael Diatta,FR,DL,,michael-diatta-1
Nusi Malani,SO,DL,,nusi-malani-1
Bryce Carter,FR,DL,,bryce-carter-1
Hugh Laughlin,FR,DL,,hugh-laughlin-1
Samson Reed,JR,DL,,samson-reed-1
Lorenz Terry,FR,DL,,lorenz-terry-1
Josh Ahern,SO,LB,,josh-ahern-1
Elliott Brown,SR,LB,,elliott-brown-1
Mike Green,FR,LB,,mike-green-14
T.C. Harrison,JR,LB,,tc-harrison-1
Jonathan Horton,FR,LB,,jonathan-horton-1
James Jackson,FR,LB,,james-jackson-8
Nick Jackson,JR,LB,,nick-jackson-2
D'Sean Perry,SO,LB,,dsean-perry-1
Hunter Stewart,SO,LB,,hunter-stewart-1
Noah Taylor,SR,LB,,noah-taylor-1
West Weeks,FR,LB,,west-weeks-1
Ryan Attaway,FR,LB,,ryan-attaway-1
Chico Bennett Jr.,JR,LB,,chico-bennett-jr-1
Sam Brady,FR,LB,,sam-brady-2
Kendall Cross,FR,LB,,kendall-cross-1
Jack Hardy,FR,LB,,jack-hardy-1
Joseph Holland,FR,LB,,joseph-holland-1
Josh McCarron,FR,LB,,josh-mccarron-1
Jairus Satiu,SO,LB,,jairus-satiu-1
Brayden Sheffer,FR,LB,,brayden-sheffer-1
Chayce Chalmers,SO,DB,,chayce-chalmers-1
Antonio Clary,JR,DB,,antonio-clary-1
Fentrell Cypress II,SO,DB,,fentrell-cypress-ii-1
Elijah Gaines,FR,DB,,elijah-gaines-1
Anthony Johnson,JR,DB,,anthony-johnson-14
Donovan Johnson,FR,DB,,donovan-johnson-2
Coen King,JR,DB,,coen-king-1
Langston Long,FR,DB,,langston-long-1
Jonas Sanker,FR,DB,,jonas-sanker-1
Joseph White,JR,DB,,joseph-white-1
Javin Burke,FR,DB,,javin-burke-1
Joe Comer,SR,DB,,joe-comer-1
Jake Dewease,SO,DB,,jake-dewease-1
Tenyeh Dixon,SO,DB,,tenyeh-dixon-1
Micah Gaffney,FR,DB,,micah-gaffney-1
Dave Herard,FR,DB,,dave-herard-1
Aidan Ryan,FR,DB,,aidan-ryan-1
William Simpkins III,FR,DB,,william-simpkins-iii-1
Brendan Farrell,SO,P,,brendan-farrell-1
Jacob Finn,SR,P,,jacob-finn-1
Mandy Alonso,SR,DE,,mandy-alonso-1
Joe Bissinger,JR,G,,joe-bissinger-1
Joey Blount,SR,S,,joey-blount-1
Darrius Bratton,SR,CB,,darrius-bratton-1
Devante Cross,SR,S,,devante-cross-1
Aaron Faumui,JR,DT,,aaron-faumui-1
Tucker Finkelston,JR,LS,,tucker-finkelston-1
Nick Grant,SR,CB,,nick-grant-1
Josh Hayes,SR,CB,,josh-hayes-2
Perris Jones,JR,CB,,perris-jones-1
Ryan Nelson,SR,T,,ryan-nelson-2
Jordan Redmond,JR,NT,,jordan-redmond-1
Ben Smiley III,SO,DE,,ben-smiley-iii-1
Karien Al Soufi,SO,G,,karien-al-soufi-1
Sam Bond,FR,DE,,sam-bond-1
Luke Byrne,FR,LS,,luke-byrne-1
Danny Caracciolo,SR,LS,,danny-caracciolo-1
Tommy Christ,SR,DE,,tommy-christ-1
Derek Devine,JR,T,,derek-devine-2
Lee Dudley,SO,LS,,lee-dudley-1
Chris Glaser,SR,G,,chris-glaser-1
Bobby Haskins,SR,T,,bobby-haskins-1
Luke Johnson,FR,T,,luke-johnson-4
Joey Kagel,FR,C,,joey-kagel-1
Jack Keenan,JR,T,,jack-keenan-1
Darren Klein,JR,S,,darren-klein-1
Jonathon Leech,SO,T,,jonathon-leech-1
Colby McGhee,FR,T,,colby-mcghee-1
Sean Moore,SO,CB,,sean-moore-2
Nate Morris,FR,DE,,nate-morris-2
Victor Oluwatimi,SR,C,,victor-oluwatimi-1
Hunter Pearson,JR,PK,,hunter-pearson-1
Ryan Swoboda,SR,T,,ryan-swoboda-1
Zachary Teter,SO,G,,zachary-teter-1
Andrew Williams,FR,DE,,andrew-williams-7
