Player,Class,Pos,Summary,Player-additional
Sam Hartman,SO,QB,299 Cmp 508 Att 4228 Yds 39 TD,sam-hartman-1
Michael Kern,FR,QB,2 Cmp 5 Att 67 Yds 0 TD,michael-kern-1
Leo Kelly,FR,QB,1 Cmp 4 Att 8 Yds 0 TD,leo-kelly-1
Mitch Griffis,FR,QB,0 Cmp 2 Att 0 Yds 0 TD,mitch-griffis-1
Santino Marucci,FR,QB,,santino-marucci-1
Billy Edwards Jr.,FR,QB,,billy-edwards-jr-1
Christian Beal,JR,RB,131 Att 604 Yds 4.6 Avg,christian-beal-1
Christian Turner,SO,RB,126 Att 506 Yds 4.0 Avg,christian-turner-1
Justice Ellison,FR,RB,107 Att 541 Yds 5.1 Avg,justice-ellison-1
Quinton Cooley,FR,RB,45 Att 156 Yds 3.5 Avg,quinton-cooley-1
Ahmani Marshall,FR,RB,23 Att 103 Yds 4.5 Avg,ahmani-marshall-1
Zach Igwebe,FR,RB,,zach-igwebe-1
Jack Porter,FR,RB,,jack-porter-1
Will Towns,FR,RB,,will-towns-1
Jaquarii Roberson,JR,WR,71 Rec 1078 Yds 15.2 Avg,jaquarii-roberson-1
Taylor Morin,FR,WR,43 Rec 621 Yds 14.4 Avg,taylor-morin-1
A.T. Perry,SO,WR,71 Rec 1293 Yds 18.2 Avg,at-perry-1
Donald Stewart,SR,WR,33 Rec 388 Yds 11.8 Avg,donald-stewart-2
Ke'Shawn Williams,FR,WR,27 Rec 404 Yds 15.0 Avg,keshawn-williams-2
Jahmal Banks,FR,WR,6 Rec 98 Yds 16.3 Avg,jahmal-banks-1
Dez Williams,FR,WR,1 Rec 8 Yds 8.0 Avg,dez-williams-1
Jackson Hensley,FR,WR,,jackson-hensley-1
Jarrett Brown,FR,WR,,jarrett-brown-2
Teddy Centofanti,SO,WR,,teddy-centofanti-1
Andy Elkins Jr.,FR,WR,,andy-elkins-jr-1
Walker Ferguson,FR,WR,,walker-ferguson-1
Horatio Fields,FR,WR,,horatio-fields-1
Christian Greene,FR,WR,,christian-greene-1
Donavon Greene,FR,WR,,donavon-greene-1
Nick Ragano,FR,WR,,nick-ragano-1
Zavier Simpson,FR,WR,,zavier-simpson-1
Blake Whiteheart,SO,TE,15 Rec 185 Yds 12.3 Avg,blake-whiteheart-1
Brandon Chapman,SR,TE,12 Rec 85 Yds 7.1 Avg,brandon-chapman-1
Cameron Hite,FR,TE,1 Rec 9 Yds 9.0 Avg,cameron-hite-1
Trey Boll,FR,TE,,trey-boll-1
Ryan Dupont,FR,TE,,ryan-dupont-1
Gavin Ellis,FR,TE,,gavin-ellis-2
Michael Frogge,FR,TE,,michael-frogge-1
Graham Murphey,FR,TE,,graham-murphey-1
Alec Rowan,SO,TE,,alec-rowan-1
Loic Nya,JR,OL,,loic-nya-1
Sean Maginn,JR,OL,,sean-maginn-1
Zach Tom,JR,OL,,zach-tom-1
Spencer Clapp,JR,OL,,spencer-clapp-1
Jaydon Collins,FR,OL,,jaydon-collins-1
Terrance Davis,SR,OL,,terrance-davis-1
CJ Elmonus,FR,OL,,cj-elmonus-1
Christian Forbes,FR,OL,,christian-forbes-1
DeVonte Gordon,JR,OL,,devonte-gordon-1
Thomas Grippo,FR,OL,,thomas-grippo-1
Matt Gulbin,FR,OL,,matt-gulbin-1
Michael Jurgens,SO,OL,,michael-jurgens-1
Je'Vionte' Nash,SR,OL,,jevionte-nash-1
Jake Pascual,FR,OL,,jake-pascual-1
Luke Petitbon,FR,OL,,luke-petitbon-1
Erik Russell,FR,OL,,erik-russell-1
