Player,Class,Pos,Summary,Player-additional
Dylan Morris,FR,QB,220 Cmp 363 Att 2458 Yds 14 TD,dylan-morris-1
Sam Huard,FR,QB,22 Cmp 42 Att 241 Yds 1 TD,sam-huard-1
Patrick O'Brien,SR,QB,1 Cmp 3 Att 1 Yds 0 TD,patrick-obrien-1
Tyson Lang,FR,QB,,tyson-lang-1
Jesse Martineau,SO,QB,,jesse-martineau-1
Camden Sirmon,FR,QB,,camden-sirmon-1
Cameron Davis,FR,RB,85 Att 308 Yds 3.6 Avg,cameron-davis-3
Kamari Pleasant,SR,RB,57 Att 308 Yds 5.4 Avg,kamari-pleasant-1
Richard Newton,SO,RB,39 Att 138 Yds 3.5 Avg,richard-newton-1
Jay'veon Sunday,FR,RB,8 Att 10 Yds 1.3 Avg,jayveon-sunday-1
Camden Verstrate,FR,RB,,camden-verstrate-1
Jalen McMillan,FR,WR,39 Rec 470 Yds 12.1 Avg,jalen-mcmillan-1
Giles Jackson,SO,WR,8 Rec 87 Yds 10.9 Avg,giles-jackson-1
Rome Odunze,FR,WR,41 Rec 415 Yds 10.1 Avg,rome-odunze-1
Terrell Bynum,JR,WR,26 Rec 436 Yds 16.8 Avg,terrell-bynum-1
Taj Davis,FR,WR,26 Rec 329 Yds 12.7 Avg,taj-davis-1
Ja'lynn Polk,FR,WR,5 Rec 114 Yds 22.8 Avg,jalynn-polk-1
Sawyer Racanelli,FR,WR,,sawyer-racanelli-1
Charlie Fuller,FR,WR,,charlie-fuller-1
Brennan Holmes,JR,WR,,brennan-holmes-1
Nick Juran,FR,WR,,nick-juran-1
David Pritchard,SO,WR,,david-pritchard-1
Jabez Tinae,FR,WR,,jabez-tinae-1
Mason Wheeler,FR,WR,,mason-wheeler-1
Jack Westover,SO,TE,6 Rec 56 Yds 9.3 Avg,jack-westover-1
Javon Forward,FR,TE,,javon-forward-1
Cade Otton,JR,TE,28 Rec 250 Yds 8.9 Avg,cade-otton-1
Devin Culp,SO,TE,20 Rec 222 Yds 11.1 Avg,devin-culp-1
Mark Redman,FR,TE,1 Rec 5 Yds 5.0 Avg,mark-redman-1
Caden Jumper,FR,TE,,caden-jumper-1
Quentin Moore,SO,TE,,quentin-moore-1
Zeke Pelluer,FR,TE,,zeke-pelluer-1
Wilson Schwartz,FR,TE,,wilson-schwartz-1
Carson Smith,FR,TE,,carson-smith-1
Griffin Waiss,FR,TE,,griffin-waiss-1
Mason West,FR,TE,,mason-west-1
Ryan Bowman,SR,OL,,ryan-bowman-1
Luke Wattenberg,SR,OL,,luke-wattenberg-1
Ulumoo Ale,SO,OL,,ulumoo-ale-1
Henry Bainivalu,JR,OL,,henry-bainivalu-1
Julius Buelow,FR,OL,,julius-buelow-1
Victor Curne,SO,OL,,victor-curne-1
Troy Fautanu,FR,OL,,troy-fautanu-1
Gage Harty,SO,OL,,gage-harty-1
Geirean Hatchett,FR,OL,,geirean-hatchett-1
Noah Hellyer,SO,OL,,noah-hellyer-1
Nate Kalepo,FR,OL,,nate-kalepo-1
Jaxson Kirkland,JR,OL,,jaxson-kirkland-1
Corey Luciano,JR,OL,,corey-luciano-1
Matteo Mele,SO,OL,,matteo-mele-1
Gaard Memmelaar,FR,OL,,gaard-memmelaar-1
Myles Murao,FR,OL,,myles-murao-1
Samuel Peacock,FR,OL,,samuel-peacock-1
Will Pliska,SO,OL,,will-pliska-1
Owen Prentice,FR,OL,,owen-prentice-1
Roger Rosengarten,FR,OL,,roger-rosengarten-1
Chase Skuza,JR,OL,,chase-skuza-1
Robert Wyrsch,FR,OL,,robert-wyrsch-1
Jacob Bandes,FR,DL,,jacob-bandes-1
Draco Bynum,SO,DL,,draco-bynum-1
Tuli Letuligasenoa,SO,DL,,tuli-letuligasenoa-1
Kuao Peihopa,FR,DL,,kuao-peihopa-1
Sam Taimani,SO,DL,,sam-taimani-1
Faatui Tuitele,FR,DL,,faatui-tuitele-1
Voi Tunuufi,FR,DL,,voi-tunuufi-1
Siaosi Finau,FR,DL,,siaosi-finau-1
Bradley McGannon,FR,DL,,bradley-mcgannon-1
Noa Ngalu,FR,DL,,noa-ngalu-1
Carson Bruener,FR,LB,,carson-bruener-1
Daniel Heimuli,FR,LB,,daniel-heimuli-1
Jordan Lolohea,FR,LB,,jordan-lolohea-1
Jeremiah Martin,JR,LB,,jeremiah-martin-2
Cooper McDonald,FR,LB,,cooper-mcdonald-1
Jackson Sirmon,SO,LB,,jackson-sirmon-1
Sav'ell Smalls,FR,LB,,savell-smalls-1
MJ Tafisi,SO,LB,,mj-tafisi-1
Bralen Trice,FR,LB,,bralen-trice-1
Zion Tupuola-Fetui,SO,LB,,zion-tupuola-fetui-1
Alphonzo Tuputala,FR,LB,,alphonzo-tuputala-1
Edefuan Ulofoshio,SO,LB,,edefuan-ulofoshio-1
Miki Ah You,FR,LB,,miki-ah-you-1
Drew Flower,FR,LB,,drew-flower-1
Ruperake Fuavai,FR,LB,,ruperake-fuavai-1
Makana Haynes,FR,LB,,makana-haynes-1
Maurice Heims,FR,LB,,maurice-heims-1
Ben Hines,SO,LB,,ben-hines-1
Milton Hopikins Jr.,FR,LB,,milton-hopikins-jr-1
Will Latu,FR,LB,,will-latu-1
Anthony Ward,FR,LB,,anthony-ward-1
Davon Banks,FR,DB,,davon-banks-1
Alex Cook,JR,DB,,alex-cook-1
Jacobe Covington,FR,DB,,jacobe-covington-1
Kamren Fabiculanan,FR,DB,,kamren-fabiculanan-1
Kyler Gordon,SO,DB,,kyler-gordon-1
Dominique Hampton,SO,DB,,dominique-hampton-1
Julius Irvin,SO,DB,,julius-irvin-1
Elijah Jackson,FR,DB,,elijah-jackson-1
Trent McDuffie,SO,DB,,trent-mcduffie-1
Mishael Powell,FR,DB,,mishael-powell-1
Brendan Radley-Hiles,JR,DB,,brendan-radley-hiles-1
Asa Turner,SO,DB,,asa-turner-1
Cameron Williams,SO,DB,,cameron-williams-2
Makell Esteen,FR,DB,,makell-esteen-1
Kasen Kinchen,FR,DB,,kasen-kinchen-1
Dyson McCutcheon,FR,DB,,dyson-mccutcheon-1
Vincent Nunley,FR,DB,,vincent-nunley-1
Meki Pei,FR,DB,,meki-pei-1
James Smith,FR,DB,,james-smith-10
Zakhari Spears,FR,DB,,zakhari-spears-1
Sean Toomey-Stout,FR,DB,,sean-toomey-stout-1
Race Porter,SR,P,,race-porter-1
Triston Brown,SO,P,,triston-brown-1
Sean McGrew,SR,UT,,sean-mcgrew-1
Jaden Green,FR,LS,,jaden-green-1
Peyton Henry,JR,PK,,peyton-henry-1
Tim Horn,SO,PK,,tim-horn-3
Sam Adams II,FR,SB,,sam-adams-ii-1
Caleb Berry,FR,SB,,caleb-berry-1
Capassio Cherry,SO,SB,,capassio-cherry-1
