Player,Class,Pos,Summary,Player-additional
Jarret Doege,SR,QB,272 Cmp 417 Att 3048 Yds 19 TD,jarret-doege-1
Garrett Greene,FR,QB,16 Cmp 26 Att 147 Yds 0 TD,garrett-greene-1
Will Crowder,FR,QB,2 Cmp 2 Att 28 Yds 0 TD,will-crowder-1
Matt Cavallaro,SO,QB,,matt-cavallaro-1
Leddie Brown,SR,RB,223 Att 1065 Yds 4.8 Avg,leddie-brown-1
Tony Mathis,SO,RB,72 Att 312 Yds 4.3 Avg,tony-mathis-2
Justin Johnson Jr.,FR,RB,24 Att 90 Yds 3.8 Avg,justin-johnson-jr-1
A'varius Sparrow,FR,RB,3 Att 4 Yds 1.3 Avg,avarius-sparrow-1
Markquan Rucker,FR,RB,2 Att 6 Yds 3.0 Avg,markquan-rucker-1
Jaylen Anderson,FR,RB,,jaylen-anderson-1
Owen Chafin,SO,RB,,owen-chafin-1
Winston Wright,JR,WR,63 Rec 688 Yds 10.9 Avg,winston-wright-1
Sam James,JR,WR,42 Rec 505 Yds 12.0 Avg,sam-james-1
Isaiah Esdale,SR,WR,29 Rec 362 Yds 12.5 Avg,isaiah-esdale-1
Bryce Ford-Wheaton,JR,WR,42 Rec 575 Yds 13.7 Avg,bryce-ford-wheaton-1
Sean Ryan,JR,WR,25 Rec 399 Yds 16.0 Avg,sean-ryan-2
Kaden Prather,FR,WR,12 Rec 175 Yds 14.6 Avg,kaden-prather-1
Reese Smith,FR,WR,12 Rec 124 Yds 10.3 Avg,reese-smith-1
Sam Brown,FR,WR,2 Rec 16 Yds 8.0 Avg,sam-brown-5
Preston Fox,FR,WR,1 Rec 8 Yds 8.0 Avg,preston-fox-1
Graeson Malashevich,SO,WR,,graeson-malashevich-1
CJ Cole,FR,WR,,cj-cole-1
Devell Washington,FR,WR,,devell-washington-1
Mike O'Laughlin,JR,TE,11 Rec 65 Yds 5.9 Avg,mike-olaughlin-1
T.J. Banks,JR,TE,6 Rec 51 Yds 8.5 Avg,tj-banks-1
Treylan Davis,FR,TE,,treylan-davis-1
Charles Finley,FR,TE,,charles-finley-1
Trace Weitzel,FR,TE,,trace-weitzel-1
Victor Wikstrom,FR,TE,,victor-wikstrom-1
Wyatt Milum,FR,OL,,wyatt-milum-1
Doug Nester,JR,OL,,doug-nester-2
Donavan Beaver,SO,OL,,donavan-beaver-1
Bryce Biggs,FR,OL,,bryce-biggs-1
Tyler Connolly,SO,OL,,tyler-connolly-1
Noah Drummond,JR,OL,,noah-drummond-1
Zach Frazier,SO,OL,,zach-frazier-1
James Gmiter,JR,OL,,james-gmiter-1
Ja'Quay Hubbard,SO,OL,,jaquay-hubbard-1
John Hughes,JR,OL,,john-hughes-3
Nick Malone,SO,OL,,nick-malone-1
Chris Mayo,FR,OL,,chris-mayo-1
Parker Moorer,SO,OL,,parker-moorer-1
Jackson Oxley,FR,OL,,jackson-oxley-1
Tomas Rimac,FR,OL,,tomas-rimac-1
Shawn See,FR,OL,,shawn-see-1
Jordan White,FR,OL,,jordan-white-5
Brandon Yates,SO,OL,,brandon-yates-1
Casey Legg,JR,K,,casey-legg-1
Evan Staley,SR,K,,evan-staley-2
Tyler Sumpter,SR,K,,tyler-sumpter-2
Lieghton Bechdel,SO,K,,lieghton-bechdel-1
Danny King,FR,K,,danny-king-1
Kolton McGhee,SO,K,,kolton-mcghee-1
Kaulin Parris,FR,K,,kaulin-parris-1
Taijh Alston,JR,DL,,taijh-alston-1
Lanell Carr,FR,DL,,lanell-carr-1
Brayden Dudley,FR,DL,,brayden-dudley-1
Jordan Jefferson,SO,DL,,jordan-jefferson-4
Tavis Lee,JR,DL,,tavis-lee-1
Sean Martin,FR,DL,,sean-martin-3
Akheem Mesidor,SO,DL,,akheem-mesidor-1
Darel Middleton,SR,DL,,darel-middleton-1
Taurus Simmons,FR,DL,,taurus-simmons-1
Dante Stills,SR,DL,,dante-stills-1
Jalen Thornton,SO,DL,,jalen-thornton-1
Edward Vesterinen,FR,DL,,edward-vesterinen-1
Rhett Heston,SO,DL,,rhett-heston-1
Cam Rice,FR,DL,,cam-rice-1
Hammond Russell IV,FR,DL,,hammond-russell-iv-1
Derek Ambrosino,FR,LB,,derek-ambrosino-1
Jared Bartlett,SO,LB,,jared-bartlett-1
Josh Chandler,SR,LB,,josh-chandler-1
Vandarius Cowan,SR,LB,,vandarius-cowan-1
Lance Dixon,SO,LB,,lance-dixon-2
Ja'Corey Hammett,FR,LB,,jacorey-hammett-1
Exree Loe,JR,LB,,exree-loe-1
Deshawn Stevens,SR,LB,,deshawn-stevens-1
Eddie Watkins,FR,LB,,eddie-watkins-1
Jasir Cox,,LB,,jasir-cox-1
Jairo Faverus,FR,LB,,jairo-faverus-1
Jax McCauley,FR,LB,,jax-mccauley-1
Wil Schoonover,FR,LB,,wil-schoonover-1
James Thomas,FR,LB,,james-thomas-4
Aubrey Burks,FR,DB,,aubrey-burks-1
Caleb Coleman,FR,DB,,caleb-coleman-2
Evan Matthes,JR,P,,evan-matthes-1
Alonzo Addae,SR,S,,alonzo-addae-2
Nicktroy Fortune,JR,CB,,nicktroy-fortune-1
J.P. Hadley,JR,LS,,jp-hadley-1
Sean Mahone,SR,S,,sean-mahone-3
Davis Mallinger,FR,S,,davis-mallinger-1
Kerry Martin Jr.,SO,S,,kerry-martin-jr-1
Jackie Matthews,JR,CB,,jackie-matthews-1
Saint McLeod,FR,S,,saint-mcleod-1
Daryl Porter Jr.,FR,CB,,daryl-porter-jr-1
Malachi Ruffin,JR,S,,malachi-ruffin-1
Andrew Wilson-Lamp,FR,CB,,andrew-wilson-lamp-1
Charles Woods,JR,CB,,charles-woods-4
Scottie Young,SR,S,,scottie-young-2
L'Trell Bradley,JR,S,,ltrell-bradley-1
Austin Brinkman,FR,LS,,austin-brinkman-1
Quamaezius Mosby,SR,S,,quamaezius-mosby-1
Naim Muhammad,SO,CB,,naim-muhammad-1
Avery Wilcox,FR,S,,avery-wilcox-1
