Player,Class,Pos,Summary,Player-additional
Kaleb Eleby,SO,QB,230 Cmp 362 Att 3277 Yds 23 TD,kaleb-eleby-1
Jack Salopek,FR,QB,3 Cmp 5 Att 20 Yds 0 TD,jack-salopek-1
Mareyohn Hrabowski,FR,QB,0 Cmp 1 Att 0 Yds 0 TD,mareyohn-hrabowski-1
Lucas Hartings,FR,QB,,lucas-hartings-1
Nick Kargman,FR,QB,,nick-kargman-1
La'darius Jefferson,JR,RB,185 Att 836 Yds 4.5 Avg,ladarius-jefferson-1
Sean Tyler,SO,RB,178 Att 1150 Yds 6.5 Avg,sean-tyler-1
Jaxson Kincaide,SR,RB,84 Att 480 Yds 5.7 Avg,jaxson-kincaide-1
Zahir Abdus-Salaam,FR,RB,20 Att 90 Yds 4.5 Avg,zahir-abdus-salaam-1
Trae Allen,JR,RB,4 Att 14 Yds 3.5 Avg,trae-allen-1
Kentrell Beck,FR,RB,,kentrell-beck-1
Ra'Sean Davie,SR,RB,,rasean-davie-1
Christian Singleton,FR,RB,,christian-singleton-1
Skyy Moore,SO,WR,95 Rec 1292 Yds 13.6 Avg,skyy-moore-1
Corey Crooms,SO,WR,44 Rec 768 Yds 17.5 Avg,corey-crooms-1
Jaylen Hall,JR,WR,46 Rec 752 Yds 16.3 Avg,jaylen-hall-1
Bryce Nunnelly,SR,WR,10 Rec 114 Yds 11.4 Avg,bryce-nunnelly-1
Anthony Sambucci,FR,WR,,anthony-sambucci-1
Henry Wilson,FR,WR,,henry-wilson-2
Malique Dieudonne,FR,WR,,malique-dieudonne-1
Elliott Grashuis,FR,WR,,elliott-grashuis-1
Cam Hedgecock,FR,WR,,cam-hedgecock-1
Kaevion Mack,FR,WR,,kaevion-mack-1
Tyren Mason,FR,WR,,tyren-mason-1
Jaali Parker,FR,WR,,jaali-parker-1
Miguel Zyniewicz,FR,WR,,miguel-zyniewicz-1
Anthony Torres,SO,TE,12 Rec 137 Yds 11.4 Avg,anthony-torres-2
Brett Borske,SR,TE,6 Rec 71 Yds 11.8 Avg,brett-borske-1
Mitch Bartol,FR,TE,,mitch-bartol-1
Blake Bosma,FR,TE,,blake-bosma-1
Patrick Grange,FR,TE,,patrick-grange-1
Austin Hence,SR,TE,,austin-hence-1
Hayden Mikesell,FR,TE,,hayden-mikesell-1
Kadinn Morris,FR,TE,,kadinn-morris-1
Mark Brooks,SR,OL,,mark-brooks-2
Mike Caliendo,SR,OL,,mike-caliendo-1
Jack Sherwin,FR,OL,,jack-sherwin-1
Kyle Arnoldi,FR,OL,,kyle-arnoldi-1
Carson Briggs,FR,OL,,carson-briggs-1
Trevor Campbell,JR,OL,,trevor-campbell-1
