Player,Class,Pos,Summary,Player-additional
Sean Chambers,SO,QB,90 Cmp 177 Att 1125 Yds 6 TD,sean-chambers-1
Levi Williams,SO,QB,72 Cmp 120 Att 990 Yds 9 TD,levi-williams-1
Gavin Beerup,FR,QB,,gavin-beerup-1
Jayden Clemons,JR,QB,,jayden-clemons-1
Hank Gibbs,FR,QB,,hank-gibbs-1
Xazavian Valladay,JR,RB,209 Att 1063 Yds 5.1 Avg,xazavian-valladay-1
Titus Swen,JR,RB,132 Att 785 Yds 5.9 Avg,titus-swen-1
Dawaiian McNeely,SO,RB,17 Att 113 Yds 6.6 Avg,dawaiian-mcneely-1
Trey Smith,SR,RB,14 Att 87 Yds 6.2 Avg,trey-smith-4
Jeremy Hollingsworth,FR,RB,1 Att 2 Yds 2.0 Avg,jeremy-hollingsworth-1
Alphonzo Andrews Jr.,SO,RB,,alphonzo-andrews-jr-1
Joseph Braasch,FR,RB,,joseph-braasch-1
D.Q. James,FR,RB,,dq-james-1
Jordon Vaughn,FR,RB,,jordon-vaughn-1
Isaiah Neyor,FR,WR,44 Rec 878 Yds 20.0 Avg,isaiah-neyor-1
Ayden Eberhardt,SR,WR,21 Rec 298 Yds 14.2 Avg,ayden-eberhardt-1
Josh Cobbs,FR,WR,25 Rec 245 Yds 9.8 Avg,josh-cobbs-1
Tyrese Grant,FR,WR,,tyrese-grant-1
Wyatt Wieland,JR,WR,4 Rec 60 Yds 15.0 Avg,wyatt-wieland-1
Alex Brown,SO,WR,3 Rec 33 Yds 11.0 Avg,alex-brown-6
Caleb Cooley,SO,WR,,caleb-cooley-1
Gunner Gentry,SR,WR,,gunner-gentry-1
Chance Hofer,JR,WR,,chance-hofer-1
Devin Jennings,FR,WR,,devin-jennings-1
Ryan Marquez,JR,WR,,ryan-marquez-1
Will Pelissier,FR,WR,,will-pelissier-1
Jaylen Sargent,FR,WR,,jaylen-sargent-1
Treyton Welch,JR,TE,19 Rec 163 Yds 8.6 Avg,treyton-welch-1
Parker Christensen,SO,TE,13 Rec 127 Yds 9.8 Avg,parker-christensen-1
Colin O'Brien,JR,TE,2 Rec 27 Yds 13.5 Avg,colin-obrien-1
Jackson Marcotte,JR,TE,1 Rec 6 Yds 6.0 Avg,jackson-marcotte-1
Nick Miles,FR,TE,,nick-miles-2
John Michael Gyllenborg,FR,TE,,john-michael-gyllenborg-1
Ryland Swarthout,FR,TE,,ryland-swarthout-1
Caden Barnett,SO,OL,,caden-barnett-1
Mason Schultz,SO,OL,,mason-schultz-1
Jack Walsh,FR,OL,,jack-walsh-2
Keyon Blakenbaker,SR,LB,,keyon-blakenbaker-1
Buck Coors,FR,LB,,buck-coors-1
Easton Gibbs,SO,LB,,easton-gibbs-1
Keonte Gilton,FR,LB,,keonte-gilton-1
Blake Harrington,JR,LB,,blake-harrington-1
Chad Muma,SR,LB,,chad-muma-1
Connor Shay,FR,LB,,connor-shay-1
Shae Suiaunoa,SO,LB,,shae-suiaunoa-1
Brady Bohlinger,FR,LB,,brady-bohlinger-1
Chuck Hicks,SR,LB,,chuck-hicks-3
Jovan Marsh,FR,LB,,jovan-marsh-1
Tommy McEvoy,FR,LB,,tommy-mcevoy-1
Sam Scott,FR,LB,,sam-scott-1
Read Sunn,FR,LB,,read-sunn-1
Brent VanderVeen,FR,LB,,brent-vanderveen-2
Tommy Wroblewski,FR,LB,,tommy-wroblewski-1
Clayton Stewart,JR,P,,clayton-stewart-1
Rome Weber,JR,S,,rome-weber-1
Jordan Bertagnole,SO,DT,,jordan-bertagnole-1
Jack Boyer,JR,DE,,jack-boyer-1
Solomon Byrd,JR,DE,,solomon-byrd-1
C.J. Coldon,JR,CB,,cj-coldon-1
Garrett Crall,SR,DE,,garrett-crall-1
Keegan Cryder,SR,C,,keegan-cryder-1
Caleb Driskill,FR,FB,,caleb-driskill-1
Wyett Ekeler,FR,S,,wyett-ekeler-1
Ralph Fawaz,FR,PK,,ralph-fawaz-1
Esaias Gandy,SR,S,,esaias-gandy-1
Cole Godbout,JR,NT,,cole-godbout-1
Devonne Harris,SO,DE,,devonne-harris-1
Sabastian Harsh,FR,DE,,sabastian-harsh-1
Azizi Hearn,JR,CB,,azizi-hearn-1
Ravontae Holt,SR,DT,,ravontae-holt-1
John Hoyland,FR,PK,,john-hoyland-1
Victor Jones,SR,DT,,victor-jones-5
Teagan Liufau,JR,DE,,teagan-liufau-1
Marco Machado,JR,C,,marco-machado-1
Gavin Meyer,FR,DT,,gavin-meyer-1
Cameron Murray,SO,S,,cameron-murray-2
Oluwaseyi Omotosho,FR,DE,,oluwaseyi-omotosho-1
Jaylen Pate,SO,DE,,jaylen-pate-1
Caleb Roberson,FR,CB,,caleb-roberson-1
Caleb Robinson,FR,NT,,caleb-robinson-2
Braden Smith,SR,S,,braden-smith-3
Rudy Stofer,SR,T,,rudy-stofer-1
Cameron Stone,SO,CB,,cameron-stone-1
Kolbey Taylor,FR,CB,,kolbey-taylor-1
Zach Watts,JR,G,,zach-watts-2
Isaac White,FR,S,,isaac-white-2
Miles Williams,SR,S,,miles-williams-1
Eric Abojei,SR,G,,eric-abojei-1
Blayne Baker,SO,G,,blayne-baker-1
Latrell Bible,SO,C,,latrell-bible-1
Akili Bonner,SO,DT,,akili-bonner-1
Wrook Brown,FR,S,,wrook-brown-1
Xavier Carter,FR,CB,,xavier-carter-2
Michael Chavez,FR,S,,michael-chavez-1
Claude Cole,JR,DT,,claude-cole-1
Frank Crum,JR,T,,frank-crum-1
Tre Dean,FR,CB,,tre-dean-1
Ethan Drewes,SO,DT,,ethan-drewes-1
Will Evans,FR,DT,,will-evans-3
Ben Florentine,FR,DT,,ben-florentine-1
Luke Glassock,SO,PK,,luke-glassock-1
Carlos Harrington,SO,T,,carlos-harrington-1
Logan Harris,SR,G,,logan-harris-1
Kohl Herbolsheimer,FR,G,,kohl-herbolsheimer-1
Zaire Jackson,FR,CB,,zaire-jackson-1
Andrew Johnson,FR,S,,andrew-johnson-8
Jack Lookabaugh,SO,T,,jack-lookabaugh-1
Kimball Madsen,FR,FB,,kimball-madsen-1
Mathew Posas,FR,CB,,mathew-posas-1
Emmanuel Pregnon,FR,T,,emmanuel-pregnon-1
Duncan Radakovich,FR,DT,,duncan-radakovich-1
Braden Sliders,FR,DE,,braden-sliders-1
Dalton Strouss,FR,FB,,dalton-strouss-1
Mana Taimani,FR,T,,mana-taimani-1
Nic Talich,FR,S,,nic-talich-1
Nofoafia Tulafono,FR,G,,nofoafia-tulafono-1
JJ Uphold,FR,DT,,jj-uphold-1
Alonzo Velazquez,SR,T,,alonzo-velazquez-1
Brenndan Warady,FR,S,,brenndan-warady-1
Tyce Westland,FR,DE,,tyce-westland-1
Malik Williams,FR,T,,malik-williams-3
Micah Young,FR,DE,,micah-young-1
