Player,Class,Pos,Summary,Player-additional
John Paddock,SR,QB,286 Cmp 480 Att 2719 Yds 18 TD,john-paddock-1
Kiael Kelly,JR,QB,1 Cmp 1 Att 23 Yds 0 TD,kiael-kelly-1
Colin Blazek,SO,QB,,colin-blazek-1
Kaden Cobb,SO,QB,,kaden-cobb-1
Aiden Leffler,SO,QB,,aiden-leffler-1
Mark Nondorf,SR,QB,,mark-nondorf-1
Carson Steele,JR,RB,289 Att 1556 Yds 5.4 Avg,carson-steele-1
Vaughn Pemberton,JR,RB,35 Att 133 Yds 3.8 Avg,vaughn-pemberton-1
Will Jones,SR,RB,15 Att 41 Yds 2.7 Avg,will-jones-3
Rico Barfield,JR,RB,15 Att 60 Yds 4.0 Avg,rico-barfield-1
Donny Marcus,SR,RB,3 Att 1 Yds 0.3 Avg,donny-marcus-1
Shoka Griffin II,SO,RB,,shoka-griffin-ii-1
Kyrin Perry,SO,RB,,kyrin-perry-1
Kyondre Winford,FR,RB,,kyondre-winford-1
Jayson Jackson,SR,WR,73 Rec 823 Yds 11.3 Avg,jayson-jackson-1
Nick Presley,SO,WR,6 Rec 35 Yds 5.8 Avg,nick-presley-1
Dean Tate,SR,WR,3 Rec 19 Yds 6.3 Avg,dean-tate-1
Yo'Heinz Tyler,SR,WR,49 Rec 441 Yds 9.0 Avg,yoheinz-tyler-1
Amir Abdur-Rahman,SR,WR,23 Rec 229 Yds 10.0 Avg,amir-abdur-rahman-1
Austin Hill,SR,WR,,austin-hill-4
Qian Magwood,SO,WR,,qian-magwood-2
Nick Munson,SO,WR,,nick-munson-1
Justin Campbell,SO,WR,,justin-campbell-1
Cameron Gillentine,SR,WR,,cameron-gillentine-1
Brody Glenn,SO,WR,,brody-glenn-1
Dwayne Moorehead,SO,WR,,dwayne-moorehead-1
Dahya Patel,SO,WR,,dahya-patel-1
Cam Pickett,SO,WR,,cam-pickett-1
Ryan Lezon,SR,TE,5 Rec 33 Yds 6.6 Avg,ryan-lezon-1
Brady Hunt,JR,TE,46 Rec 498 Yds 10.8 Avg,brady-hunt-1
Tanner Koziol,SO,TE,35 Rec 373 Yds 10.7 Avg,tanner-koziol-1
Casey Coll,SR,TE,2 Rec 27 Yds 13.5 Avg,casey-coll-2
Gavin Smithson-Burciaga,SO,TE,,gavin-smithson-burciaga-1
Max Sullivan,SO,TE,,max-sullivan-1
Joseph Boggs,SR,OL,,joseph-boggs-1
Ethan Crowe,SR,OL,,ethan-crowe-1
Damon Kaylor,JR,OL,,damon-kaylor-1
Tommy Lorincz,SR,OL,,tommy-lorincz-1
Brandon Malkow,SR,OL,,brandon-malkow-1
Kevin Meeder,SR,OL,,kevin-meeder-1
Seth Schmidt,SR,OL,,seth-schmidt-1
Corey Stewart,SR,OL,,corey-stewart-1
Jaylen Turner,SR,OL,,jaylen-turner-1
Taran Tyo,SO,OL,,taran-tyo-1
Phyllip Gunn,SO,OL,,phyllip-gunn-1
Porter Haught,SR,OL,,porter-haught-1
Chris Hood,SO,OL,,chris-hood-1
Jalen Johnson,SO,OL,,jalen-johnson-6
Cole Mosier,SO,OL,,cole-mosier-3
Zach Williams,SO,OL,,zach-williams-7
Ben VonGunten,SR,K,,ben-vongunten-1
Carson Holmer,SO,K,,carson-holmer-1
Adam Vinatieri Jr.,SO,K,,adam-vinatieri-jr-1
Dakari Frazier,SO,DL,,dakari-frazier-1
John Harris,SR,DL,,john-harris-9
Sidney Houston,SR,DL,,sidney-houston-1
Drew Hughes,JR,DL,,drew-hughes-1
Kyle King,JR,DL,,kyle-king-1
Julian McBride,SR,DL,,julian-mcbride-1
Kyron Mims,SR,DL,,kyron-mims-1
Justen Ramsey,SR,DL,,justen-ramsey-1
Nathan Reichert,SR,DL,,nathan-reichert-1
Jack Sape,SR,DL,,jack-sape-1
Joshua Tarango,SR,DL,,joshua-tarango-1
Tavion Woodard,SR,DL,,tavion-woodard-1
Dylan Graber,SO,DL,,dylan-graber-1
Kendal Kendrick,SR,DL,,kendal-kendrick-1
Jack Beebe,SO,LB,,jack-beebe-2
Brandon Berger,SR,LB,,brandon-berger-2
Clayton Coll,SR,LB,,clayton-coll-1
Dalton Elrod,SR,LB,,dalton-elrod-1
Justin Morris,JR,LB,,justin-morris-1
Keionte Newson,SR,LB,,keionte-newson-1
Cole Pearce,SR,LB,,cole-pearce-1
Nate Pedraza,SR,LB,,nate-pedraza-1
Joey Stemler,JR,LB,,joey-stemler-1
Jackson Wiegold,JR,LB,,jackson-wiegold-1
Ashton Carroll,SO,LB,,ashton-carroll-1
Jackson Constantine,SO,LB,,jackson-constantine-1
DeJuan Echoles Jr.,SO,LB,,dejuan-echoles-jr-1
Drew Harper,SO,LB,,drew-harper-1
Caden Johnson,SO,LB,,caden-johnson-1
Kyle Lozen,JR,LB,,kyle-lozen-1
Brandon Martin,SR,LB,,brandon-martin-1
Karl Odrick Jr.,SO,LB,,karl-odrick-jr-1
Danny Royster,SO,LB,,danny-royster-1
Maximus Webster,SO,LB,,maximus-webster-1
Jaquan Amos,SR,DB,,jaquan-amos-1
Jack Blanco,SR,DB,,jack-blanco-1
Ben Egenolf,SR,DB,,ben-egenolf-1
Nic Jones,SR,DB,,nic-jones-1
Malcom Lee,SR,DB,,malcom-lee-2
Derin McCulley,SR,DB,,derin-mcculley-1
Tyler 'Red' Potts,SR,DB,,tyler-red-potts-1
