Player,Class,Pos,Summary,Player-additional
Phil Jurkovec,SR,QB,147 Cmp 247 Att 1711 Yds 11 TD,phil-jurkovec-1
Emmett Morehead,JR,QB,115 Cmp 192 Att 1254 Yds 10 TD,emmett-morehead-1
Jack Brandon,JR,QB,,jack-brandon-1
Peter Delaportas,SO,QB,,peter-delaportas-1
Shane Hanafin,SO,QB,,shane-hanafin-1
Daelen Menard,SR,QB,,daelen-menard-1
Matthew Rueve,SR,QB,,matthew-rueve-1
Patrick Garwo,SR,RB,132 Att 402 Yds 3.0 Avg,patrick-garwo-1
Alex Broome,SO,RB,50 Att 225 Yds 4.5 Avg,alex-broome-1
Cam Barfield,SO,RB,25 Att 53 Yds 2.1 Avg,cam-barfield-1
Xavier Coleman,JR,RB,21 Att 91 Yds 4.3 Avg,xavier-coleman-2
Alec Sinkfield,SR,RB,4 Rec 23 Yds 5.8 Avg,alec-sinkfield-1
Andre Hines,SR,RB,,andre-hines-1
Jackson Treister,SR,RB,,jackson-treister-1
Zay Flowers,SR,WR,78 Rec 1077 Yds 13.8 Avg,zay-flowers-1
Jaden Williams,JR,WR,11 Rec 170 Yds 15.5 Avg,jaden-williams-1
Jaelen Gill,SR,WR,27 Rec 388 Yds 14.4 Avg,jaelen-gill-1
Joe Griffin,SO,WR,18 Rec 234 Yds 13.0 Avg,joe-griffin-3
Dino Tomlin,SR,WR,10 Rec 181 Yds 18.1 Avg,dino-tomlin-1
Taji Johnson,SR,WR,9 Rec 91 Yds 10.1 Avg,taji-johnson-1
Lewis Bond,JR,WR,5 Rec 51 Yds 10.2 Avg,lewis-bond-1
Dante Reynolds,JR,WR,2 Rec 6 Yds 3.0 Avg,dante-reynolds-1
Luke McLaughlin,JR,WR,,luke-mclaughlin-1
Jacob Kraft,SR,WR,,jacob-kraft-1
Nick Nicotra,SR,WR,,nick-nicotra-1
Ismael Zamor,SO,WR,,ismael-zamor-1
George Takacs,SR,TE,26 Rec 256 Yds 9.8 Avg,george-takacs-1
Jeremiah Franklin,SO,TE,5 Rec 27 Yds 5.4 Avg,jeremiah-franklin-1
Spencer Witter,SR,TE,4 Rec 40 Yds 10.0 Avg,spencer-witter-1
Hans Lillis,SR,TE,1 Rec 10 Yds 10.0 Avg,hans-lillis-1
Tommy Birmingham,SR,TE,,tommy-birmingham-1
Charlie Gordiner,SR,TE,,charlie-gordiner-1
Matt Ragan,SO,TE,,matt-ragan-1
Andrew Landry,SR,TE,,andrew-landry-1
Jack Conley,SR,OL,,jack-conley-1
Dwayne Allick,SR,OL,,dwayne-allick-1
Jude Bowry,SO,OL,,jude-bowry-1
Kevin Cline,SR,OL,,kevin-cline-1
Finn Dirstine,SR,OL,,finn-dirstine-1
Jack Funke,SO,OL,,jack-funke-1
Otto Hess,JR,OL,,otto-hess-1
Drew Kendall,JR,OL,,drew-kendall-1
Illija Krajnovic,JR,OL,,illija-krajnovic-1
Jackson Ness,SR,OL,,jackson-ness-1
Kevin Pyne,SR,OL,,kevin-pyne-1
Blerim Rustemi,SR,OL,,blerim-rustemi-1
Nick Thomas,JR,OL,,nick-thomas-4
Ozzy Trapilo,SR,OL,,ozzy-trapilo-1
Christian Curatolo,JR,OL,,christian-curatolo-1
Noah Kahapea,SO,OL,,noah-kahapea-1
Danny Longman,SR,K,,danny-longman-1
Liam Connor,SO,K,,liam-connor-1
Connor Lytton,JR,K,,connor-lytton-1
Mika Montonen,SO,K,,mika-montonen-1
Ty Clemons,JR,DL,,ty-clemons-2
Izaiah Henderson,SR,DL,,izaiah-henderson-1
Cam Horsley,SR,DL,,cam-horsley-1
Quintayvious Hutchins,JR,DL,,quintayvious-hutchins-1
Edwin Kolenge,SO,DL,,edwin-kolenge-1
Chibueze Onwuka,SR,DL,,chibueze-onwuka-1
Kwan Williams,SO,DL,,kwan-williams-1
Regen Terry,SO,DL,,regen-terry-1
Gilbert Tongrongou,SO,DL,,gilbert-tongrongou-1
Clive Wilson,SO,DL,,clive-wilson-1
Kivon Wright,SO,DL,,kivon-wright-1
Kam Arnold,SR,LB,,kam-arnold-1
Jaylen Blackwell,JR,LB,,jaylen-blackwell-1
Daveon Crouch,SO,LB,,daveon-crouch-1
Vinny DePalma,SR,LB,,vinny-depalma-1
Sione Hala,SO,LB,,sione-hala-1
Joe Marinaro,SR,LB,,joe-marinaro-1
Owen McGowan,JR,LB,,owen-mcgowan-1
Bryce Steele,JR,LB,,bryce-steele-1
Tim Hays,SO,LB,,tim-hays-1
Billy Van Pelt,SO,LB,,billy-van-pelt-1
Juan Zabal,SO,LB,,juan-zabal-1
Cole Batson,JR,DB,,cole-batson-1
CJ Burton,JR,DB,,cj-burton-1
Jalen Cheek,JR,DB,,jalen-cheek-1
CJ Clinkscales,SO,DB,,cj-clinkscales-1
Isaiah Farris,SO,DB,,isaiah-farris-2
Amari Jackson,SO,DB,,amari-jackson-1
Jamareeh Jones,JR,DB,,jamareeh-jones-1
Steve Lubischer,SR,DB,,steve-lubischer-1
John Pupel,SR,DB,,john-pupel-1
Jason Scott,SR,DB,,jason-scott-2
Jalon Williams,JR,DB,,jalon-williams-1
Jirhe Love,SR,DB,,jirhe-love-1
Brandon Summers,SR,DB,,brandon-summers-2
Sam Candotti,SO,P,,sam-candotti-1
Khris Banks,SR,DT,,khris-banks-1
Gunner Daniel,SR,LS,,gunner-daniel-1
Josh DeBerry,SR,CB,,josh-deberry-1
Donovan Ezeiruaku,JR,DE,,donovan-ezeiruaku-1
Josh Hardy,SO,DE,,josh-hardy-1
Elijah Jones,SR,CB,,elijah-jones-3
Jason Maitre,SR,S,,jason-maitre-1
Neto Okpala,JR,DE,,neto-okpala-1
Shitta Sillah,SR,DE,,shitta-sillah-1
Owen Stoudmire,JR,DT,,owen-stoudmire-1
Marcus Valdez,SR,DE,,marcus-valdez-1
Jaiden Woodbey,SR,S,,jaiden-woodbey-2
Jackson Gugni,SR,LS,,jackson-gugni-1
Christian Mahogany,SR,OG,,christian-mahogany-1
Nigel Tate,JR,DT,,nigel-tate-1
