Player,Class,Pos,Summary,Player-additional
Matt McDonald,SR,QB,231 Cmp 378 Att 2654 Yds 22 TD,matt-mcdonald-1
Camden Orth,SR,QB,34 Cmp 57 Att 382 Yds 3 TD,camden-orth-1
Owen Bainbridge,FR,QB,,owen-bainbridge-1
Drew Gunther,SR,QB,,drew-gunther-1
Jaison Patterson,JR,RB,135 Att 583 Yds 4.3 Avg,jaison-patterson-1
Jamal Johnson,JR,RB,55 Att 250 Yds 4.5 Avg,jamal-johnson-2
Taron Keith,JR,RB,47 Att 195 Yds 4.1 Avg,taron-keith-1
Nick Mosley,JR,RB,23 Att 92 Yds 4.0 Avg,nick-mosley-1
Pasean Wimberly,SR,RB,17 Att 59 Yds 3.5 Avg,pasean-wimberly-1
Jaylen Jennings,SO,RB,6 Att 28 Yds 4.7 Avg,jaylen-jennings-1
Jordan Jackson,SO,RB,3 Att 5 Yds 1.7 Avg,jordan-jackson-7
Trey Johnson,SO,RB,,trey-johnson-3
Braxton Todd,SO,RB,,braxton-todd-1
CJ Lewis,SR,WR,26 Rec 352 Yds 13.5 Avg,cj-lewis-2
Odieu Hiliare,SR,WR,58 Rec 747 Yds 12.9 Avg,odieu-hiliare-1
Cavon Croom,SR,WR,18 Rec 159 Yds 8.8 Avg,cavon-croom-1
Jhaylin Embry,JR,WR,2 Rec 42 Yds 21.0 Avg,jhaylin-embry-1
Tyrone Broden,JR,WR,32 Rec 506 Yds 15.8 Avg,tyrone-broden-1
Austin Osborne,SR,WR,2 Rec 23 Yds 11.5 Avg,austin-osborne-1
Ty Cook,JR,WR,,ty-cook-1
Tae'Shaun Johnson,SO,WR,,taeshaun-johnson-1
Nic Kilbride,JR,WR,,nic-kilbride-1
Jaedyn McKinstry,JR,WR,,jaedyn-mckinstry-1
Jake Rogers,SR,WR,,jake-rogers-2
Jalen Holly,SO,WR,,jalen-holly-1
Princeton Hoskins,JR,WR,,princeton-hoskins-1
Nick Niehoff,SR,WR,,nick-niehoff-1
Harold Fannin Jr.,SO,TE,19 Rec 218 Yds 11.5 Avg,harold-fannin-jr-1
Christian Sims,SR,TE,45 Rec 458 Yds 10.2 Avg,christian-sims-1
Levi Gazarek,JR,TE,3 Rec 12 Yds 4.0 Avg,levi-gazarek-1
Andrew Bench,SR,TE,10 Rec 125 Yds 12.5 Avg,andrew-bench-1
Griffin Little,JR,TE,2 Rec 17 Yds 8.5 Avg,griffin-little-1
Ian Drummond,SR,TE,,ian-drummond-1
