Player,Class,Pos,Summary,Player-additional
Chris Reynolds,SR,QB,201 Cmp 316 Att 2540 Yds 22 TD,chris-reynolds-1
Xavier Williams,SO,QB,34 Cmp 67 Att 420 Yds 2 TD,xavier-williams-4
James Foster,SR,QB,12 Cmp 28 Att 170 Yds 2 TD,james-foster-1
Trexler Ivey,JR,QB,9 Cmp 16 Att 101 Yds 1 TD,trexler-ivey-1
Dylan Ratliff,SR,QB,,dylan-ratliff-1
Shadrick Byrd,JR,RB,149 Att 620 Yds 4.2 Avg,shadrick-byrd-1
Chavon McEachern,JR,RB,56 Att 256 Yds 4.6 Avg,chavon-mceachern-1
Johnny Martin,FR,RB,31 Att 144 Yds 4.6 Avg,johnny-martin-2
Calvin Camp,SR,RB,20 Att 193 Yds 9.7 Avg,calvin-camp-1
Henry Rutledge,SO,RB,18 Att 91 Yds 5.1 Avg,henry-rutledge-1
Micah Bell,SO,RB,2 Att 9 Yds 4.5 Avg,micah-bell-1
Hashaun Wilson,SO,RB,1 Att 4 Yds 4.0 Avg,hashaun-wilson-1
Watson Cusick,SO,RB,,watson-cusick-1
Jaylen Donaldson,SO,RB,,jaylen-donaldson-1
Grant Dubose,SR,WR,64 Rec 792 Yds 12.4 Avg,grant-dubose-1
Victor Tucker,SR,WR,41 Rec 406 Yds 9.9 Avg,victor-tucker-1
Eugene Minter,SR,WR,10 Rec 114 Yds 11.4 Avg,eugene-minter-2
Nolan Groulx,SR,WR,7 Rec 89 Yds 12.7 Avg,nolan-groulx-1
Elijah Spencer,JR,WR,57 Rec 943 Yds 16.5 Avg,elijah-spencer-1
Quinton Patten,SR,WR,9 Rec 88 Yds 9.8 Avg,quinton-patten-1
Trey Blount,SR,WR,3 Rec 14 Yds 4.7 Avg,trey-blount-1
Jack Reynolds,SO,WR,3 Rec 17 Yds 5.7 Avg,jack-reynolds-2
Kendric Blake,SR,WR,1 Rec 16 Yds 16.0 Avg,kendric-blake-1
Sean Brown,SR,WR,1 Rec 9 Yds 9.0 Avg,sean-brown-7
Teddy Creecy III,SR,WR,,teddy-creecy-iii-1
Reggie Givhan,SO,WR,,reggie-givhan-1
Elisha Edwards,SO,WR,,elisha-edwards-1
CC Fish,SO,WR,,cc-fish-1
Xander Lamb,SO,WR,,xander-lamb-1
Jarius Mack,JR,WR,,jarius-mack-1
Devin Pellom,SO,WR,,devin-pellom-1
Fresh Walters,SO,WR,,fresh-walters-1
Taylor Thompson,JR,TE,14 Rec 263 Yds 18.8 Avg,taylor-thompson-3
Jake Clemons,JR,TE,5 Rec 25 Yds 5.0 Avg,jake-clemons-1
Bryce Kennon,JR,TE,,bryce-kennon-1
Jake McTaggart,SO,TE,,jake-mctaggart-1
Colin Weber,SO,TE,,colin-weber-1
Donta Armstrong,JR,TE,,donta-armstrong-1
Colin Frank,SO,TE,,colin-frank-1
Ricky Kofoed,SR,TE,,ricky-kofoed-1
Panda Askew,JR,OL,,panda-askew-1
Knox Boyd,SO,OL,,knox-boyd-1
Jordan Brown,SO,OL,,jordan-brown-10
Isaiah Bullerdick,SO,OL,,isaiah-bullerdick-1
Antonio Gaines,SO,OL,,antonio-gaines-2
Ashton Gist,SR,OL,,ashton-gist-1
Jaxon Hughes,SR,OL,,jaxon-hughes-1
Jon Jacobs,SR,OL,,jon-jacobs-1
Jonny King,JR,OL,,jonny-king-1
TJ Moore,SR,OL,,tj-moore-2
Arabee Muslim,JR,OL,,arabee-muslim-1
Matt Rosso,SR,OL,,matt-rosso-1
Trevor Timmons,SO,OL,,trevor-timmons-1
Brice Boyd,SO,OL,,brice-boyd-1
Boston Brinkley,SO,OL,,boston-brinkley-1
Cameron Clark,JR,OL,,cameron-clark-4
Marshall Futrell,SO,OL,,marshall-futrell-1
Cade Goldman,SO,OL,,cade-goldman-1
Navardo Miller,SR,OL,,navardo-miller-1
Kendall Stanley,SO,OL,,kendall-stanley-1
Michael Statham,SO,OL,,michael-statham-1
J.D. Therrell,JR,OL,,jd-therrell-1
Aiden Laros,SO,K,,aiden-laros-1
Antonio Zita,SR,K,,antonio-zita-2
Steven Johnson,SO,K,,steven-johnson-4
Braeden McAlister,SO,K,,braeden-mcalister-1
Isaac Hampton,SR,DL,,isaac-hampton-1
Jalar Holley,JR,DL,,jalar-holley-1
Michael Kelly,SR,DL,,michael-kelly-1
Barutti Mazangu,JR,DL,,barutti-mazangu-1
Jordan Moore,JR,DL,,jordan-moore-4
Dez Morgan,JR,DL,,dez-morgan-1
B.J. Ragland,SO,DL,,bj-ragland-1
Amir Siddiq,SR,DL,,amir-siddiq-1
Darion Smith,JR,DL,,darion-smith-2
Larry Avila,SO,DL,,larry-avila-1
Jaren Handy,SR,DL,,jaren-handy-1
Will Moon,SO,DL,,will-moon-1
Devin Reed,SO,DL,,devin-reed-1
Bryan Wallace,SR,DL,,bryan-wallace-1
Isaac Washington,JR,DL,,isaac-washington-2
Prince Bemah,SR,LB,,prince-bemah-1
Derek Boykins,SR,LB,,derek-boykins-1
DJ Brown,SO,LB,,dj-brown-6
Cam Burden,SO,LB,,cam-burden-1
Wayne Jones,SR,LB,,wayne-jones-3
Chase Monroe,SR,LB,,chase-monroe-1
B.J. Turner,SR,LB,,bj-turner-1
Reid Williford,SO,LB,,reid-williford-1
Luke Raykovicz,SO,LB,,luke-raykovicz-1
Shyhiem Scotland,SO,LB,,shyhiem-scotland-1
Isaiah Turnage,SO,LB,,isaiah-turnage-1
Valerian Agbaw,JR,DB,,valerian-agbaw-1
Jordan Anderson,SR,DB,,jordan-anderson-5
Shamar Baker,SR,DB,,shamar-baker-1
Trey Bly,SR,DB,,trey-bly-1
Trey Creamer,SR,DB,,trey-creamer-1
Comanche Francisco,JR,DB,,comanche-francisco-1
Aveon Grose,SO,DB,,aveon-grose-1
Juice Martin,JR,DB,,juice-martin-1
Maguire Neal,SO,DB,,maguire-neal-1
Davondre Robinson,SR,DB,,davondre-robinson-1
Solomon Rogers,SR,DB,,solomon-rogers-1
Shedrick Ursery,JR,DB,,shedrick-ursery-1
Cade White,JR,DB,,cade-white-1
Bryson Whitehead,SR,DB,,bryson-whitehead-1
Lacy Williams,SR,DB,,lacy-williams-1
John Anderson,SO,DB,,john-anderson-8
Briston Bennett,JR,DB,,briston-bennett-1
Jamari Broady,SO,DB,,jamari-broady-1
Lance McMillan,SR,DB,,lance-mcmillan-1
Omari Orgertrice,SO,DB,,omari-orgertrice-1
