Player,Class,Pos,Summary,Player-additional
Grayson McCall,SR,QB,207 Cmp 297 Att 2700 Yds 24 TD,grayson-mccall-1
Jarrett Guest,SR,QB,25 Cmp 54 Att 438 Yds 2 TD,jarrett-guest-1
Bryce Carpenter,SR,QB,4 Cmp 6 Att 53 Yds 1 TD,bryce-carpenter-1
Bryce Archie,FR,QB,1 Cmp 4 Att 9 Yds 0 TD,bryce-archie-1
Dontrell Jackson Jr.,FR,QB,,dontrell-jackson-jr-1
CJ Beasley,JR,RB,140 Att 719 Yds 5.1 Avg,cj-beasley-1
Reese White,SR,RB,99 Att 544 Yds 5.5 Avg,reese-white-1
Max Balthazar,SO,RB,27 Att 141 Yds 5.2 Avg,max-balthazar-1
Braydon Bennett,JR,RB,16 Att 83 Yds 5.2 Avg,braydon-bennett-1
Nate Hope II,JR,RB,10 Att 43 Yds 4.3 Avg,nate-hope-ii-1
Aaron Bedgood,JR,RB,8 Att 45 Yds 5.6 Avg,aaron-bedgood-1
Logan Adkins,SO,RB,1 Att 2 Yds 2.0 Avg,logan-adkins-2
Ty Lyles,FR,RB,1 Att -4 Yds -4.0 Avg,ty-lyles-1
Isaiah Jones,FR,RB,,isaiah-jones-4
Jared Brown,SO,WR,49 Rec 789 Yds 16.1 Avg,jared-brown-2
Tyson Mobley,SR,WR,40 Rec 490 Yds 12.3 Avg,tyson-mobley-1
Kyre Duplessis,JR,WR,2 Rec 28 Yds 14.0 Avg,kyre-duplessis-1
DeAndre Coleman,SO,WR,,deandre-coleman-2
Sam Pinckney,SR,WR,71 Rec 996 Yds 14.0 Avg,sam-pinckney-1
Tyler Roberts,SR,WR,7 Rec 150 Yds 21.4 Avg,tyler-roberts-2
Deon Fountain,SR,WR,1 Rec 32 Yds 32.0 Avg,deon-fountain-1
Dami'on Thompson,FR,WR,1 Rec 9 Yds 9.0 Avg,damion-thompson-1
Rian Black,FR,WR,,rian-black-1
Chris Rhone,SO,WR,,chris-rhone-1
James Tucker,SO,WR,,james-tucker-4
Tanner Branson,SO,WR,,tanner-branson-1
Tate Davis,FR,WR,,tate-davis-1
Malachi Taylor,FR,WR,,malachi-taylor-1
Taj Thomas,JR,WR,,taj-thomas-2
