Player,Class,Pos,Summary,Player-additional
N'Kosi Perry,SR,QB,215 Cmp 371 Att 2712 Yds 25 TD,nkosi-perry-1
Willie Taggart Jr.,JR,QB,2 Cmp 7 Att 14 Yds 0 TD,willie-taggart-jr-1
Michael Johnson Jr.,JR,QB,,michael-johnson-jr-1
TJ Smith,SO,QB,,tj-smith-7
Tyriq Starks,JR,QB,,tyriq-starks-1
Larry McCammon III,SR,RB,193 Att 1001 Yds 5.2 Avg,larry-mccammon-iii-1
Zuberi Mobley,JR,RB,101 Att 534 Yds 5.3 Avg,zuberi-mobley-1
Johnny Ford,SR,RB,41 Att 135 Yds 3.3 Avg,johnny-ford-1
Marvin Scott III,SO,RB,18 Att 80 Yds 4.4 Avg,marvin-scott-iii-1
Kelvin Dean Jr.,JR,RB,4 Att 7 Yds 1.8 Avg,kelvin-dean-jr-1
Robert Armes,SR,RB,2 Att 16 Yds 8.0 Avg,robert-armes-1
Marquish Seabon,SO,RB,,marquish-seabon-1
Keyvon Walker,JR,RB,,keyvon-walker-1
LaJohntay Wester,JR,WR,62 Rec 719 Yds 11.6 Avg,lajohntay-wester-1
Javion Posey,JR,WR,5 Rec 64 Yds 12.8 Avg,javion-posey-1
Je'Quan Burton,SR,WR,33 Rec 517 Yds 15.7 Avg,jequan-burton-1
Tony Johnson,JR,WR,23 Rec 258 Yds 11.2 Avg,tony-johnson-10
Jahmal Edrine,JR,WR,39 Rec 570 Yds 14.6 Avg,jahmal-edrine-1
Jordan Young,JR,WR,4 Rec 36 Yds 9.0 Avg,jordan-young-2
Jayshon Platt,SO,WR,3 Rec 26 Yds 8.7 Avg,jayshon-platt-1
Marvin Alexander,SR,WR,,marvin-alexander-1
A'ceon Cobb,SO,WR,,aceon-cobb-1
Jymetre Hester,JR,WR,,jymetre-hester-1
Donovan Giles,SO,WR,,donovan-giles-1
Omari Hayes,SO,WR,,omari-hayes-1
Kobe Stewart,JR,WR,,kobe-stewart-1
Austin Evans,SR,TE,7 Rec 90 Yds 12.9 Avg,austin-evans-1
Carter Boatwright,SO,TE,4 Rec 33 Yds 8.3 Avg,carter-boatwright-1
Marvin Landy,SR,TE,2 Rec 35 Yds 17.5 Avg,marvin-landy-1
Adam Boselli,SR,TE,,adam-boselli-1
Jacob Pasley,JR,TE,,jacob-pasley-1
Wyatt Sullivan,SO,TE,,wyatt-sullivan-1
William Ford,JR,TE,,william-ford-1
Alex Atcavage,JR,OL,,alex-atcavage-1
Kamaar Bell,SO,OL,,kamaar-bell-1
Brendan Bordner,SR,OL,,brendan-bordner-1
Dorian Hinton,JR,OL,,dorian-hinton-1
Okino King,SO,OL,,okino-king-1
Malcolm Lamar,SR,OL,,malcolm-lamar-1
Andre Lamas,JR,OL,,andre-lamas-1
Federico Maranges,JR,OL,,federico-maranges-1
Chaz Neal,SR,OL,,chaz-neal-1
Deshawn Richardson,JR,OL,,deshawn-richardson-1
Marquice Robinson,SR,OL,,marquice-robinson-1
Adarius Tolliver,JR,OL,,adarius-tolliver-1
Nick Weber,SR,OL,,nick-weber-1
Issa Hamideh,JR,OL,,issa-hamideh-1
Doug Johnson Jr.,SR,OL,,doug-johnson-6
Jordan Sandlin,JR,OL,,jordan-sandlin-1
