Player,Class,Pos,Summary,Player-additional
Jordan Travis,SR,QB,226 Cmp 353 Att 3214 Yds 24 TD,jordan-travis-1
Tate Rodemaker,JR,QB,18 Cmp 31 Att 254 Yds 2 TD,tate-rodemaker-1
AJ Duffy,SO,QB,2 Cmp 7 Att 26 Yds 1 TD,aj-duffy-1
Gino English,JR,QB,2 Cmp 2 Att 16 Yds 0 TD,gino-english-2
Dylan McNamara,SO,QB,,dylan-mcnamara-1
Trey Benson,JR,RB,154 Att 990 Yds 6.4 Avg,trey-benson-2
Treshaun Ward,JR,RB,95 Att 628 Yds 6.6 Avg,treshaun-ward-1
Lawrance Toafili,JR,RB,93 Att 457 Yds 4.9 Avg,lawrance-toafili-1
Rodney Hill,SO,RB,27 Att 144 Yds 5.3 Avg,rodney-hill-1
CJ Campbell,SO,RB,18 Att 64 Yds 3.6 Avg,cj-campbell-1
Ja'khi Douglas,JR,RB,10 Rec 123 Yds 12.3 Avg,jakhi-douglas-1
Caziah Holmes,JR,RB,,caziah-holmes-1
Mycah Pittman,SR,WR,32 Rec 330 Yds 10.3 Avg,mycah-pittman-1
Deuce Spann,JR,WR,8 Rec 64 Yds 8.0 Avg,deuce-spann-1
Darion Williamson,JR,WR,8 Rec 131 Yds 16.4 Avg,darion-williamson-1
Malik McClain,JR,WR,17 Rec 206 Yds 12.1 Avg,malik-mcclain-1
Johnny Wilson,JR,WR,43 Rec 897 Yds 20.9 Avg,johnny-wilson-3
Ontaria Wilson,SR,WR,30 Rec 495 Yds 16.5 Avg,ontaria-wilson-1
Kentron Poitier,JR,WR,14 Rec 283 Yds 20.2 Avg,kentron-poitier-1
Mike Roussos,SR,WR,2 Rec 16 Yds 8.0 Avg,mike-roussos-1
Joshua Burrell,SO,WR,,joshua-burrell-1
Jeremiah Giedrys,JR,WR,,jeremiah-giedrys-1
Keyshawn Helton,SR,WR,,keyshawn-helton-1
Fernando Padron,SR,WR,,fernando-padron-1
Carson Pielock,SO,WR,,carson-pielock-1
Winston Wright,SR,WR,,winston-wright-1
Wyatt Rector,SR,TE,,wyatt-rector-1
Camren McDonald,SR,TE,21 Rec 312 Yds 14.9 Avg,camren-mcdonald-1
Markeston Douglas,JR,TE,14 Rec 190 Yds 13.6 Avg,markeston-douglas-1
Preston Daniel,JR,TE,3 Rec 15 Yds 5.0 Avg,preston-daniel-1
Brian Courtney,SO,TE,1 Rec 12 Yds 12.0 Avg,brian-courtney-1
DJ Daniels,JR,TE,,dj-daniels-2
Jimmy Casey,SO,TE,,jimmy-casey-1
Vance Nicklaus,SO,TE,,vance-nicklaus-1
Jerrale Powers,SO,TE,,jerrale-powers-1
Jackson West,JR,TE,,jackson-west-2
Julian Armella,SO,OL,,julian-armella-1
Kanaya Charlton,SO,OL,,kanaya-charlton-1
Jaylen Early,SO,OL,,jaylen-early-1
D'Mitri Emmanuel,SR,OL,,dmitri-emmanuel-1
Bryson Estes,SO,OL,,bryson-estes-1
Dillan Gibbons,SR,OL,,dillan-gibbons-1
Bless Harris,SR,OL,,bless-harris-1
Zane Herring,JR,OL,,zane-herring-1
Ben Ostaszewski,JR,OL,,ben-ostaszewski-1
Daughtry Richardson,SO,OL,,daughtry-richardson-1
Qae'shon Sapp,SO,OL,,qaeshon-sapp-1
Robert Scott Jr.,JR,OL,,robert-scott-jr-1
Thomas Shrader,JR,OL,,thomas-shrader-1
Maurice Smith,JR,OL,,maurice-smith-7
David Stickle,JR,OL,,david-stickle-1
Jazston Turnetine,SR,OL,,jazston-turnetine-1
Darius Washington,JR,OL,,darius-washington-1
Lloyd Willis,JR,OL,,lloyd-willis-1
Colin King,SO,OL,,colin-king-1
Kayden Lyles,SR,OL,,kayden-lyles-1
Rod Orr,SO,OL,,rod-orr-1
LaNard Toney,SO,OL,,lanard-toney-1
Ryan Fitzgerald,JR,K,,ryan-fitzgerald-1
Max Larson,SO,K,,max-larson-1
Aidan Shahriari,JR,K,,aidan-shahriari-1
Dante Anderson,SO,DL,,dante-anderson-1
Aaron Hester,SO,DL,,aaron-hester-2
Shambre Jackson,SO,DL,,shambre-jackson-1
Daniel Lyons,SO,DL,,daniel-lyons-1
Malakai Menzer,JR,DL,,malakai-menzer-1
Patrick Payton,SO,DL,,patrick-payton-1
Bishop Thomas,SO,DL,,bishop-thomas-1
Byron Turner,SO,DL,,byron-turner-1
George Wilson,SO,DL,,george-wilson-6
Liam McCormick,SO,DL,,liam-mccormick-1
George Sklavenitis,SO,DL,,george-sklavenitis-1
Ayobami Tifase,SO,DL,,ayobami-tifase-1
Antavious Woody,SO,DL,,antavious-woody-1
DJ Lundy,JR,LB,,dj-lundy-1
Emile Aime,SO,LB,,emile-aime-1
Tatum Bethune,SR,LB,,tatum-bethune-1
AJ Cottrill,SO,LB,,aj-cottrill-1
Kalen DeLoach,SR,LB,,kalen-deloach-1
Amari Gainer,SR,LB,,amari-gainer-1
Omar Graham Jr.,SO,LB,,omar-graham-jr-1
Stephen Dix Jr.,JR,LB,,stephen-dix-jr-1
Jorden McCaslin,SO,LB,,jorden-mccaslin-1
Chase Oliver,JR,LB,,chase-oliver-1
Danj Altine,SR,DB,,danj-altine-1
Shyheim Brown,SO,DB,,shyheim-brown-1
Omarion Cooper,JR,DB,,omarion-cooper-1
Akeem Dent,SR,DB,,akeem-dent-2
Malik Feaster,SR,DB,,malik-feaster-1
Brendan Gant,SR,DB,,brendan-gant-1
Renardo Green,SR,DB,,renardo-green-1
Jarrian Jones,SR,DB,,jarrian-jones-1
Kevin Knowles II,JR,DB,,kevin-knowles-ii-1
Sam McCall,SO,DB,,sam-mccall-1
Jarques McClellion,SR,DB,,jarques-mcclellion-1
Jammie Robinson,SR,DB,,jammie-robinson-1
Harold Stubbs IV,SO,DB,,harold-stubbs-iv-1
Azareye'h Thomas,SO,DB,,azareyeh-thomas-1
Greedy Vance,JR,DB,,greedy-vance-1
Christian White,SO,DB,,christian-white-1
Sidney Williams,JR,DB,,sidney-williams-2
Jaden Floyd,SO,DB,,jaden-floyd-1
Travis Jay,JR,DB,,travis-jay-1
Demorie Tate,JR,DB,,demorie-tate-1
Dwayne Wells Jr.,SR,DB,,dwayne-wells-jr-1
Alex Williams,FR,DB,,alex-williams-8
Mac Chiumento,SO,P,,mac-chiumento-1
Alex Mastromanno,JR,P,,alex-mastromanno-1
Zane Smith,SO,P,,zane-smith-2
Dennis Briggs Jr.,SR,DE,,dennis-briggs-jr-1
