Player,Class,Pos,Summary,Player-additional
Jake Haener,SR,QB,252 Cmp 350 Att 2896 Yds 20 TD,jake-haener-1
Logan Fife,JR,QB,84 Cmp 120 Att 892 Yds 2 TD,logan-fife-1
Jaylen Henderson,FR,QB,,jaylen-henderson-1
Matt Robinson,SR,QB,,matt-robinson-6
Alec Trujillo,JR,QB,,alec-trujillo-2
Joshua Wood,FR,QB,,joshua-wood-1
Jordan Mims,SR,RB,261 Att 1372 Yds 5.3 Avg,jordan-mims-1
Malik Sherrod,JR,RB,80 Att 428 Yds 5.4 Avg,malik-sherrod-1
Elijah Gilliam,JR,RB,17 Att 101 Yds 5.9 Avg,elijah-gilliam-1
Simi Bakare,SR,RB,,simi-bakare-1
Johnathan Arceneaux,SO,RB,,johnathan-arceneaux-1
Jevon Bigelow,SR,RB,,jevon-bigelow-1
Justin Guin,FR,RB,,justin-guin-1
Ryan Warkentin,FR,RB,,ryan-warkentin-1
Jalen Cropper,SR,WR,83 Rec 1086 Yds 13.1 Avg,jalen-cropper-1
Nikko Remigio,SR,WR,74 Rec 852 Yds 11.5 Avg,nikko-remigio-1
Mac Dalena,SR,WR,11 Rec 99 Yds 9.0 Avg,mac-dalena-1
Ty Jones,SR,WR,6 Rec 61 Yds 10.2 Avg,ty-jones-4
Zane Pope,SR,WR,50 Rec 623 Yds 12.5 Avg,zane-pope-1
Erik Brooks,SR,WR,37 Rec 391 Yds 10.6 Avg,erik-brooks-1
Josh Kelly,JR,WR,12 Rec 207 Yds 17.3 Avg,josh-kelly-2
Isaiah Batton,SO,WR,,isaiah-batton-1
Jordan Brown,JR,WR,,jordan-brown-2
Emoryie Edwards,SR,WR,,emoryie-edwards-1
Jalen Moss,FR,WR,,jalen-moss-1
Nathan Acevedo,FR,WR,,nathan-acevedo-1
Josiah Freeman,SO,WR,,josiah-freeman-1
Joshua Johnson,FR,WR,,joshua-johnson-1
Vallee Washington,JR,WR,,vallee-washington-1
Jake Boust,SR,TE,5 Rec 23 Yds 4.6 Avg,jake-boust-1
Raymond Pauwels,SR,TE,21 Rec 185 Yds 8.8 Avg,raymond-pauwels-1
Tre Watson,JR,TE,8 Rec 80 Yds 10.0 Avg,tre-watson-4
Kamron Beachem,SO,TE,,kamron-beachem-1
Zach Hartsfield,SR,TE,,zach-hartsfield-1
Jared Torres,SR,TE,,jared-torres-1
Bula Schmidt,SR,OL,,bula-schmidt-1
Dontae Bull,SR,OL,,dontae-bull-1
Rolan Fullwood,SO,OL,,rolan-fullwood-1
Jacob Isaia,SR,OL,,jacob-isaia-1
Braylen Nelson,JR,OL,,braylen-nelson-1
Toreon Penright,JR,OL,,toreon-penright-1
Julian Polendo,JR,OL,,julian-polendo-1
Tyrone Sampson Jr.,SR,OL,,tyrone-sampson-jr-1
Jacob Spomer,JR,OL,,jacob-spomer-1
Daniel Taumalolo,SR,OL,,daniel-taumalolo-1
Mose Vavao,SR,OL,,mose-vavao-1
Osmar Velez,SR,OL,,osmar-velez-1
Matai Bell,FR,OL,,matai-bell-1
Joseph Church,SO,OL,,joseph-church-1
Nate Maier,FR,OL,,nate-maier-1
Amil Savage,FR,OL,,amil-savage-1
Marcus Simien,FR,OL,,marcus-simien-1
Dylan Lynch,SO,K,,dylan-lynch-1
