Player,Class,Pos,Summary,Player-additional
Todd Centeio,SR,QB,181 Cmp 284 Att 2697 Yds 25 TD,todd-centeio-1
Billy Atkins,SO,QB,19 Cmp 43 Att 212 Yds 2 TD,billy-atkins-2
Alonza Barnett III,FR,QB,1 Cmp 1 Att 14 Yds 0 TD,alonza-barnett-iii-1
Chase Hart,FR,QB,,chase-hart-1
Blake Kendall,FR,QB,,blake-kendall-1
Percy Agyei-Obese,SR,RB,159 Att 908 Yds 5.7 Avg,percy-agyei-obese-1
Latrele Palmer,SR,RB,101 Att 398 Yds 3.9 Avg,latrele-palmer-1
Kaelon Black,SO,RB,69 Att 333 Yds 4.8 Avg,kaelon-black-1
Sammy Malignaggi,JR,RB,14 Att 60 Yds 4.3 Avg,sammy-malignaggi-1
Wayne Knight,SO,RB,,wayne-knight-1
Peyton Rutherford,JR,RB,2 Att 0 Yds 0.0 Avg,peyton-rutherford-1
Solomon Vanhorse,SR,RB,6 Rec 86 Yds 14.3 Avg,solomon-vanhorse-1
Kalin Jean,SO,RB,,kalin-jean-1
Anthony Eaton,FR,RB,,anthony-eaton-1
Kris Thornton,SR,WR,59 Rec 1015 Yds 17.2 Avg,kris-thornton-1
Devin Ravenel,SR,WR,24 Rec 313 Yds 13.0 Avg,devin-ravenel-1
Reggie Brown,SR,WR,24 Rec 401 Yds 16.7 Avg,reggie-brown-12
Terrance Greene Jr.,SR,WR,22 Rec 399 Yds 18.1 Avg,terrance-greene-jr-2
Maxwell James,FR,WR,2 Rec 11 Yds 5.5 Avg,maxwell-james-1
Payton Hunter,JR,WR,1 Rec 14 Yds 14.0 Avg,payton-hunter-1
Blake Barnes,SO,WR,,blake-barnes-2
Holt Egan,FR,WR,,holt-egan-1
Erick Harris,FR,WR,,erick-harris-1
Jayden Mines,FR,WR,,jayden-mines-1
Desmond Green,SO,WR,,desmond-green-1
Marion Haley,FR,WR,,marion-haley-1
Prophett Harris,JR,WR,,prophett-harris-1
Shea Jeffers,JR,WR,,shea-jeffers-1
Anthony Johnson,FR,WR,,anthony-johnson-17
Troy Lewis,SO,WR,,troy-lewis-3
Drew Painter,SR,TE,19 Rec 221 Yds 11.6 Avg,drew-painter-1
Zach Horton,JR,TE,13 Rec 159 Yds 12.2 Avg,zach-horton-1
Kelly Mitchell,SO,TE,1 Rec 6 Yds 6.0 Avg,kelly-mitchell-1
Jordan Funk,JR,TE,,jordan-funk-1
Cooper Thunell,SO,TE,,cooper-thunell-1
Noah Turner,SR,TE,,noah-turner-1
Andrew Adair,SO,OL,,andrew-adair-1
Ronald Altman,JR,OL,,ronald-altman-1
Wesley Bostic,FR,OL,,wesley-bostic-1
Brett Davis,SO,OL,,brett-davis-3
Scott Hummel,FR,OL,,scott-hummel-1
Nick Kidwell,SR,OL,,nick-kidwell-1
Carter Miller,FR,OL,,carter-miller-1
Tanner Morris,JR,OL,,tanner-morris-1
Isaac Owusu-Appiah,JR,OL,,isaac-owusu-appiah-1
Cole Potts,JR,OL,,cole-potts-1
Joseph Simmons,FR,OL,,joseph-simmons-1
Tyler Stephens,JR,OL,,tyler-stephens-1
Josh Toner,SO,OL,,josh-toner-1
Tyshawn Wyatt,JR,OL,,tyshawn-wyatt-1
Jaelin Montgomery,FR,OL,,jaelin-montgomery-1
Jack Workman,FR,OL,,jack-workman-1
Connor Madden,SR,K,,connor-madden-1
Justin Ritter,SO,K,,justin-ritter-1
Camden Wise,SR,K,,camden-wise-1
Nick Gonzalez,JR,K,,nick-gonzalez-1
James Carpenter,JR,DL,,james-carpenter-2
Antonio Colclough,JR,DL,,antonio-colclough-1
Jamare Edwards,SR,DL,,jamare-edwards-1
Sean Johns,JR,DL,,sean-johns-1
Mikail Kamara,SO,DL,,mikail-kamara-1
Jamree Kromah,SR,DL,,jamree-kromah-1
Abi Nwabuoku-Okonji,SR,DL,,abi-nwabuoku-okonji-1
Zai Roberts,JR,DL,,zai-roberts-1
Amar Thomas,FR,DL,,amar-thomas-1
Joe Worman,SO,DL,,joe-worman-1
Carter Banks,FR,DL,,carter-banks-1
Payne Bauer,SO,DL,,payne-bauer-1
Greyson Cadd,FR,DL,,greyson-cadd-1
Cephas Pettis,FR,DL,,cephas-pettis-1
Carter Sweazie,FR,DL,,carter-sweazie-1
Ike Thompson,FR,DL,,ike-thompson-1
Spencer Toth,FR,DL,,spencer-toth-1
Tyrique Tucker,FR,DL,,tyrique-tucker-1
Julio Ayamel,JR,LB,,julio-ayamel-1
Tate Beaver,SR,LB,,tate-beaver-1
Aiden Fisher,SO,LB,,aiden-fisher-1
Trent Hendrick,SO,LB,,trent-hendrick-1
Mateo Jackson,SR,LB,,mateo-jackson-1
Taurus Jones,JR,LB,,taurus-jones-1
Skylar Martin,SO,LB,,skylar-martin-1
Jailin Walker,JR,LB,,jailin-walker-1
Matthew Channell,FR,LB,,matthew-channell-1
Brandon Fique,SO,LB,,brandon-fique-1
Seth Naotala,SO,LB,,seth-naotala-1
Sam Clark,SR,P,,sam-clark-1
Brent Austin,SO,CB,,brent-austin-1
Antoine Booth,SO,CB,,antoine-booth-2
Chris Chukwuneke,SR,S,,chris-chukwuneke-1
Xavier Cokley,SO,CB,,xavier-cokley-1
Devyn Coles,SR,CB,,devyn-coles-1
Kyle Davis,SR,LS,,kyle-davis-4
Jalen Green,SR,DE,,jalen-green-1
Kye Holmes,SO,S,,kye-holmes-1
Sam Kidd,SR,S,,sam-kidd-1
Chauncey Logan,SO,CB,,chauncey-logan-1
Francis Meehan,SR,S,,francis-meehan-1
Nehki Meredith,SO,CB,,nehki-meredith-1
Que Reid,SR,S,,que-reid-1
Jarius Reimonenq,SR,S,,jarius-reimonenq-1
Josh Sarratt,SR,S,,josh-sarratt-1
Jordan Swann,SR,CB,,jordan-swann-1
Jacob Thomas,SO,S,,jacob-thomas-1
Isaac Ukwu,SR,DE,,isaac-ukwu-1
Jordan White,SO,S,,jordan-white-4
Jahquil Batts,SO,S,,jahquil-batts-1
Justin Eaglin,FR,CB,,justin-eaglin-1
Stephen Hollander,FR,S,,stephen-hollander-1
John Ransom,SO,CB,,john-ransom-1
Kaden Schickel,SO,LS,,kaden-schickel-1
Jamaree Seldon,FR,CB,,jamaree-seldon-1
Aaron Whear,SO,LS,,aaron-whear-1
