Player,Class,Pos,Summary,Player-additional
Collin Schlee,JR,QB,157 Cmp 266 Att 2109 Yds 13 TD,collin-schlee-1
Devin Kargman,SO,QB,29 Cmp 70 Att 348 Yds 3 TD,devin-kargman-1
Tommy Ulatowski,SO,QB,6 Cmp 11 Att 102 Yds 1 TD,tommy-ulatowski-1
Griffin Brewster,SR,QB,,griffin-brewster-1
Chandler Galban,SO,QB,,chandler-galban-1
Marquez Cooper,JR,RB,285 Att 1326 Yds 4.7 Avg,marquez-cooper-1
Bryan Bradford,JR,RB,64 Att 302 Yds 4.7 Avg,bryan-bradford-1
Gavin Garcia,SO,RB,35 Att 211 Yds 6.0 Avg,gavin-garcia-1
Shakhi Carson,SO,RB,6 Att 61 Yds 10.2 Avg,shakhi-carson-1
Daniel Bangura,SR,RB,5 Att 13 Yds 2.6 Avg,daniel-bangura-1
Preston Taylor,SO,RB,,preston-taylor-1
Xavier Williams,SR,RB,,xavier-williams-2
Devontez Walker,SO,WR,58 Rec 921 Yds 15.9 Avg,devontez-walker-1
Dante Cephas,JR,WR,48 Rec 744 Yds 15.5 Avg,dante-cephas-1
Ja'Shaun Poke,SR,WR,31 Rec 362 Yds 11.7 Avg,jashaun-poke-1
Raymond James,SR,WR,13 Rec 97 Yds 7.5 Avg,raymond-james-1
Luke Floriea,SR,WR,4 Rec 51 Yds 12.8 Avg,luke-floriea-1
Trell Harris,SO,WR,13 Rec 136 Yds 10.5 Avg,trell-harris-1
Marcus Harris,JR,WR,2 Rec 16 Yds 8.0 Avg,marcus-harris-6
J.B. Awolowo,SR,WR,,jb-awolowo-1
Naran Buntin,JR,WR,,naran-buntin-1
Chrishon McCray,SO,WR,,chrishon-mccray-1
Isaac Vance,SR,WR,,isaac-vance-1
Jameel Gardner,SO,WR,,jameel-gardner-1
Kris Leach,SR,TE,8 Rec 94 Yds 11.8 Avg,kris-leach-1
Keenan Orr,SR,TE,1 Rec 3 Yds 3.0 Avg,keenan-orr-1
Tyler Dostin,SO,TE,,tyler-dostin-1
Justin Holmes,SO,TE,,justin-holmes-3
Hayden Junker,SR,TE,,hayden-junker-1
Mohammed Hazime,SO,TE,,mohammed-hazime-1
Sam Allan,SR,OL,,sam-allan-1
Jack Bailey,JR,OL,,jack-bailey-3
Cameron Golden,SR,OL,,cameron-golden-1
Elijah Lamptey,SR,OL,,elijah-lamptey-1
Marcellus Marshall,JR,OL,,marcellus-marshall-1
Josh Prusinowski,SO,OL,,josh-prusinowski-1
Elijah Ratliff,SR,OL,,elijah-ratliff-1
Nolan Rumler,SR,OL,,nolan-rumler-1
Kevin Toth Jr.,SO,OL,,kevin-toth-jr-1
Savion Washington,SR,OL,,savion-washington-1
Nick Bryan,SO,OL,,nick-bryan-1
John Jackson,SO,OL,,john-jackson-9
Garrett Masterson,SO,OL,,garrett-masterson-1
Mason Mennell,SO,OL,,mason-mennell-1
Dustyn Morell,SO,OL,,dustyn-morell-1
Chris Reber,FR,OL,,chris-reber-1
Andrew Glass,JR,K,,andrew-glass-1
Will Hryszko,SO,K,,will-hryszko-1
Johan Silver,SO,K,,johan-silver-1
Charlie Durkin,SO,K,,charlie-durkin-1
Zayin West,SR,DL,,zayin-west-1
Oliver Billotte,SO,DL,,oliver-billotte-1
AJ Campbell,SO,DL,,aj-campbell-1
Antoine Cook,SR,DL,,antoine-cook-1
Stephen Daley,SO,DL,,stephen-daley-1
Saivon Davis,SR,DL,,saivon-davis-1
Sekou Diaby,SR,DL,,sekou-diaby-1
Adin Huntington,SR,DL,,adin-huntington-1
CJ West,SR,DL,,cj-west-1
Macyo Williams,JR,DL,,macyo-williams-1
Aeden Holler,JR,DL,,aeden-holler-1
Chase Fortkamp,JR,LB,,chase-fortkamp-1
Kesean Gamble,SR,LB,,kesean-gamble-1
Matt Harmon,SR,LB,,matt-harmon-3
CJ Harris,JR,LB,,cj-harris-1
Khalib Johns,SR,LB,,khalib-johns-1
Luke Murphy,SR,LB,,luke-murphy-1
Rocco Nicholl,SO,LB,,rocco-nicholl-1
Marvin Pierre,SR,LB,,marvin-pierre-1
Khali Saunders,SR,LB,,khali-saunders-1
Shane Slattery,JR,LB,,shane-slattery-1
Juan Wallace,SR,LB,,juan-wallace-1
Cannon Kerr,JR,LB,,cannon-kerr-1
Ahmad Nalls,SO,LB,,ahmad-nalls-1
Josh Baka,SO,DB,,josh-baka-1
Capone Blue,SR,DB,,capone-blue-1
Lavonte Gater,SR,DB,,lavonte-gater-1
Naijee Jones,SR,DB,,naijee-jones-1
D.J. Miller,SR,DB,,dj-miller-2
Montre Miller,SR,DB,,montre-miller-1
Terrell Miller,SR,DB,,terrell-miller-1
Bryce Sheppert,SR,DB,,bryce-sheppert-1
Heskin Smith,SR,DB,,heskin-smith-1
Tyler Bivens,SO,DB,,tyler-bivens-1
Jamir Gardner,SO,DB,,jamir-gardner-1
Jahmad Harmon,SO,DB,,jahmad-harmon-1
Josh Smith,JR,P,,josh-smith-19
Nico Bolden,SR,S,,nico-bolden-1
Alex Branch,JR,CB,,alex-branch-1
Dean Clark,SR,S,,dean-clark-1
Jojo Evans,SO,S,,jojo-evans-1
Brad George,SR,LS,,brad-george-1
Goodell Gus,JR,LS,,goodell-gus-1
Emon Hill,SR,CB,,emon-hill-1
C.J. Holmes,SR,S,,cj-holmes-1
Gage Michael,JR,S,,gage-michael-1
Mario Nunez,SR,CB,,mario-nunez-1
Antwaine Richardson,SR,S,,antwaine-richardson-1
Mike Ryan,SO,LS,,mike-ryan-5
Luke Romes,SO,LS,,luke-romes-1
