Player,Class,Pos,Summary,Player-additional
Ben Wooldridge,SR,QB,138 Cmp 244 Att 1661 Yds 15 TD,ben-wooldridge-1
Chandler Fields,JR,QB,106 Cmp 182 Att 1123 Yds 11 TD,chandler-fields-1
Zeon Chriss,SO,QB,9 Cmp 15 Att 109 Yds 1 TD,zeon-chriss-1
Zy McDonald,SO,QB,,zy-mcdonald-1
Hunter Herring,JR,QB,,hunter-herring-1
Chris Smith,SR,RB,126 Att 625 Yds 5.0 Avg,chris-smith-22
Terrence Williams,JR,RB,104 Att 373 Yds 3.6 Avg,terrence-williams-1
Dre'lyn Washington,SO,RB,64 Att 350 Yds 5.5 Avg,drelyn-washington-1
Jacob Kibodi,SR,RB,37 Att 169 Yds 4.6 Avg,jacob-kibodi-1
Zylan Perry,SO,RB,20 Att 62 Yds 3.1 Avg,zylan-perry-1
Taelon Nicholas,SO,RB,,taelon-nicholas-1
Chaz Ward,SR,RB,,chaz-ward-1
Kendrell Williams,JR,RB,,kendrell-williams-1
Lance Legendre,JR,WR,13 Rec 165 Yds 12.7 Avg,lance-legendre-1
Peter LeBlanc,SR,WR,22 Rec 174 Yds 7.9 Avg,peter-leblanc-1
Errol Rogers Jr.,JR,WR,20 Rec 189 Yds 9.5 Avg,errol-rogers-jr-1
Michael Jefferson,SR,WR,51 Rec 810 Yds 15.9 Avg,michael-jefferson-1
Dontae Fleming,JR,WR,19 Rec 168 Yds 8.8 Avg,dontae-fleming-1
John Stephens Jr.,SR,WR,14 Rec 284 Yds 20.3 Avg,john-stephens-jr-1
Jacob Bernard,JR,WR,11 Rec 191 Yds 17.4 Avg,jacob-bernard-1
Dalen Cambre,JR,WR,3 Rec 49 Yds 16.3 Avg,dalen-cambre-1
Jamal Bell,SR,WR,2 Rec 39 Yds 19.5 Avg,jamal-bell-1
Kaleb Carter,SR,WR,2 Rec 11 Yds 5.5 Avg,kaleb-carter-1
Golden Eke III,SR,WR,,golden-eke-iii-1
Charles Robertson,SO,WR,,charles-robertson-1
Jared Braxton,SO,WR,,jared-braxton-1
Calvin Bullock,SO,WR,,calvin-bullock-1
Treyv'on Culbert,SO,WR,,treyvon-culbert-1
Aaron Edwards,JR,WR,,aaron-edwards-1
Jaydon Johnson,SO,WR,,jaydon-johnson-1
Dale Martin,SO,WR,,dale-martin-2
Charlie Wells,SO,WR,,charlie-wells-1
Robert Williams,SO,WR,,robert-williams-15
Neal Johnson,SR,TE,25 Rec 296 Yds 11.8 Avg,neal-johnson-1
Pearse Migl,SR,TE,17 Rec 127 Yds 7.5 Avg,pearse-migl-1
Johnny Lumpkin,SR,TE,16 Rec 143 Yds 8.9 Avg,johnny-lumpkin-1
Rhett Guidry,JR,TE,1 Rec 6 Yds 6.0 Avg,rhett-guidry-1
Damani Burrell,SR,TE,,damani-burrell-1
Jathan Caldwell,SO,TE,,jathan-caldwell-1
Terrance Carter,SO,TE,,terrance-carter-2
Joe Lombardi Jr.,SO,TE,,joe-lombardi-jr-1
Tyler Hatcher,JR,TE,,tyler-hatcher-1
Kenneth Almendares,SR,K,,kenneth-almendares-1
Preston Stafford,SR,K,,preston-stafford-2
Logan Klotz,JR,K,,logan-klotz-1
Evan Padilla,SR,K,,evan-padilla-2
Gavin Royer,SO,K,,gavin-royer-1
Kailep Edwards,SO,LB,,kailep-edwards-1
Kendre' Gant,JR,LB,,kendre-gant-1
Cameron George,SO,LB,,cameron-george-1
Tyler Guidry,SR,LB,,tyler-guidry-1
Andre Jones,SR,LB,,andre-jones-4
Caleb Kibodi,SO,LB,,caleb-kibodi-1
Wesley Maze,SO,LB,,wesley-maze-1
Kris Moncrief,SR,LB,,kris-moncrief-1
K.C Ossai,JR,LB,,kc-ossai-1
Ja'Marian Peterson,JR,LB,,jamarian-peterson-1
Jourdon Quibodeaux,SR,LB,,jourdon-quibodeaux-1
Andre Riley,SR,LB,,andre-riley-2
Jake St. Andre,SO,LB,,jake-st-andre-1
Cameron Whitfield,SO,LB,,cameron-whitfield-1
Jasper Williams,SR,LB,,jasper-williams-2
Jake Chaisson,SO,LB,,jake-chaisson-1
Ross Cheatham,SR,LB,,ross-cheatham-1
Colbi Dennis,SO,LB,,colbi-dennis-1
Alex Self,JR,LB,,alex-self-1
Hunter Warren,SO,LB,,hunter-warren-2
Rhys Byrns,SR,P,,rhys-byrns-1
Thomas Leo,SR,P,,thomas-leo-1
Trey Amos,JR,CB,,trey-amos-1
Caleb Anderson,JR,CB,,caleb-anderson-1
Key'Savalyn Barnes,SO,S,,keysavalyn-barnes-1
Brandon Bishop,SR,S,,brandon-bishop-3
Landon Burton,JR,OC,,landon-burton-1
Blake Champagne,SO,DT,,blake-champagne-1
Courtline Flowers,JR,S,,courtline-flowers-1
Eric Garror,SR,CB,,eric-garror-1
AJ Gillie,JR,OG,,aj-gillie-1
Jax Harrington,JR,OG,,jax-harrington-1
Sonny Hazard,JR,DT,,sonny-hazard-1
Zi'Yon Hill,SR,DE,,ziyon-hill-1
David Hudson,SR,OG,,david-hudson-2
Dalvin Hutchinson,SR,DT,,dalvin-hutchinson-1
George Jackson,JR,OT,,george-jackson-2
Andre Landry,SR,DE,,andre-landry-1
Jordan Lawson,SO,DE,,jordan-lawson-1
Tyrone Lewis Jr.,JR,S,,tyrone-lewis-jr-1
Keyon Martin,JR,CB,,keyon-martin-1
Amir McDaniel,JR,CB,,amir-mcdaniel-1
Nijel McGriff,JR,DE,,nijel-mcgriff-1
Patrick Mensah,SR,S,,patrick-mensah-1
Carter Milliron,SO,LS,,carter-milliron-1
Kaden Moreau,SO,OG,,kaden-moreau-1
Mason Narcisse,JR,DT,,mason-narcisse-1
Ja-Quane Nelson,SR,DT,,ja-quane-nelson-1
James Ohonba,SR,OG,,james-ohonba-1
RJ Oliver,SO,DE,,rj-oliver-2
Kam Pedescleaux,SR,S,,kam-pedescleaux-1
Ty'Darien Quinney,JR,S,,tydarien-quinney-1
Carlos Rubio,SR,OT,,carlos-rubio-1
Hunter Sims,JR,LS,,hunter-sims-1
Tyree Skipper,JR,S,,tyree-skipper-1
Nathan Thomas,JR,OT,,nathan-thomas-1
Bralen Trahan,SR,S,,bralen-trahan-1
Quinton Williams,JR,OG,,quinton-williams-2
Marcus Wiser,JR,DT,,marcus-wiser-1
Justin Agu,SO,CB,,justin-agu-1
Zach Boulet,JR,OC,,zach-boulet-1
Cejae Ceasar,JR,S,,cejae-ceasar-1
Jalen Clark,SO,CB,,jalen-clark-1
Denim Day,SO,CB,,denim-day-1
Nick Dore,SO,OG,,nick-dore-1
Lorenzo Dubose,SO,CB,,lorenzo-dubose-1
Maurion Eleam,SO,S,,maurion-eleam-1
Demetrus Gladney,SO,DE,,demetrus-gladney-1
Lanard Harris,SO,CB,,lanard-harris-1
Colby Hebert,JR,OC,,colby-hebert-1
Calep Jacob,SO,CB,,calep-jacob-1
Collin Jacob,SO,CB,,collin-jacob-1
Jared Kreeger,SO,OT,,jared-kreeger-1
Nathaniel LaRue,SO,OG,,nathaniel-larue-1
Mackey Maillho,SO,OT,,mackey-maillho-1
Camden Maroon,FR,OT,,camden-maroon-1
King McGowen,JR,OT,,king-mcgowen-1
Trent Murphy,SO,OT,,trent-murphy-2
Joshua Robinson,SO,DE,,joshua-robinson-2
Chris Scott,SO,DE,,chris-scott-5
James Segrest,JR,LS,,james-segrest-1
Willie Smith,SO,CB,,willie-smith-11
Damon Thompson,SO,DT,,damon-thompson-2
Asjlin Washington,SR,CB,,asjlin-washington-1
Kendall Wilkerson,JR,DE,,kendall-wilkerson-1
Bryant Williams,SO,OT,,bryant-williams-3
Jeremiah Williams,FR,DT,,jeremiah-williams-3
Kerry Wilson,SO,S,,kerry-wilson-1
Aaron Wright,SO,S,,aaron-wright-4
