Player,Class,Pos,Summary,Player-additional
Chandler Rogers,JR,QB,216 Cmp 320 Att 2403 Yds 15 TD,chandler-rogers-3
Garrett Hable,SR,QB,4 Cmp 8 Att 58 Yds 0 TD,garrett-hable-2
Jiya Wright,SR,QB,,jiya-wright-1
Brian Garcia,JR,QB,,brian-garcia-1
Zach Shaw,SO,QB,,zach-shaw-1
Andrew Henry,SR,RB,75 Att 323 Yds 4.3 Avg,andrew-henry-2
Isaiah Phillips,SR,RB,12 Att 37 Yds 3.1 Avg,isaiah-phillips-1
Zack Martin,JR,RB,9 Att 57 Yds 6.3 Avg,zack-martin-2
Bennett Galloway,SO,RB,6 Att 17 Yds 2.8 Avg,bennett-galloway-1
Charles Norman,JR,RB,3 Att 8 Yds 2.7 Avg,charles-norman-1
Hunter Smith,SO,RB,2 Att 9 Yds 4.5 Avg,hunter-smith-7
Will Derrick,SR,WR,4 Rec 37 Yds 9.3 Avg,will-derrick-1
Malik Jackson,SR,WR,16 Rec 63 Yds 3.9 Avg,malik-jackson-6
Alred Luke,SO,WR,23 Rec 293 Yds 12.7 Avg,alred-luke-1
Bugs Mortimer,SO,WR,14 Rec 85 Yds 6.1 Avg,bugs-mortimer-1
Zachari Jackson,SR,WR,9 Rec 67 Yds 7.4 Avg,zachari-jackson-1
Tyrone Howell,SR,WR,50 Rec 852 Yds 17.0 Avg,tyrone-howell-1
Jevin Frett,SR,WR,30 Rec 382 Yds 12.7 Avg,jevin-frett-1
Boogie Knight,SR,WR,19 Rec 170 Yds 8.9 Avg,boogie-knight-1
Fred Lloyd Jr.,SR,WR,7 Rec 136 Yds 19.4 Avg,fred-lloyd-jr-1
Dariyan Wiley,JR,WR,7 Rec 82 Yds 11.7 Avg,dariyan-wiley-1
Trent Ginn,SO,WR,,trent-ginn-1
Parker Hill,SO,WR,,parker-hill-1
Jalen Jackson,SR,WR,,jalen-jackson-8
Justin Kimber,SO,WR,,justin-kimber-1
Max McGee,SO,WR,,max-mcgee-1
William Berry,SO,WR,,william-berry-1
Zach Rasmussen,SR,TE,16 Rec 133 Yds 8.3 Avg,zach-rasmussen-1
Nolan Quinlan,SR,TE,7 Rec 28 Yds 4.0 Avg,nolan-quinlan-2
Rylan Green,SO,TE,4 Rec 30 Yds 7.5 Avg,rylan-green-1
Abraham Alce,SR,TE,,abraham-alce-2
Jordan Crumpton,JR,TE,,jordan-crumpton-2
Garret Kahmann,JR,TE,,garret-kahmann-1
Elijah Fisher,SO,OL,,elijah-fisher-1
Nick Lowe,SR,OL,,nick-lowe-1
Adameon Botley,SO,OL,,adameon-botley-1
