Player,Class,Pos,Summary,Player-additional
Tyler Van Dyke,SR,QB,160 Cmp 253 Att 1835 Yds 10 TD,tyler-van-dyke-1
Jake Garcia,JR,QB,68 Cmp 115 Att 803 Yds 5 TD,jake-garcia-1
Jacurri Brown,SO,QB,27 Cmp 45 Att 230 Yds 3 TD,jacurri-brown-1
Jayden George,JR,QB,,jayden-george-2
Bryson Martin,SO,QB,,bryson-martin-1
Peyton Matocha,SR,QB,,peyton-matocha-1
Henry Parrish Jr.,SR,RB,130 Att 616 Yds 4.7 Avg,henry-parrish-jr-1
Jaylan Knighton,SR,RB,78 Att 423 Yds 5.4 Avg,jaylan-knighton-1
Thaddius Franklin Jr.,JR,RB,50 Att 209 Yds 4.2 Avg,thaddius-franklin-jr-1
Lucious Stanley,SR,RB,19 Att 94 Yds 4.9 Avg,lucious-stanley-1
Terrell Walden,SO,RB,6 Att 43 Yds 7.2 Avg,terrell-walden-2
Devon Perry,SR,RB,5 Att 31 Yds 6.2 Avg,devon-perry-1
Donald Chaney Jr.,SR,RB,2 Att 8 Yds 4.0 Avg,donald-chaney-jr-1
Isaiah Cashwell,SR,RB,,isaiah-cashwell-1
TreVonte' Citizen,SO,RB,,trevonte-citizen-1
Mike Peraino,SO,RB,,mike-peraino-1
Syncere Sampson,SO,RB,,syncere-sampson-1
Brashard Smith,JR,WR,33 Rec 308 Yds 9.3 Avg,brashard-smith-1
Keyshawn Smith,SR,WR,13 Rec 199 Yds 15.3 Avg,keyshawn-smith-1
Romello Brinson,JR,WR,7 Rec 99 Yds 14.1 Avg,romello-brinson-1
Frank Ladson Jr.,SR,WR,27 Rec 298 Yds 11.0 Avg,frank-ladson-jr-1
Colbie Young,JR,WR,32 Rec 367 Yds 11.5 Avg,colbie-young-1
Xavier Restrepo,SR,WR,21 Rec 240 Yds 11.4 Avg,xavier-restrepo-1
Michael Redding III,SR,WR,15 Rec 217 Yds 14.5 Avg,michael-redding-iii-1
Jacolby George,JR,WR,13 Rec 130 Yds 10.0 Avg,jacolby-george-1
Isaiah Horton,SO,WR,1 Rec 6 Yds 6.0 Avg,isaiah-horton-1
Josh Murillo,JR,WR,,josh-murillo-1
Zaire Cox,SO,WR,,zaire-cox-1
Bryson Robertson,SO,WR,,bryson-robertson-1
Will Mallory,SR,TE,42 Rec 538 Yds 12.8 Avg,will-mallory-1
Jaleel Skinner,SO,TE,9 Rec 129 Yds 14.3 Avg,jaleel-skinner-1
Elijah Arroyo,JR,TE,5 Rec 66 Yds 13.2 Avg,elijah-arroyo-1
Kahlil Brantley,JR,TE,4 Rec 21 Yds 5.3 Avg,kahlil-brantley-1
Dominic Mammarelli,SR,TE,1 Rec -2 Yds -2.0 Avg,dominic-mammarelli-1
Robert Prosek,SR,TE,,robert-prosek-1
Seth Parrott,SO,TE,,seth-parrott-1
John Campbell Jr.,SR,OL,,john-campbell-jr-1
Jakai Clark,SR,OL,,jakai-clark-1
Anez Cooper,SO,OL,,anez-cooper-1
Jonathan Denis,JR,OL,,jonathan-denis-1
Matthew McCoy,SO,OL,,matthew-mccoy-2
Michael McLaughlin,JR,OL,,michael-mclaughlin-1
Zion Nelson,SR,OL,,zion-nelson-1
Justice Oluwaseun,SR,OL,,justice-oluwaseun-1
Jalen Rivers,SO,OL,,jalen-rivers-1
Logan Sagapolu,JR,OL,,logan-sagapolu-1
DJ Scaife Jr.,SR,OL,,dj-scaife-jr-1
Ousman Traore,SR,OL,,ousman-traore-1
Chris Washington,SR,OL,,chris-washington-7
Matt Antezana,SO,OL,,matt-antezana-1
Johnnie Brown,SO,OL,,johnnie-brown-1
Jared Griffith,SR,OL,,jared-griffith-1
Ian Johnson,SO,OL,,ian-johnson-2
Ryan Rodriguez,JR,OL,,ryan-rodriguez-1
Andres Borregales,JR,K,,andres-borregales-1
Trevor Weldon,SO,K,,trevor-weldon-1
Thomas Davis,JR,DL,,thomas-davis-2
Jared Harrison-Hunte,SR,DL,,jared-harrison-hunte-1
Jahfari Harvey,SR,DL,,jahfari-harvey-1
Allan Haye Jr.,JR,DL,,allan-haye-jr-1
Darrell Jackson,JR,DL,,darrell-jackson-3
Nyjalik Kelly,SO,DL,,nyjalik-kelly-1
Jacob Lichtenstein,SR,DL,,jacob-lichtenstein-1
Akheem Mesidor,SR,DL,,akheem-mesidor-1
Jordan Miller,SR,DL,,jordan-miller-4
Cyrus Moss,SO,DL,,cyrus-moss-1
Ahmad Moten,SO,DL,,ahmad-moten-1
Antonio Moultrie,SR,DL,,antonio-moultrie-1
Elijah Roberts,SR,DL,,elijah-roberts-1
Leonard Taylor,JR,DL,,leonard-taylor-3
Chantz Williams,SR,DL,,chantz-williams-1
Bryan Levine,SR,DL,,bryan-levine-1
Josh Neely,SO,DL,,josh-neely-1
Trent Scheuerman,SO,DL,,trent-scheuerman-1
Mitchell Agude,SR,LB,,mitchell-agude-1
Souleymane Bangoura,JR,LB,,souleymane-bangoura-1
Wesley Bissainthe,SO,LB,,wesley-bissainthe-1
Corey Flagg Jr.,SR,LB,,corey-flagg-jr-1
Wade Gullickson,SO,LB,,wade-gullickson-1
Avery Huff,SR,LB,,avery-huff-1
Caleb Johnson,SR,LB,,caleb-johnson-4
Lucas Peterson,SO,LB,,lucas-peterson-1
Ryan Ragone,SR,LB,,ryan-ragone-1
Chase Smith,JR,LB,,chase-smith-1
Waynmon Steed,SR,LB,,waynmon-steed-1
Jake Hoffman,SR,LB,,jake-hoffman-2
Emmanuel Houvardas,SO,LB,,emmanuel-houvardas-1
Andrew Saint Fleur,SO,LB,,andrew-saint-fleur-1
AL Blades,SR,DB,,al-blades-2
Te'cory Couch,SR,DB,,tecory-couch-1
Malik Curtis,JR,DB,,malik-curtis-1
Gilbert Frierson,SR,DB,,gilbert-frierson-1
Luis Gutierrez Jr.,SR,DB,,luis-gutierrez-jr-1
Jaden Harris,SO,DB,,jaden-harris-2
DJ Ivey,SR,DB,,dj-ivey-1
Kamren Kinchens,JR,DB,,kamren-kinchens-1
Khamauri Rogers,SO,DB,,khamauri-rogers-1
Keontra Smith,SR,DB,,keontra-smith-1
Tyrique Stevenson,SR,DB,,tyrique-stevenson-1
James Williams,JR,DB,,james-williams-16
Markeith Williams,SO,DB,,markeith-williams-1
Chris Graves Jr.,SO,DB,,chris-graves-jr-1
Nick Kelly,SO,DB,,nick-kelly-3
Myles Mooyoung,SO,DB,,myles-mooyoung-1
Michael Suarez,SO,DB,,michael-suarez-1
John Yayi-Bondje,JR,DB,,john-yayi-bondje-1
Louis Hedley,SR,P,,louis-hedley-1
Will Hutchinson,SO,P,,will-hutchinson-2
Fred Potter,SR,P,,fred-potter-1
Sebastian Przytula,SR,P,,sebastian-przytula-1
Brian Balom,SR,S,,brian-balom-1
Isaiah Dunson,SR,CB,,isaiah-dunson-1
Clay James,SR,LS,,clay-james-1
Mason Napper,SR,LS,,mason-napper-1
Daryl Porter Jr.,JR,CB,,daryl-porter-jr-1
Laurence Seymore,JR,OG,,laurence-seymore-1
Keshawn Washington,SR,S,,keshawn-washington-1
Avantae Williams,JR,S,,avantae-williams-1
Jalen Harrell,SR,S,,jalen-harrell-1
Jabari Ishmael,JR,DE,,jabari-ishmael-1
Gabe Landers,SO,LS,,gabe-landers-1
