Player,Class,Pos,Summary,Player-additional
Brady Cook,SR,QB,248 Cmp 383 Att 2739 Yds 14 TD,brady-cook-1
Jack Abraham,SR,QB,3 Cmp 8 Att 44 Yds 0 TD,jack-abraham-1
Sam Horn,SO,QB,0 Cmp 2 Att 0 Yds 0 TD,sam-horn-1
Tyler Macon,JR,QB,,tyler-macon-1
Brett Brown,SO,QB,,brett-brown-1
Tommy Lock,JR,QB,,tommy-lock-2
Cody Schrader,JR,RB,170 Att 745 Yds 4.4 Avg,cody-schrader-1
Nathaniel Peat,SR,RB,100 Att 438 Yds 4.4 Avg,nathaniel-peat-1
Elijah Young,SR,RB,19 Att 92 Yds 4.8 Avg,elijah-young-1
Michael Cox,JR,RB,9 Att 46 Yds 5.1 Avg,michael-cox-3
BJ Harris,JR,RB,8 Att 32 Yds 4.0 Avg,bj-harris-1
Tavorus Jones,SO,RB,7 Att 25 Yds 3.6 Avg,tavorus-jones-1
Taj Butts,JR,RB,1 Rec 10 Yds 10.0 Avg,taj-butts-1
Chris Kreh,JR,RB,,chris-kreh-1
Anthony Favrow,SO,RB,,anthony-favrow-1
Bryce Jackson,JR,RB,,bryce-jackson-3
Ethan Wood,SO,RB,,ethan-wood-2
Luther Burden,SO,WR,45 Rec 375 Yds 8.3 Avg,luther-burden-1
Dominic Lovett,JR,WR,56 Rec 846 Yds 15.1 Avg,dominic-lovett-1
Chritauskie Dove,SR,WR,16 Rec 240 Yds 15.0 Avg,chritauskie-dove-1
Barrett Banister,SR,WR,44 Rec 457 Yds 10.4 Avg,barrett-banister-1
Mookie Cooper,JR,WR,25 Rec 297 Yds 11.9 Avg,mookie-cooper-1
Mekhi Miller,SO,WR,8 Rec 128 Yds 16.0 Avg,mekhi-miller-1
Demariyon Houston,SR,WR,6 Rec 39 Yds 6.5 Avg,demariyon-houston-2
Micah Manning,JR,WR,,micah-manning-1
Logan Muckey,JR,WR,,logan-muckey-1
Zach Hahn,JR,WR,,zach-hahn-1
Chance Luper,JR,WR,,chance-luper-1
Tyler Stephens,SR,TE,5 Rec 54 Yds 10.8 Avg,tyler-stephens-3
Kibet Chepyator,SR,TE,3 Rec 26 Yds 8.7 Avg,kibet-chepyator-1
Ryan Hoerstkamp,JR,TE,2 Rec 32 Yds 16.0 Avg,ryan-hoerstkamp-1
Shawn Hendershot,JR,TE,,shawn-hendershot-1
Max Whisner,SO,TE,,max-whisner-1
Damon Johanns,JR,TE,,damon-johanns-1
Gavin McKay,JR,TE,,gavin-mckay-1
Tucker Miller,SO,TE,,tucker-miller-1
Xavier Delgado,SR,OL,,xavier-delgado-1
Javon Foster,SR,OL,,javon-foster-1
Luke Griffin,SR,OL,,luke-griffin-1
Drake Heismeyer,JR,OL,,drake-heismeyer-1
Bobby Lawrence,SR,OL,,bobby-lawrence-1
Armand Membou,SO,OL,,armand-membou-1
E.J. Ndoma-Ogar,JR,OL,,ej-ndoma-ogar-1
Zeke Powell,SR,OL,,zeke-powell-1
Richard Taylor,SR,OL,,richard-taylor-2
Connor Tollison,JR,OL,,connor-tollison-1
Mitchell Walters,JR,OL,,mitchell-walters-1
Connor Wood,SR,OL,,connor-wood-2
D.J. Bullard,SR,OL,,dj-bullard-1
Valen Erickson,SO,OL,,valen-erickson-1
Ethan Hellebusch,FR,OL,,ethan-hellebusch-1
MaKyi Lee,SR,OL,,makyi-lee-1
Nathan Lund,SO,OL,,nathan-lund-1
Xavier Machado,SO,OL,,xavier-machado-1
Jack McGarry,SO,OL,,jack-mcgarry-1
Curtis Peagler,SO,OL,,curtis-peagler-1
Trenton Sederwall,SR,OL,,trenton-sederwall-1
Dylan Spencer,SO,OL,,dylan-spencer-2
Hyrin White,SR,OL,,hyrin-white-1
