Player,Class,Pos,Summary,Player-additional
Diego Pavia,SR,QB,101 Cmp 190 Att 1450 Yds 13 TD,diego-pavia-1
Gavin Frakes,SO,QB,55 Cmp 110 Att 736 Yds 4 TD,gavin-frakes-1
Weston Eget,SO,QB,3 Cmp 4 Att 13 Yds 1 TD,weston-eget-1
Bryce Bearss,SO,QB,,bryce-bearss-1
Jeff Davison,JR,QB,,jeff-davison-1
Kheagian Heckaman,SO,QB,,kheagian-heckaman-1
Karson Kaiser,FR,QB,,karson-kaiser-1
Dino Maldonado,JR,QB,,dino-maldonado-1
Jamoni Jones,JR,RB,111 Att 383 Yds 3.5 Avg,jamoni-jones-1
Star Thomas,JR,RB,107 Att 518 Yds 4.8 Avg,star-thomas-1
Ahmonte Watkins,JR,RB,39 Att 248 Yds 6.4 Avg,ahmonte-watkins-1
Timothy Gans,SR,RB,26 Att 127 Yds 4.9 Avg,timothy-gans-1
O'Maury Samuels,SR,RB,9 Att 69 Yds 7.7 Avg,omaury-samuels-1
Makhilyn Young,SO,RB,4 Att 10 Yds 2.5 Avg,makhilyn-young-1
Braylon Stewart,SO,RB,2 Att 4 Yds 2.0 Avg,braylon-stewart-1
Alex Escobar,SR,RB,,alex-escobar-1
Larenzo McMillan,JR,RB,,larenzo-mcmillan-1
Jonathan Brady,SO,WR,23 Rec 310 Yds 13.5 Avg,jonathan-brady-1
Jordin Parker,SR,WR,6 Rec 119 Yds 19.8 Avg,jordin-parker-1
Bryce Childress,JR,WR,17 Rec 212 Yds 12.5 Avg,bryce-childress-2
Kordell David,SR,WR,24 Rec 343 Yds 14.3 Avg,kordell-david-1
Justice Powers,SR,WR,20 Rec 440 Yds 22.0 Avg,justice-powers-2
Chris Bellamy,SR,WR,12 Rec 142 Yds 11.8 Avg,chris-bellamy-2
Terrell Warner,SR,WR,3 Rec 42 Yds 14.0 Avg,terrell-warner-1
Ta'ir Brooks,JR,WR,2 Rec 70 Yds 35.0 Avg,tair-brooks-1
Dominic Gicinto,SR,WR,2 Rec 16 Yds 8.0 Avg,dominic-gicinto-1
Lawrence Dixon,SR,WR,1 Rec 11 Yds 11.0 Avg,lawrence-dixon-1
Sol Rascon,SR,WR,1 Rec 13 Yds 13.0 Avg,sol-rascon-1
Ethan Singleton,SO,WR,,ethan-singleton-1
Erik Cueto,FR,WR,,erik-cueto-1
PJ Johnson III,JR,WR,,pj-johnson-iii-1
Braxton McDonald,SO,WR,,braxton-mcdonald-1
Ron Vann,SO,WR,,ron-vann-1
Thomaz Whitford,SR,TE,12 Rec 82 Yds 6.8 Avg,thomaz-whitford-1
J.J. Jones,SR,TE,6 Rec 50 Yds 8.3 Avg,jj-jones-7
Trevor Stephens,SO,TE,2 Rec 38 Yds 19.0 Avg,trevor-stephens-1
Kareem Burgess,SR,TE,,kareem-burgess-2
Jacob Franklin,SR,TE,,jacob-franklin-1
Grant Oberheu,SO,TE,,grant-oberheu-1
Jae'vone Brown,FR,OL,,jaevone-brown-1
Louie Canepa,FR,OL,,louie-canepa-1
Eddy Lazalde,JR,OL,,eddy-lazalde-1
Isaiah Mursalat,SR,OL,,isaiah-mursalat-1
Doro Omerhi,SR,OL,,doro-omerhi-1
Shiyazh Pete,SO,OL,,shiyazh-pete-1
Carson Pharris,JR,OL,,carson-pharris-1
Gabriel Preciado,SR,OL,,gabriel-preciado-1
Jai Rodriguez,SO,OL,,jai-rodriguez-1
AJ Vaipulu,SO,OL,,aj-vaipulu-1
Canaan Yarro,JR,OL,,canaan-yarro-1
Luteru Fedler,JR,OL,,luteru-fedler-1
Isaac Gonzalez,JR,OL,,isaac-gonzalez-1
Leonard Jefferson,FR,OL,,leonard-jefferson-1
Gannon Lauer,SO,OL,,gannon-lauer-1
Ronnie Mendez,JR,OL,,ronnie-mendez-1
Dylan Nichols,SO,OL,,dylan-nichols-1
Cooper Sheehan,SO,OL,,cooper-sheehan-1
Dylan Smith,SO,OL,,dylan-smith-2
Will Thomas,SO,OL,,will-thomas-3
Ethan Albertson,SR,K,,ethan-albertson-1
Brett Money,SO,K,,brett-money-1
Jack Thompson,SO,K,,jack-thompson-3
Logan Fuller,SO,K,,logan-fuller-1
Noah Arinze,SR,DL,,noah-arinze-2
Devin Bell,JR,DL,,devin-bell-1
Garrett Bishop,JR,DL,,garrett-bishop-1
Marcus Buckley,SR,DL,,marcus-buckley-2
Deven Dyer,SO,DL,,deven-dyer-1
Mike Edwards,SO,DL,,mike-edwards-9
De'Shawn Johnson,SR,DL,,deshawn-johnson-1
Donovan King,SR,DL,,donovan-king-1
Lama Lavea,SR,DL,,lama-lavea-1
Amari Pouncy,JR,DL,,amari-pouncy-1
Izaiah Reed,SR,DL,,izaiah-reed-2
Justin Segura,SR,DL,,justin-segura-1
Tyriece Thomas,JR,DL,,tyriece-thomas-2
Sterling Webb,SO,DL,,sterling-webb-1
Lazarus Williams,SR,DL,,lazarus-williams-1
Sioeli Helu,SO,DL,,sioeli-helu-1
Eric Marsh,SR,LB,,eric-marsh-2
Sone Aupiu,SO,LB,,sone-aupiu-1
James Blowers,SR,LB,,james-blowers-1
Trevor Brohard,SR,LB,,trevor-brohard-1
RJ Chakolis,FR,LB,,rj-chakolis-1
Keyshaun Elliot,SO,LB,,keyshaun-elliot-1
Joshua Ferguson,SO,LB,,joshua-ferguson-1
Nick Giacolone,JR,LB,,nick-giacolone-1
Jayvhion Gipson,SO,LB,,jayvhion-gipson-1
Pierce Humpich,SO,LB,,pierce-humpich-1
Bryant Jackson,SR,LB,,bryant-jackson-2
Taylor Milton,SR,LB,,taylor-milton-1
Chris Ojoh,SR,LB,,chris-ojoh-1
Buddha Peleti,SO,LB,,buddha-peleti-1
Gabe Peterson,SO,LB,,gabe-peterson-1
Dylan Zolezzi,JR,LB,,dylan-zolezzi-1
Dalton Bowles,JR,LB,,dalton-bowles-1
Tobin Hacket,SO,LB,,tobin-hacket-1
Alex Sanchez,JR,LB,,alex-sanchez-1
Linwood Crump,SR,DB,,linwood-crump-2
Syrus Dumas,SR,DB,,syrus-dumas-1
Dylan Early,JR,DB,,dylan-early-1
