Player,Class,Pos,Summary,Player-additional
Devin Leary,SR,QB,118 Cmp 193 Att 1265 Yds 11 TD,devin-leary-1
Ben Finley,SO,QB,65 Cmp 123 Att 741 Yds 3 TD,ben-finley-1
MJ Morris,SO,QB,52 Cmp 86 Att 648 Yds 7 TD,mj-morris-1
Jack Chambers,SR,QB,32 Cmp 64 Att 252 Yds 1 TD,jack-chambers-1
Ethan Rhodes,SO,QB,,ethan-rhodes-1
Zo Wallace,SO,QB,,zo-wallace-1
Demarcus Jones,JR,RB,24 Att 68 Yds 2.8 Avg,demarcus-jones-1
Jordan Houston,SR,RB,136 Att 544 Yds 4.0 Avg,jordan-houston-1
Demie Sumo,SO,RB,55 Att 305 Yds 5.5 Avg,demie-sumo-1
Michael Allen,SO,RB,53 Att 268 Yds 5.1 Avg,michael-allen-3
Delbert Mimms,JR,RB,27 Att 113 Yds 4.2 Avg,delbert-mimms-1
Devin Gardner,SO,RB,7 Att 14 Yds 2.0 Avg,devin-gardner-2
Micah Crowell,SO,RB,,micah-crowell-1
Thayer Thomas,SR,WR,57 Rec 642 Yds 11.3 Avg,thayer-thomas-1
Julian Gray,SO,WR,11 Rec 105 Yds 9.5 Avg,julian-gray-1
Keyon Lesane,SR,WR,31 Rec 342 Yds 11.0 Avg,keyon-lesane-1
Darryl Jones,SR,WR,30 Rec 280 Yds 9.3 Avg,darryl-jones-1
Devin Carter,SR,WR,25 Rec 406 Yds 16.2 Avg,devin-carter-1
Porter Rooks,JR,WR,19 Rec 151 Yds 7.9 Avg,porter-rooks-1
Terrell Timmons,SO,WR,3 Rec 79 Yds 26.3 Avg,terrell-timmons-1
Anthony Smith,JR,WR,2 Rec 58 Yds 29.0 Avg,anthony-smith-14
Jakolbe Baldwin,SO,WR,1 Rec 8 Yds 8.0 Avg,jakolbe-baldwin-1
Jalen Coit,SO,WR,1 Rec 10 Yds 10.0 Avg,jalen-coit-1
Josh Crabtree,SO,WR,,josh-crabtree-1
Ashton Locklear,SO,WR,,ashton-locklear-1
Dillon Mosley,SO,WR,,dillon-mosley-1
Jasiah Provillon,SR,WR,,jasiah-provillon-1
Jackson DeSilva,JR,WR,,jackson-desilva-1
Michael Fox,SR,WR,,michael-fox-1
Christopher Toudle,JR,TE,11 Rec 130 Yds 11.8 Avg,christopher-toudle-1
Cedric Seabrough,SO,TE,9 Rec 56 Yds 6.2 Avg,cedric-seabrough-1
Trent Pennix,SR,TE,8 Rec 111 Yds 13.9 Avg,trent-pennix-1
Fredrick Seabrough,SO,TE,1 Rec 3 Yds 3.0 Avg,fredrick-seabrough-1
Ezemdi Udoh,SO,TE,,ezemdi-udoh-1
Kameron Walker,JR,TE,,kameron-walker-1
Yates Johnson,SO,TE,,yates-johnson-1
Reid Mitchell,SO,TE,,reid-mitchell-2
Chandler Zavala,SR,OL,,chandler-zavala-2
Anthony Belton,JR,OL,,anthony-belton-1
Anthony Carter Jr.,SO,OL,,anthony-carter-jr-1
Lyndon Cooper,SO,OL,,lyndon-cooper-1
Jaleel Davis,SO,OL,,jaleel-davis-1
Derrick Eason,SR,OL,,derrick-eason-1
Thornton Gentry,SO,OL,,thornton-gentry-1
Grant Gibson,SR,OL,,grant-gibson-1
Sean Hill,SO,OL,,sean-hill-2
Patrick Matan,SO,OL,,patrick-matan-1
Matt McCabe,SO,OL,,matt-mccabe-1
Timothy McKay,JR,OL,,timothy-mckay-1
Dylan McMahon,JR,OL,,dylan-mcmahon-1
Bryson Speas,SR,OL,,bryson-speas-1
Blair Alexander,SO,OL,,blair-alexander-1
Corey Ball,SO,OL,,corey-ball-1
Brendan Lawson,JR,OL,,brendan-lawson-1
Jacarrius Peak,SO,OL,,jacarrius-peak-1
Luke Peters,SO,OL,,luke-peters-1
Rylan Vann,SO,OL,,rylan-vann-1
Christopher Dunn,SR,K,,christopher-dunn-1
Collin Smith,JR,K,,collin-smith-2
Brooks Sturgeon,SO,K,,brooks-sturgeon-1
Kanoah Vinesett,SO,K,,kanoah-vinesett-1
Nick Campbell,SO,DL,,nick-campbell-1
C.J. Clark,JR,DL,,cj-clark-1
Brandon Cleveland,SO,DL,,brandon-cleveland-1
Cory Durden,SR,DL,,cory-durden-1
Joshua Harris,JR,DL,,joshua-harris-1
Savion Jackson,SR,DL,,savion-jackson-1
Claude Larkins,SO,DL,,claude-larkins-1
Alec Neugent,JR,DL,,alec-neugent-1
Travali Price,SO,DL,,travali-price-1
Zyun Reeves,SO,DL,,zyun-reeves-1
Davin Vann,JR,DL,,davin-vann-1
Jerome Williams,JR,DL,,jerome-williams-3
Aiden Hollingsworth,SO,DL,,aiden-hollingsworth-1
DJ Jackson,SO,DL,,dj-jackson-2
Andrew Washburn,SO,DL,,andrew-washburn-1
Devon Betty,JR,LB,,devon-betty-1
Aristotle Bowles,SR,LB,,aristotle-bowles-1
Clay Craddock,SO,LB,,clay-craddock-1
Caden Fordham,SO,LB,,caden-fordham-1
Colby Johnson,SO,LB,,colby-johnson-1
Isaiah Moore,SR,LB,,isaiah-moore-1
Jayland Parker,SO,LB,,jayland-parker-1
Jordan Poole,SO,LB,,jordan-poole-1
Jason Scott,SR,LB,,jason-scott-3
Jaylon Scott,SR,LB,,jaylon-scott-2
Jamie Shaw,JR,LB,,jamie-shaw-1
Drake Thomas,SR,LB,,drake-thomas-2
Daejuan Thompson,SO,LB,,daejuan-thompson-1
Patrick Turner,SO,LB,,patrick-turner-3
Payton Wilson,SR,LB,,payton-wilson-1
Jamison Fletcher,SO,LB,,jamison-fletcher-1
Chase Hattley,SO,LB,,chase-hattley-1
Torren Wright,SO,LB,,torren-wright-1
Rakeim Ashford,SR,DB,,rakeim-ashford-1
Tyler Baker-Williams,SR,DB,,tyler-baker-williams-1
Shyheim Battle,JR,DB,,shyheim-battle-1
Devan Boykin,JR,DB,,devan-boykin-1
Sean Brown,SO,DB,,sean-brown-6
Darius Edmundson,SR,DB,,darius-edmundson-1
Nate Evans,SO,DB,,nate-evans-3
Cyrus Fagan,SR,DB,,cyrus-fagan-1
Jalen Frazier,JR,DB,,jalen-frazier-1
Walt Gerard,SO,DB,,walt-gerard-1
Jakeen Harris,SR,DB,,jakeen-harris-1
Tanner Ingle,SR,DB,,tanner-ingle-1
Dreshun Miller,SR,DB,,dreshun-miller-1
Joshua Pierre-Louis,JR,DB,,joshua-pierre-louis-1
Derrek Pitts,SR,DB,,derrek-pitts-1
Teshaun Smith,SR,DB,,teshaun-smith-1
Nicholas Treco,JR,DB,,nicholas-treco-1
Jackson Vick,SO,DB,,jackson-vick-1
Aydan White,JR,DB,,aydan-white-1
Foster Burt,SO,DB,,foster-burt-1
Isaiah Crowell,SO,DB,,isaiah-crowell-2
Jaxon King,SO,DB,,jaxon-king-1
Cecil Powell,JR,DB,,cecil-powell-1
Shane McDonough,SR,P,,shane-mcdonough-1
Caden Noonkester,SO,P,,caden-noonkester-1
Alex McLaughlin,SO,LS,,alex-mclaughlin-1
Christopher Scott Jr.,SO,CB,,christopher-scott-jr-1
Joe Shimko,SR,LS,,joe-shimko-1
