Player,Class,Pos,Summary,Player-additional
Bo Nix,SR,QB,294 Cmp 409 Att 3593 Yds 29 TD,bo-nix-1
Ty Thompson,SO,QB,11 Cmp 20 Att 72 Yds 0 TD,ty-thompson-2
Jay Butterfield,SO,QB,1 Cmp 1 Att 1 Yds 0 TD,jay-butterfield-1
Marcus Sanders,SO,QB,,marcus-sanders-2
Jake Van Dyne,JR,QB,,jake-van-dyne-1
Bucky Irving,JR,RB,156 Att 1058 Yds 6.8 Avg,markeise-irving-1
Noah Whittington,JR,RB,139 Att 779 Yds 5.6 Avg,noah-whittington-1
Jordan James,SO,RB,46 Att 189 Yds 4.1 Avg,jordan-james-3
Sean Dollars,JR,RB,34 Att 188 Yds 5.5 Avg,sean-dollars-1
Byron Cardwell,JR,RB,11 Att 76 Yds 6.9 Avg,byron-cardwell-1
Kilohana Haasenritter,SO,RB,9 Att 46 Yds 5.1 Avg,kilohana-haasenritter-1
Preston Alford,SO,RB,,preston-alford-1
Ellis Bynum,SO,RB,,ellis-bynum-1
Brison Cobbins,JR,RB,,brison-cobbins-1
La'Vaughn Luellen,SO,RB,,lavaughn-luellen-1
Aaron Smith,SO,RB,,aaron-smith-7
Seven McGee,JR,WR,11 Rec 67 Yds 6.1 Avg,seven-mcgee-1
Dont'e Thornton,JR,WR,17 Rec 366 Yds 21.5 Avg,donte-thornton-1
Troy Franklin,JR,WR,61 Rec 891 Yds 14.6 Avg,troy-franklin-2
Kris Hutson,JR,WR,44 Rec 472 Yds 10.7 Avg,kris-hutson-1
Chase Cota,SR,WR,36 Rec 497 Yds 13.8 Avg,chase-cota-1
Caleb Chapman,SR,WR,1 Rec 15 Yds 15.0 Avg,caleb-chapman-2
Josh Delgado,JR,WR,1 Rec 12 Yds 12.0 Avg,josh-delgado-2
Kyler Kasper,SO,WR,1 Rec 4 Yds 4.0 Avg,kyler-kasper-1
Isaiah Brevard,SO,WR,,isaiah-brevard-1
Isaah Crocker,SR,WR,,isaah-crocker-1
Von Reames,SO,WR,,von-reames-1
Darrian Anderson,SO,WR,,darrian-anderson-1
Michael Jennings,JR,WR,,michael-jennings-1
Justius Lowe,SO,WR,,justius-lowe-1
Cole Prusia,SO,WR,,cole-prusia-1
Malachi Russell,JR,WR,,malachi-russell-1
Kade Wisher,SR,WR,,kade-wisher-1
Moliki Matavao,JR,TE,10 Rec 134 Yds 13.4 Avg,moliki-matavao-1
Terrance Ferguson,JR,TE,32 Rec 391 Yds 12.2 Avg,terrance-ferguson-1
Cam McCormick,SR,TE,10 Rec 66 Yds 6.6 Avg,cam-mccormick-1
Patrick Herbert,JR,TE,6 Rec 95 Yds 15.8 Avg,patrick-herbert-1
Tyler Nanney,JR,TE,,tyler-nanney-1
Terrell Tilmon,JR,TE,,terrell-tilmon-1
Peter Burke,SO,TE,,peter-burke-1
Josh Conerly Jr.,SO,OL,,josh-conerly-jr-1
Malaesala Aumavae-Laulu,SR,OL,,malaesala-aumavae-laulu-1
T.J. Bass,SR,OL,,tj-bass-1
Alex Forsyth,SR,OL,,alex-forsyth-1
Marcus Harper II,JR,OL,,marcus-harper-ii-1
Dave Iuli,SO,OL,,dave-iuli-1
Bailey Jaramillo,SO,OL,,bailey-jaramillo-1
Dawson Jaramillo,SR,OL,,dawson-jaramillo-1
Steven Jones,SR,OL,,steven-jones-2
Faaope Laloulu,JR,OL,,faaope-laloulu-1
Charlie Pickard,SO,OL,,charlie-pickard-1
Jackson Powers-Johnson,JR,OL,,jackson-powers-johnson-1
Kawika Rogers,SO,OL,,kawika-rogers-1
