Player,Class,Pos,Summary,Player-additional
Ben Gulbranson,SO,QB,121 Cmp 194 Att 1455 Yds 9 TD,ben-gulbranson-1
Chance Nolan,SR,QB,66 Cmp 111 Att 939 Yds 7 TD,chance-nolan-1
Tristan Gebbia,SR,QB,10 Cmp 11 Att 79 Yds 0 TD,tristan-gebbia-1
Dom Montiel,SO,QB,,dom-montiel-1
Travis Throckmorton,SO,QB,,travis-throckmorton-1
Jamious Griffin,SO,RB,86 Att 488 Yds 5.7 Avg,jamious-griffin-1
Damien Martinez,SO,RB,161 Att 982 Yds 6.1 Avg,damien-martinez-1
Deshaun Fenwick,SR,RB,114 Att 553 Yds 4.9 Avg,deshaun-fenwick-1
Isaiah Newell,SO,RB,16 Att 87 Yds 5.4 Avg,isaiah-newell-1
Kanoa Shannon,JR,RB,13 Att 54 Yds 4.2 Avg,kanoa-shannon-1
Trey Lowe,JR,RB,7 Att 32 Yds 4.6 Avg,trey-lowe-1
Gavin Haines,SO,RB,,gavin-haines-1
Jake Reichle,SO,RB,,jake-reichle-1
Tyjon Lindsey,SR,WR,30 Rec 317 Yds 10.6 Avg,tyjon-lindsey-1
John Dunmore,SO,WR,9 Rec 95 Yds 10.6 Avg,john-dunmore-2
Silas Bolden,JR,WR,23 Rec 305 Yds 13.3 Avg,silas-bolden-1
Jesiah Irish,SR,WR,3 Rec 46 Yds 15.3 Avg,jesiah-irish-1
Anthony Gould,JR,WR,27 Rec 457 Yds 16.9 Avg,anthony-gould-1
Tre'Shaun Harrison,SR,WR,52 Rec 604 Yds 11.6 Avg,treshaun-harrison-1
Jeremiah Noga,SO,WR,2 Rec 25 Yds 12.5 Avg,jeremiah-noga-1
Jimmy Valsin III,SO,WR,1 Rec 8 Yds 8.0 Avg,jimmy-valsin-iii-1
Rweha Munyagi Jr.,SR,WR,,rweha-munyagi-jr-1
Trevor Pope,SO,WR,,trevor-pope-1
Walker Riney,SO,WR,,walker-riney-1
Trent Walker,SO,WR,,trent-walker-1
Jack Velling,SO,TE,16 Rec 281 Yds 17.6 Avg,jack-velling-1
Luke Musgrave,JR,TE,11 Rec 169 Yds 15.4 Avg,luke-musgrave-1
Jake Overman,JR,TE,7 Rec 51 Yds 7.3 Avg,jake-overman-1
J.T Byrne,SO,TE,,jt-byrne-1
Bryce Caufield,SO,TE,,bryce-caufield-1
