Player,Class,Pos,Summary,Player-additional
Carter Bradley,SR,QB,275 Cmp 425 Att 3335 Yds 28 TD,carter-bradley-1
Desmond Trotter,SR,QB,15 Cmp 20 Att 144 Yds 0 TD,desmond-trotter-1
Tanner McGee,JR,QB,,tanner-mcgee-1
Elijah Gainey,JR,QB,,elijah-gainey-1
JT McArdle,SO,QB,,jt-mcardle-1
La'Damian Webb,JR,RB,210 Att 1067 Yds 5.1 Avg,ladamian-webb-1
Marco Lee,SR,RB,67 Att 247 Yds 3.7 Avg,marco-lee-1
Braylon McReynolds,SO,RB,59 Att 326 Yds 5.5 Avg,braylon-mcreynolds-1
Omni Wells,SR,RB,57 Att 242 Yds 4.2 Avg,omni-wells-1
Terrion Avery,SR,RB,21 Att 82 Yds 3.9 Avg,terrion-avery-1
Bryan Hill,SR,RB,,bryan-hill-2
Damean Bivins,SR,RB,,damean-bivins-1
Jonathon Carter,SO,RB,,jonathon-carter-1
Ladajan Tolbert,SO,RB,,ladajan-tolbert-1
Caullin Lacy,JR,WR,64 Rec 812 Yds 12.7 Avg,caullin-lacy-1
Devin Voisin,SR,WR,64 Rec 867 Yds 13.5 Avg,devin-voisin-1
Jalen Wayne,SR,WR,58 Rec 817 Yds 14.1 Avg,jalen-wayne-1
Jay'juan Townsend,JR,WR,4 Rec 62 Yds 15.5 Avg,jayjuan-townsend-1
Jamaal Pritchett,SO,WR,2 Rec 24 Yds 12.0 Avg,jamaal-pritchett-1
Christian Wortham,JR,WR,1 Rec -3 Yds -3.0 Avg,christian-wortham-1
Oakley Coleman,JR,WR,,oakley-coleman-1
Nae'Saan Dickerson,JR,WR,,naesaan-dickerson-1
Jeremiah Webb,JR,WR,,jeremiah-webb-1
Keyshawn Woodyard,JR,WR,,keyshawn-woodyard-1
Yasir Berry,SR,WR,,yasir-berry-1
Christopher Davis Jr.,SO,WR,,christopher-davis-jr-1
Parker Kahlert,JR,WR,,parker-kahlert-1
Victor McClinton,SR,WR,,victor-mcclinton-1
Caeleb Schlachter,SO,WR,,caeleb-schlachter-1
Todd Justice,JR,TE,1 Rec 15 Yds 15.0 Avg,todd-justice-1
Damarcus Thomas,SR,TE,24 Rec 227 Yds 9.5 Avg,damarcus-thomas-2
Lincoln Sefcik,SR,TE,13 Rec 111 Yds 8.5 Avg,lincoln-sefcik-1
Jacob Hopper,JR,TE,2 Rec 21 Yds 10.5 Avg,jacob-hopper-1
Brandon Crum,SR,TE,,brandon-crum-1
Nick Ruggs,JR,TE,,nick-ruggs-1
Cooper Wilson,SO,TE,,cooper-wilson-1
Kent Foster,SR,OL,,kent-foster-1
Reid Gavin,JR,OL,,reid-gavin-1
Anterrious Gray,SR,OL,,anterrious-gray-1
James Jackson,SR,OL,,james-jackson-6
Dontae Lucas,JR,OL,,dontae-lucas-1
Josh McCulloch,SR,OL,,josh-mcculloch-1
PJ Mixon,SR,OL,,pj-mixon-1
James Robinson,SO,OL,,james-robinson-5
Trey Simpson,SR,OL,,trey-simpson-1
Reggie Smith,SR,OL,,reggie-smith-5
Adrein Strickland,JR,OL,,adrein-strickland-1
Malachi Carney,SO,OL,,malachi-carney-1
Daniel Foster-Allen,SO,OL,,daniel-foster-allen-1
John Gill,JR,OL,,john-gill-6
Kenton Jerido,SO,OL,,kenton-jerido-1
Tyler Jernigan,SR,OL,,tyler-jernigan-1
Logan Lanicek,SO,OL,,logan-lanicek-1
Antawn Lewis,SR,OL,,antawn-lewis-1
Damon Parr,SO,OL,,damon-parr-1
Kole Payne,JR,OL,,kole-payne-1
Sam Williams,JR,OL,,sam-williams-10
Diego Guajardo,SR,K,,diego-guajardo-1
Jacob Meeks,SR,K,,jacob-meeks-2
Gage Theus,JR,K,,gage-theus-1
Lamondre Brooks,JR,DL,,lamondre-brooks-1
Zeke Chapman,SR,DL,,zeke-chapman-1
Charles Coleman III,SR,DL,,charles-coleman-iii-1
Nick Curtis,SO,DL,,nick-curtis-1
Jamall Hickbottom,SR,DL,,jamall-hickbottom-1
Brock Higdon,JR,DL,,brock-higdon-1
Carlos Johnson,JR,DL,,carlos-johnson-3
Gi'Narious Johnson,SR,DL,,ginarious-johnson-1
Terry Perry,SR,DL,,terry-perry-1
Jamie Sheriff,SR,DL,,jamie-sheriff-1
Ed Smith IV,JR,DL,,ed-smith-iv-1
Maurice Strong Jr.,SR,DL,,maurice-strong-jr-1
Wy'Kevious Thomas,JR,DL,,wykevious-thomas-1
D.K. Bonhomme,SR,LB,,dk-bonhomme-1
Ke'Shun Brown,JR,LB,,keshun-brown-1
Chrystyile Caldwell,SO,LB,,chrystyile-caldwell-1
AJ DeShazor,SR,LB,,aj-deshazor-1
Dalton Hughes,JR,LB,,dalton-hughes-1
Khalil Jacobs,SO,LB,,khalil-jacobs-1
Trey Kiser,SR,LB,,trey-kiser-1
James Miller,SR,LB,,james-miller-1
Blayne Myrick,SO,LB,,blayne-myrick-1
CJ Rias,SR,LB,,cj-rias-1
Quentin Wilfawn,SR,LB,,quentin-wilfawn-1
Sullivan Altman,JR,LB,,sullivan-altman-1
Shaheim Carroll,SR,LB,,shaheim-carroll-1
Jordan Whitely,SO,LB,,jordan-whitely-1
Ricky Fletcher,SO,DB,,ricky-fletcher-1
Jalen Jordan,SR,DB,,jalen-jordan-2
Marvin Martin,SO,DB,,marvin-martin-2
Jamar Richardson,SR,DB,,jamar-richardson-1
Marquise Robinson,JR,DB,,marquise-robinson-1
Tremel States-Jones,SO,DB,,tremel-states-jones-1
Christopher Wallace Jr.,SO,DB,,christopher-wallace-jr-1
Quartez Jackson,SO,DB,,quartez-jackson-1
Brandon Lockett,SR,DB,,brandon-lockett-1
Trey Nelms,SO,DB,,trey-nelms-1
Josh Reynolds,SO,DB,,josh-reynolds-2
Jack Brooks,SR,P,,jack-brooks-1
Jack Martin,SR,P,,jack-martin-1
Yamarus Banks,JR,S,,yamarus-banks-1
Jason Brooks,JR,CB,,jason-brooks-2
Travis Drosos,JR,LS,,travis-drosos-1
Dallas Gamble,JR,CB,,dallas-gamble-1
Rickey Hyatt Jr.,SO,S,,rickey-hyatt-jr-1
Darrell Luter Jr.,SR,CB,,darrell-luter-jr-1
Nathan Rawlins-Kibonge,JR,DE,,nathan-rawlins-kibonge-1
CJ Thompson,SR,S,,cj-thompson-1
Jaden Voisin,SR,CB,,jaden-voisin-1
Brady Wiggins,JR,CB,,brady-wiggins-1
Keith Gallmon,SR,S,,keith-gallmon-1
Isaac Mason,JR,CB,,isaac-mason-1
AJ Sims,JR,CB,,aj-sims-1
Korian Wilson,SO,CB,,korian-wilson-2
Anthony Zaccaro,JR,LS,,anthony-zaccaro-2
