Player,Class,Pos,Summary,Player-additional
Spencer Rattler,SR,QB,264 Cmp 399 Att 3026 Yds 18 TD,spencer-rattler-1
Luke Doty,JR,QB,10 Cmp 14 Att 146 Yds 2 TD,luke-doty-1
Tanner Bailey,FR,QB,,tanner-bailey-1
Jalen Daniels,FR,QB,,jalen-daniels-1
Braden Davis,FR,QB,,braden-davis-1
Colten Gauthier,SO,QB,,colten-gauthier-1
Dakereon Joyner,SR,RB,12 Att 56 Yds 4.7 Avg,dakereon-joyner-1
Marshawn Lloyd,SO,RB,111 Att 573 Yds 5.2 Avg,marshawn-lloyd-1
Juju McDowell,JR,RB,62 Att 219 Yds 3.5 Avg,juju-mcdowell-1
Christian Beal-Smith,SR,RB,39 Att 156 Yds 4.0 Avg,christian-beal-smith-1
Dante Miller,SR,RB,6 Att 38 Yds 6.3 Avg,dante-miller-1
Rashad Amos,JR,RB,2 Att 7 Yds 3.5 Avg,rashad-amos-1
Lovasea Carroll,FR,RB,,lovasea-carroll-1
DJ Twitty,SR,RB,,dj-twitty-1
Nathan Harris-Waynick,SO,RB,,nathan-harris-waynick-1
Chase McCracken,FR,RB,,chase-mccracken-1
Xavier Legette,SR,WR,18 Rec 167 Yds 9.3 Avg,xavier-legette-1
Ahmarean Brown,SR,WR,23 Rec 188 Yds 8.2 Avg,ahmarean-brown-1
Jalen Brooks,SR,WR,33 Rec 504 Yds 15.3 Avg,jalen-brooks-2
Antwane Wells Jr.,SR,WR,68 Rec 928 Yds 13.6 Avg,antwane-wells-jr-1
Josh Vann,SR,WR,18 Rec 296 Yds 16.4 Avg,josh-vann-1
O'Mega Blake,SO,WR,1 Rec 1 Yds 1.0 Avg,omega-blake-1
Corey Rucker,JR,WR,1 Rec 52 Yds 52.0 Avg,corey-rucker-1
Payton Mangrum,JR,WR,,payton-mangrum-1
Landon Samson,FR,WR,,landon-samson-1
DJ Black,FR,WR,,dj-black-1
Kylic Horton,FR,WR,,kylic-horton-1
Joseph Morris II,SO,WR,,joseph-morris-ii-1
Aaron Morton,SO,WR,,aaron-morton-1
Eriq Rice,SO,WR,,eriq-rice-1
Ben Rollins,JR,WR,,ben-rollins-1
Chad Terrell,SR,WR,,chad-terrell-2
Jaheim Bell,JR,TE,25 Rec 231 Yds 9.2 Avg,jaheim-bell-1
Nate Adkins,SR,TE,13 Rec 168 Yds 12.9 Avg,nate-adkins-1
Austin Stogner,SR,TE,20 Rec 210 Yds 10.5 Avg,austin-stogner-1
Traevon Kenion,JR,TE,3 Rec 54 Yds 18.0 Avg,traevon-kenion-1
Jesse Sanders,SO,TE,,jesse-sanders-2
Dave Adams,SO,TE,,dave-adams-3
Zavier Short,FR,TE,,zavier-short-1
Wyatt Campbell,SR,OL,,wyatt-campbell-1
Eric Douglas,SR,OL,,eric-douglas-1
Jovaughn Gwyn,SR,OL,,jovaughn-gwyn-1
Cason Henry,FR,OL,,cason-henry-1
Trai Jones,JR,OL,,trai-jones-1
Vershon Lee,JR,OL,,vershon-lee-1
Hank Manos,SR,OL,,hank-manos-1
Jakai Moore,SR,OL,,jakai-moore-1
Jondarius Morgan,SO,OL,,jondarius-morgan-1
