Player,Class,Pos,Summary,Player-additional
Zach Wilcke,SO,QB,101 Cmp 176 Att 1163 Yds 9 TD,zach-wilcke-1
Trey Lowe III,SR,QB,61 Cmp 118 Att 954 Yds 5 TD,trey-lowe-iii-1
Jake Lange,JR,QB,11 Cmp 21 Att 110 Yds 0 TD,jake-lange-1
Ty Keyes,SO,QB,10 Cmp 17 Att 281 Yds 3 TD,ty-keyes-1
Dustin Allison,JR,QB,,dustin-allison-1
Kyle McCormick,SO,QB,,kyle-mccormick-1
Tee Webb,SO,QB,,tee-webb-1
Frank Gore Jr.,JR,RB,228 Att 1382 Yds 6.1 Avg,frank-gore-jr-1
Janari Dean,JR,RB,62 Att 191 Yds 3.1 Avg,janari-dean-1
Antavious Willis,JR,RB,22 Att 86 Yds 3.9 Avg,antavious-willis-1
Kenyon Clay,SO,RB,21 Att 46 Yds 2.2 Avg,kenyon-clay-1
Dajon Richard,JR,RB,8 Att 15 Yds 1.9 Avg,dajon-richard-2
Jimmy Haywood,JR,RB,4 Att 12 Yds 3.0 Avg,jimmy-haywood-1
Zahn Diaz,SO,RB,,zahn-diaz-1
Chandler Pittman,JR,WR,5 Rec 74 Yds 14.8 Avg,chandler-pittman-1
Jakarius Caston,SR,WR,31 Rec 446 Yds 14.4 Avg,jakarius-caston-1
Tiaquelin Mims,SO,WR,24 Rec 373 Yds 15.5 Avg,tiaquelin-mims-1
Demarcus Jones,SR,WR,3 Rec 56 Yds 18.7 Avg,demarcus-jones-4
Jason Brownlee,SR,WR,55 Rec 891 Yds 16.2 Avg,jason-brownlee-1
Latreal Jones,SR,WR,10 Rec 124 Yds 12.4 Avg,latreal-jones-1
Jalen May,JR,WR,2 Rec 87 Yds 43.5 Avg,jalen-may-4
Davis Dalton,SO,WR,1 Rec 27 Yds 27.0 Avg,davis-dalton-1
Zay Franks,SO,WR,1 Rec 58 Yds 58.0 Avg,zay-franks-1
Brandon Hayes,SO,WR,1 Rec 23 Yds 23.0 Avg,brandon-hayes-2
Richard Mays Jr.,SO,WR,1 Rec 46 Yds 46.0 Avg,richard-mays-jr-1
Brad Dennis,SR,WR,,brad-dennis-2
Jack Jackson,SO,WR,,jack-jackson-6
Cade Sheperd,JR,WR,,cade-sheperd-1
Cole Cavallo,SR,TE,20 Rec 174 Yds 8.7 Avg,cole-cavallo-1
Luke Baker,JR,TE,2 Rec 22 Yds 11.0 Avg,luke-baker-1
Ray Ladner,SR,TE,,ray-ladner-1
Mitchell Sellers,SO,TE,,mitchell-sellers-1
Avery White,JR,TE,,avery-white-1
Michael Jefcoat,SO,TE,,michael-jefcoat-1
Evan McNally,SO,TE,,evan-mcnally-1
Kyron Barnes,SO,OL,,kyron-barnes-1
John Bolding,SR,OL,,john-bolding-1
Tykeem Doss,SR,OL,,tykeem-doss-1
Paul Gainer Jr.,SR,OL,,paul-gainer-jr-1
Briason Mays,SR,OL,,briason-mays-1
Calvin McMillian,SO,OL,,calvin-mcmillian-1
James Middleton,SR,OL,,james-middleton-3
Bryce Ramsey,JR,OL,,bryce-ramsey-1
Matt Ryals,JR,OL,,matt-ryals-1
Wil Saxton,SO,OL,,wil-saxton-1
Gerquan Scott,JR,OL,,gerquan-scott-1
Coker Wright,SR,OL,,coker-wright-1
Kamron Barnes,SO,OL,,kamron-barnes-1
Drew Brewer,SO,OL,,drew-brewer-1
Ethan Bumgarner,JR,OL,,ethan-bumgarner-1
Douglas Gearity,SR,OL,,douglas-gearity-1
Kameron King,SR,OL,,kameron-king-1
Drew Lawson,SO,OL,,drew-lawson-1
Peyton Mckinion,SO,OL,,peyton-mckinion-1
Klabron Pollard,SO,OL,,klabron-pollard-1
Briggs Bourgeois,SR,K,,briggs-bourgeois-1
Andrew Stein,JR,K,,andrew-stein-1
Trey Hebert,SO,K,,trey-hebert-1
