Player,Class,Pos,Summary,Player-additional
Haynes King,JR,QB,104 Cmp 187 Att 1220 Yds 7 TD,haynes-king-1
Conner Weigman,SO,QB,73 Cmp 132 Att 896 Yds 8 TD,conner-weigman-1
Max Johnson,SR,QB,43 Cmp 71 Att 517 Yds 3 TD,max-johnson-2
Eli Stowers,SO,QB,,eli-stowers-1
Blake Bost,JR,QB,,blake-bost-1
Dallas Novicke,SO,QB,,dallas-novicke-1
Jackson Oksnee,SO,QB,,jackson-oksnee-1
Devon Achane,SR,RB,196 Att 1102 Yds 5.6 Avg,devon-achane-1
Amari Daniels,JR,RB,36 Att 200 Yds 5.6 Avg,amari-daniels-1
Le'Veon Moss,SO,RB,27 Att 114 Yds 4.2 Avg,leveon-moss-1
LJ Johnson Jr.,SO,RB,10 Att 39 Yds 3.9 Avg,lj-johnson-jr-2
Earnest Crownover,SR,RB,2 Att 2 Yds 1.0 Avg,earnest-crownover-1
Anthony DiNota,SO,RB,,anthony-dinota-1
Bladen Reaves,SR,RB,,bladen-reaves-1
Charles Shelling,SR,RB,,charles-shelling-1
Ainias Smith,SR,WR,15 Rec 291 Yds 19.4 Avg,ainias-smith-1
Evan Stewart,SO,WR,53 Rec 649 Yds 12.2 Avg,evan-stewart-2
Moose Muhammad III,JR,WR,38 Rec 610 Yds 16.1 Avg,moose-muhammad-iii-1
Chris Marshall,SO,WR,11 Rec 108 Yds 9.8 Avg,chris-marshall-3
Chase Lane,SR,WR,7 Rec 76 Yds 10.9 Avg,chase-lane-1
Jalen Preston,SR,WR,7 Rec 89 Yds 12.7 Avg,jalen-preston-1
Yulkeith Brown,JR,WR,6 Rec 112 Yds 18.7 Avg,yulkeith-brown-1
Noah Thomas,SO,WR,5 Rec 51 Yds 10.2 Avg,noah-thomas-1
Devin Price,SR,WR,4 Rec 52 Yds 13.0 Avg,devin-price-1
Jacob Brasher,SO,WR,,jacob-brasher-1
Ryan Campbell,SR,WR,,ryan-campbell-2
Kenyon Jackson,SR,WR,,kenyon-jackson-2
Andrew Maleski,SO,WR,,andrew-maleski-1
Jaxon Rush,SO,WR,,jaxon-rush-1
Caleb Surber,SO,WR,,caleb-surber-1
Pierce Turner,SO,WR,,pierce-turner-1
Hunter Vivaldi,SO,WR,,hunter-vivaldi-1
Donovan Green,SO,TE,22 Rec 233 Yds 10.6 Avg,donovan-green-1
Max Wright,SR,TE,9 Rec 129 Yds 14.3 Avg,max-wright-1
Blake Smith,JR,TE,2 Rec 1 Yds 0.5 Avg,blake-smith-4
Jake Johnson,SO,TE,1 Rec 2 Yds 2.0 Avg,jake-johnson-5
Fernando Garza,SO,TE,,fernando-garza-1
Theo Melin Öhrström,SO,TE,,theo-melin-öhrström-1
Nathan Figueroa,SO,TE,,nathan-figueroa-1
Josh Bankhead,JR,OL,,josh-bankhead-1
Dametrious Crownover,SO,OL,,dametrious-crownover-1
