Player,Class,Pos,Summary,Player-additional
Max Duggan,SR,QB,267 Cmp 419 Att 3698 Yds 32 TD,max-duggan-1
Chandler Morris,SO,QB,18 Cmp 27 Att 145 Yds 1 TD,chandler-morris-1
Sam Jackson,SO,QB,5 Cmp 5 Att 63 Yds 0 TD,sam-jackson-3
Josh Hoover,FR,QB,1 Cmp 1 Att 2 Yds 0 TD,josh-hoover-1
Luke Pardee,SO,QB,,luke-pardee-1
Jacob Porter,FR,QB,,jacob-porter-2
Kendre Miller,JR,RB,224 Att 1399 Yds 6.2 Avg,kendre-miller-1
Emari Demercado,SR,RB,121 Att 681 Yds 5.6 Avg,emari-demercado-1
Emani Bailey,JR,RB,31 Att 250 Yds 8.1 Avg,emani-bailey-1
Trent Battle,SO,RB,9 Att 38 Yds 4.2 Avg,trent-battle-1
Corey Wren,JR,RB,6 Att 34 Yds 5.7 Avg,corey-wren-1
Trevor Ailey,JR,RB,,trevor-ailey-1
Franklin Estrada,SO,RB,,franklin-estrada-1
Brant Ahlfinger,FR,RB,,brant-ahlfinger-1
Taye Barber,SR,WR,37 Rec 613 Yds 16.6 Avg,taye-barber-1
Quentin Johnston,JR,WR,60 Rec 1069 Yds 17.8 Avg,quentin-johnston-1
Derius Davis,SR,WR,42 Rec 531 Yds 12.6 Avg,derius-davis-1
Savion Williams,JR,WR,29 Rec 392 Yds 13.5 Avg,savion-williams-2
Jordan Hudson,SO,WR,14 Rec 174 Yds 12.4 Avg,jordan-hudson-1
Gunnar Henderson,SR,WR,11 Rec 223 Yds 20.3 Avg,gunnar-henderson-1
Blake Nowell,JR,WR,6 Rec 86 Yds 14.3 Avg,blake-nowell-1
Blair Conwright,SR,WR,5 Rec 63 Yds 12.6 Avg,blair-conwright-1
Quincy Brown,SO,WR,3 Rec 31 Yds 10.3 Avg,quincy-brown-1
Chase Jackson,SO,WR,2 Rec 7 Yds 3.5 Avg,chase-jackson-1
Chase Curtis,SR,WR,1 Rec 37 Yds 37.0 Avg,chase-curtis-1
Christopher Chosen,SO,WR,,christopher-chosen-1
Keagan Cunningham,SO,WR,,keagan-cunningham-1
Colton Dobson,SO,WR,,colton-dobson-1
Major Everhart,FR,WR,,major-everhart-1
Caleb Medford,SO,WR,,caleb-medford-1
DJ Allen,FR,WR,,dj-allen-1
Stayton Ankrom,FR,WR,,stayton-ankrom-1
Parker Clark,FR,WR,,parker-clark-1
