Player,Class,Pos,Summary,Player-additional
Layne Hatcher,JR,QB,275 Cmp 442 Att 2653 Yds 19 TD,layne-hatcher-1
Ty Evans,SO,QB,,ty-evans-3
Tanner Prewit,SO,QB,,tanner-prewit-1
CJ Rogers,SO,QB,,cj-rogers-1
Lincoln Pare,JR,RB,172 Att 772 Yds 4.5 Avg,lincoln-pare-1
Calvin Hill,JR,RB,76 Att 333 Yds 4.4 Avg,calvin-hill-4
Josh Berry,JR,RB,38 Att 196 Yds 5.2 Avg,josh-berry-1
Jahmyl Jeter,SR,RB,36 Att 120 Yds 3.3 Avg,jahmyl-jeter-1
Emmanuel Abdaliah,FR,RB,4 Att 8 Yds 2.0 Avg,emmanuel-abdaliah-1
Damarius Good,JR,RB,2 Att 6 Yds 3.0 Avg,damarius-good-1
Trent Lacy,FR,RB,,trent-lacy-1
Rontavious Groves,SR,WR,23 Rec 235 Yds 10.2 Avg,rontavious-groves-1
Ashtyn Hawkins,JR,WR,56 Rec 587 Yds 10.5 Avg,ashtyn-hawkins-1
Donovan Moorer,SO,WR,17 Rec 128 Yds 7.5 Avg,donovan-moorer-1
Julian Ortega-Jones,SR,WR,29 Rec 270 Yds 9.3 Avg,julian-ortega-jones-2
Charles Brown,SO,WR,22 Rec 297 Yds 13.5 Avg,charles-brown-8
Marcell Barbee,SR,WR,21 Rec 299 Yds 14.2 Avg,marcell-barbee-1
Javen Banks,SR,WR,19 Rec 271 Yds 14.3 Avg,javen-banks-1
Drue Jackson,JR,WR,9 Rec 79 Yds 8.8 Avg,drue-jackson-1
Chandler Speights,SR,WR,6 Rec 30 Yds 5.0 Avg,chandler-speights-1
Demarcus Gregory,JR,WR,3 Rec 23 Yds 7.7 Avg,demarcus-gregory-1
Dennis Robinson,SR,WR,3 Rec 13 Yds 4.3 Avg,dennis-robinson-4
Waydale Jones,JR,WR,,waydale-jones-1
Brooks McCoy,SO,WR,,brooks-mccoy-1
Jaden Mitchell,SO,WR,,jaden-mitchell-1
Isaac Norris,FR,WR,,isaac-norris-1
Ahmirr Robinson,FR,WR,,ahmirr-robinson-1
Brandon Treggs,FR,WR,,brandon-treggs-1
Kannon Webb,SO,WR,,kannon-webb-1
Titus Lyons,SO,TE,6 Rec 46 Yds 7.7 Avg,titus-lyons-1
Tyler Huff,SR,TE,5 Rec 10 Yds 2.0 Avg,tyler-huff-2
Austin Groeschel,SO,TE,2 Rec -1 Yds -0.5 Avg,austin-groeschel-1
Micah Hilts,SR,TE,1 Rec 12 Yds 12.0 Avg,micah-hilts-1
Jackson Lanam,JR,TE,,jackson-lanam-1
James Palmer,SR,TE,,james-palmer-1
DJ Johnson,FR,TE,,dj-johnson-11
Russell Baker,SR,OL,,russell-baker-1
Kylar Cooks,JR,OL,,kylar-cooks-1
Dalton Cooper,SO,OL,,dalton-cooper-1
Alex Costilla,JR,OL,,alex-costilla-1
Kyle Hergel,JR,OL,,kyle-hergel-1
Ian Hover,SR,OL,,ian-hover-1
Evan Lovell,JR,OL,,evan-lovell-1
