Player,Class,Pos,Summary,Player-additional
John Rhys Plumlee,SR,QB,218 Cmp 346 Att 2586 Yds 14 TD,john-rhys-plumlee-1
Mikey Keene,JR,QB,60 Cmp 83 Att 647 Yds 6 TD,mikey-keene-1
Thomas Castellanos,SO,QB,9 Cmp 16 Att 75 Yds 0 TD,thomas-castellanos-1
Will Bohn,JR,QB,,will-bohn-1
Joey Gatewood,SR,QB,,joey-gatewood-1
Brock Hansel,SO,QB,,brock-hansel-1
Isaiah Bowser,SR,RB,205 Att 799 Yds 3.9 Avg,isaiah-bowser-1
R.J. Harvey,SR,RB,118 Att 796 Yds 6.7 Avg,rj-harvey-1
Johnny Richardson,SR,RB,54 Att 370 Yds 6.9 Avg,johnny-richardson-4
Jordan McDonald,SO,RB,11 Att 43 Yds 3.9 Avg,jordan-mcdonald-1
Trillion Coles,SR,RB,3 Att 0 Yds 0.0 Avg,trillion-coles-1
Mark-Antony Richards,SR,RB,1 Att 0 Yds 0.0 Avg,mark-antony-richards-1
Chris Bowerfind,SO,RB,,chris-bowerfind-1
Demarkcus Bowman,SO,RB,,demarkcus-bowman-1
JaJuan Forte,SR,RB,,jajuan-forte-1
Anthony Williams,SO,RB,,anthony-williams-24
Ryan O'Keefe,SR,WR,73 Rec 725 Yds 9.9 Avg,ryan-okeefe-1
Xavier Townsend,SO,WR,23 Rec 127 Yds 5.5 Avg,xavier-townsend-1
Javon Baker,SR,WR,56 Rec 796 Yds 14.2 Avg,javon-baker-1
Kobe Hudson,SR,WR,39 Rec 641 Yds 16.4 Avg,kobe-hudson-1
Jaylon Griffin,SR,WR,4 Rec 47 Yds 11.8 Avg,jaylon-griffin-1
Stephen Martin,SR,WR,4 Rec 58 Yds 14.5 Avg,stephen-martin-1
Dwartney Wortham,SO,WR,2 Rec 30 Yds 15.0 Avg,dwartney-wortham-1
Jarrad Baker,SR,WR,,jarrad-baker-1
Jordan Johnson,JR,WR,,jordan-johnson-9
Dionte Marks,SR,WR,,dionte-marks-1
Cullen Smith,SO,WR,,cullen-smith-1
Andrew Dickson,SO,WR,,andrew-dickson-1
Tyler Griffin,SO,WR,,tyler-griffin-3
Amari Johnson,SR,WR,,amari-johnson-1
Quan Lee,SO,WR,,quan-lee-1
Alec Holler,SR,TE,22 Rec 276 Yds 12.5 Avg,alec-holler-1
Kemore Gamble,SR,TE,7 Rec 118 Yds 16.9 Avg,kemore-gamble-1
Zach Marsh-Wojan,SR,TE,1 Rec 21 Yds 21.0 Avg,zach-marsh-wojan-1
Jordan Davis,SR,TE,,jordan-davis-11
Garrett French,SR,TE,,garrett-french-1
Max Holler,SR,TE,,max-holler-1
Grant Stevens,SO,TE,,grant-stevens-1
Thomas Wadsworth,SO,TE,,thomas-wadsworth-1
Tylan Grable,SR,OL,,tylan-grable-1
