Player,Class,Pos,Summary,Player-additional
Caleb Williams,JR,QB,333 Cmp 500 Att 4537 Yds 42 TD,caleb-williams-3
Miller Moss,SO,QB,12 Cmp 14 Att 159 Yds 1 TD,miller-moss-1
Mo Hasan,SR,QB,,mo-hasan-1
Jake Jensen,JR,QB,,jake-jensen-1
Keegan Patterson,SO,QB,,keegan-patterson-1
Gage Roy,SO,QB,,gage-roy-1
Isaac Ward,JR,QB,,isaac-ward-1
Travis Dye,SR,RB,145 Att 884 Yds 6.1 Avg,travis-dye-1
Austin Jones,SR,RB,135 Att 705 Yds 5.2 Avg,austin-jones-6
Raleek Brown,SO,RB,42 Att 227 Yds 5.4 Avg,raleek-brown-1
Darwin Barlow,SR,RB,16 Att 96 Yds 6.0 Avg,darwin-barlow-1
Brandon Outlaw,SR,RB,,brandon-outlaw-1
Matt Colombo,JR,RB,,matt-colombo-1
Jordan Addison,SR,WR,59 Rec 875 Yds 14.8 Avg,jordan-addison-1
Michael Jackson III,JR,WR,17 Rec 236 Yds 13.9 Avg,michael-jackson-iii-1
Mario Williams,JR,WR,40 Rec 631 Yds 15.8 Avg,mario-williams-2
Tahj Washington,SR,WR,50 Rec 785 Yds 15.7 Avg,tahj-washington-1
Brenden Rice,SR,WR,39 Rec 611 Yds 15.7 Avg,brenden-rice-1
Kyle Ford,SR,WR,20 Rec 365 Yds 18.3 Avg,kyle-ford-1
Terrell Bynum,SR,WR,16 Rec 159 Yds 9.9 Avg,terrell-bynum-1
Kyron Ware-Hudson,SO,WR,15 Rec 152 Yds 10.1 Avg,kyron-ware-hudson-1
CJ Williams,SO,WR,4 Rec 34 Yds 8.5 Avg,cj-williams-4
Gary Bryant Jr.,SR,WR,2 Rec 15 Yds 7.5 Avg,gary-bryant-jr-1
John Jackson III,SR,WR,1 Rec 3 Yds 3.0 Avg,john-jackson-iii-1
Austin Overn,SO,WR,,austin-overn-1
Danny Ryan,JR,WR,,danny-ryan-1
Ty Shamblin,JR,WR,,ty-shamblin-1
Josiah Zamora,SO,WR,,josiah-zamora-1
Grant Zane,SO,WR,,grant-zane-1
Josh Falo,SR,TE,4 Rec 30 Yds 7.5 Avg,josh-falo-1
Lake McRee,SO,TE,10 Rec 106 Yds 10.6 Avg,lake-mcree-1
Malcolm Epps,SR,TE,3 Rec 18 Yds 6.0 Avg,malcolm-epps-1
Sean Mahoney,SR,TE,,sean-mahoney-1
Jude Wolfe,SR,TE,,jude-wolfe-1
Ethan Rae,SR,TE,,ethan-rae-1
Joe Bryson,SR,OL,,joe-bryson-1
Justin Dedich,SR,OL,,justin-dedich-1
Andres Dewerk,JR,OL,,andres-dewerk-1
Courtland Ford,JR,OL,,courtland-ford-1
Bobby Haskins,SR,OL,,bobby-haskins-1
Cooper Lovelace,SR,OL,,cooper-lovelace-1
AJ Mageo,SR,OL,,aj-mageo-1
Andrew Milek,JR,OL,,andrew-milek-1
Jonah Monheim,JR,OL,,jonah-monheim-1
Mason Murphy,SO,OL,,mason-murphy-1
Brett Neilon,SR,OL,,brett-neilon-1
Gino Quinones,SR,OL,,gino-quinones-1
Caadyn Stephen,JR,OL,,caadyn-stephen-1
Andrew Vorhees,SR,OL,,andrew-vorhees-1
Kilian O'Connor,SO,OL,,kilian-oconnor-1
Jason Rodriguez,SR,OL,,jason-rodriguez-1
Denis Lynch,SO,K,,denis-lynch-1
Alex Stadthaus,SR,K,,alex-stadthaus-1
Garth White,JR,K,,garth-white-2
Sinjun Astani,SR,DL,,sinjun-astani-1
Earl Barquet,SR,DL,,earl-barquet-1
De'jon Benton,SR,DL,,dejon-benton-1
Solomon Byrd,SR,DL,,solomon-byrd-1
Nick Figueroa,SR,DL,,nick-figueroa-1
Kobe Pepe,JR,DL,,kobe-pepe-1
Brandon Pili,SR,DL,,brandon-pili-1
Jamar Sekona,JR,DL,,jamar-sekona-1
Stanley Ta'ufo'ou,SR,DL,,stanley-taufoou-1
Tyrone Taleni,SR,DL,,tyrone-taleni-1
Tuli Tuipulotu,SR,DL,,tuli-tuipulotu-1
Colin Mobley,SO,DL,,colin-mobley-1
Raesjon Davis,JR,LB,,raesjon-davis-1
Eric Gentry,JR,LB,,eric-gentry-1
Ralen Goforth,SR,LB,,ralen-goforth-1
Shane Lee,SR,LB,,shane-lee-1
Clyde Moore,SR,LB,,clyde-moore-1
Tuasivi Nomura,SR,LB,,tuasivi-nomura-1
Julien Simon,SO,LB,,julien-simon-1
Chris Thompson Jr.,SR,LB,,chris-thompson-jr-1
Tayler Katoa,SR,LB,,tayler-katoa-1
Garrison Madden,SO,LB,,garrison-madden-1
Roman Marchetti,SO,LB,,roman-marchetti-1
Carson Tabaracci,SO,LB,,carson-tabaracci-1
Anthony Beavers Jr.,SO,DB,,anthony-beavers-jr-1
Mekhi Blackmon,SR,DB,,mekhi-blackmon-1
Prophet Brown,SO,DB,,prophet-brown-1
Calen Bullock,JR,DB,,calen-bullock-1
Jacobe Covington,JR,DB,,jacobe-covington-1
Micah Croom,SR,DB,,micah-croom-1
Xamarion Gordon,SO,DB,,xamarion-gordon-1
Domani Jackson,SO,DB,,domani-jackson-1
Latrell McCutchin,JR,DB,,latrell-mccutchin-1
Fabian Ross,SO,DB,,fabian-ross-1
Bryson Shaw,SR,DB,,bryson-shaw-1
Jaylin Smith,JR,DB,,jaylin-smith-1
Max Williams,SR,DB,,max-williams-1
Ceyair Wright,SO,DB,,ceyair-wright-1
Xavion Alford,JR,DB,,xavion-alford-1
Briton Allen,SR,DB,,briton-allen-1
Zion Branch,SO,DB,,zion-branch-1
Joshua Jackson Jr.,JR,DB,,joshua-jackson-jr-1
Daniel Jimenez-Fulton,SO,DB,,daniel-jimenez-fulton-1
Adonis Otey,SR,DB,,adonis-otey-1
L Simpson,JR,DB,,l-simpson-1
Will Rose,SR,P,,will-rose-2
Aadyn Sleep-Dalton,SR,P,,aadyn-sleep-dalton-1
Michael McAllister,JR,P,,michael-mcallister-1
Jac Casasante,SR,LS,,jac-casasante-1
Korey Foreman,JR,DE,,korey-foreman-1
Romello Height,JR,DE,,romello-height-1
Devan Thompkins,SO,DE,,devan-thompkins-1
Solomon Tuliaupupu,SR,DE,,solomon-tuliaupupu-1
Nathan Weneta,JR,LS,,nathan-weneta-1
Daniel Meunier,SR,LS,,daniel-meunier-1
Garrett Pomerantz,SO,DE,,garrett-pomerantz-1
