Player,Class,Pos,Summary,Player-additional
AJ Swann,SO,QB,115 Cmp 198 Att 1274 Yds 10 TD,aj-swann-1
Mike Wright,SR,QB,85 Cmp 148 Att 974 Yds 12 TD,mike-wright-8
Drew Dickey,SO,QB,,drew-dickey-1
Hayden Moses,JR,QB,,hayden-moses-1
Ken Seals,SR,QB,,ken-seals-1
Walter Taylor,SO,QB,,walter-taylor-3
Re'Mahn Davis,SR,RB,232 Att 1042 Yds 4.5 Avg,remahn-davis-1
Patrick Smith,JR,RB,56 Att 151 Yds 2.7 Avg,patrick-smith-3
Chase Gillespie,SO,RB,27 Att 118 Yds 4.4 Avg,chase-gillespie-1
Rocko Griffin,SR,RB,9 Att 86 Yds 9.6 Avg,rocko-griffin-1
Cooper Lutz,SR,RB,6 Att 24 Yds 4.0 Avg,cooper-lutz-1
Dylan Betts-Pauley,JR,RB,,dylan-betts-pauley-1
Maurice Edwards,SO,RB,,maurice-edwards-1
Isaiah Fontan,SO,RB,,isaiah-fontan-1
Jayden McGowan,SO,WR,44 Rec 453 Yds 10.3 Avg,jayden-mcgowan-1
Will Sheppard,SR,WR,60 Rec 776 Yds 12.9 Avg,will-sheppard-1
Quincy Skinner Jr.,JR,WR,17 Rec 238 Yds 14.0 Avg,quincy-skinner-jr-1
Gamarion Carter,JR,WR,6 Rec 127 Yds 21.2 Avg,gamarion-carter-1
Devin Boddie Jr.,SR,WR,3 Rec 61 Yds 20.3 Avg,devin-boddie-jr-1
Richie Hoskins,JR,WR,,richie-hoskins-1
Logan Kyle,SR,WR,,logan-kyle-1
Wilson Long,SR,WR,,wilson-long-1
Hutch Baird,JR,WR,,hutch-baird-1
Ezra McAllister,JR,WR,,ezra-mcallister-1
Daveon Walker,SO,WR,,daveon-walker-1
Landon Wells,SO,WR,,landon-wells-1
Ben Bresnahan,SR,TE,16 Rec 192 Yds 12.0 Avg,ben-bresnahan-1
Gavin Schoenwald,SR,TE,9 Rec 100 Yds 11.1 Avg,gavin-schoenwald-1
Justin Ball,SR,TE,5 Rec 67 Yds 13.4 Avg,justin-ball-1
Joel DeCoursey,SR,TE,,joel-decoursey-1
Cole Spence,SO,TE,,cole-spence-1
Bradley Ashmore,SR,OL,,bradley-ashmore-1
Jacob Brammer,SR,OL,,jacob-brammer-1
Charlie Clark,JR,OL,,charlie-clark-2
Ben Cox,SR,OL,,ben-cox-2
Gunnar Hansen,JR,OL,,gunnar-hansen-1
Dan Herman,SR,OL,,dan-herman-1
Julian Hernandez,SR,OL,,julian-hernandez-1
Jake Ketschek,JR,OL,,jake-ketschek-1
Duncan MacDonald,SO,OL,,duncan-macdonald-1
Grayson Morgan,SO,OL,,grayson-morgan-1
Leyton Nelson,SO,OL,,leyton-nelson-1
Gage Pitchford,JR,OL,,gage-pitchford-1
David Siegel,SO,OL,,david-siegel-1
Junior Uzebu,SR,OL,,junior-uzebu-1
Trent Weaver,SR,OL,,trent-weaver-1
Delfin Xavier Castillo,JR,OL,,delfin-xavier-castillo-1
Levi Harber,SO,OL,,levi-harber-1
Joseph Bulovas,SR,K,,joseph-bulovas-1
Will Faris,JR,K,,will-faris-1
Jared Elstein,SR,K,,jared-elstein-2
Jacob Lurie,SR,K,,jacob-lurie-1
Darren Agu,SO,DL,,darren-agu-1
Brayden Bapst,SR,DL,,brayden-bapst-1
Myles Cecil,SR,DL,,myles-cecil-1
Nate Clifton,SR,DL,,nate-clifton-1
Daevion Davis,SR,DL,,daevion-davis-1
BJ Diakite,SO,DL,,bj-diakite-1
