Player,Class,Pos,Summary,Player-additional
Cameron Ward,JR,QB,320 Cmp 497 Att 3232 Yds 23 TD,cameron-ward-1
John Mateer,SO,QB,2 Cmp 2 Att 32 Yds 1 TD,john-mateer-1
Emmett Brown,SO,QB,,emmett-brown-1
Luke Holcomb,SO,QB,,luke-holcomb-1
Xavier Ward,SO,QB,,xavier-ward-1
JP Zamora,SO,QB,,jp-zamora-1
Nakia Watson,SR,RB,144 Att 769 Yds 5.3 Avg,nakia-watson-1
Jaylen Jenkins,SO,RB,68 Att 396 Yds 5.8 Avg,jaylen-jenkins-1
Dylan Paine,SO,RB,15 Att 64 Yds 4.3 Avg,dylan-paine-1
Kannon Katzer,SO,RB,6 Att 54 Yds 9.0 Avg,kannon-katzer-1
Djouvensky Schlenbaker,SO,RB,4 Att 50 Yds 12.5 Avg,djouvensky-schlenbaker-1
Javan Robinson,SO,RB,,javan-robinson-1
Jouvensly Bazil,JR,RB,,jouvensly-bazil-1
Jacon Sawyer,SO,RB,,jacon-sawyer-1
Robert Ferrel,SR,WR,56 Rec 582 Yds 10.4 Avg,robert-ferrel-1
Leyton Smithson,SO,WR,30 Rec 235 Yds 7.8 Avg,leyton-smithson-1
Renard Bell,SR,WR,28 Rec 310 Yds 11.1 Avg,renard-bell-1
Lincoln Victor,SR,WR,26 Rec 245 Yds 9.4 Avg,lincoln-victor-1
De'Zhaun Stribling,JR,WR,51 Rec 602 Yds 11.8 Avg,dezhaun-stribling-1
Donovan Ollie,JR,WR,43 Rec 491 Yds 11.4 Avg,donovan-ollie-1
Orion Peters,SO,WR,13 Rec 138 Yds 10.6 Avg,orion-peters-1
Tsion Nunnally,SO,WR,7 Rec 70 Yds 10.0 Avg,tsion-nunnally-1
Anderson Grover,JR,WR,5 Rec 51 Yds 10.2 Avg,anderson-grover-1
Josh Meredith,SO,WR,1 Rec 5 Yds 5.0 Avg,josh-meredith-1
Drake Owen,SR,WR,1 Rec 4 Yds 4.0 Avg,drake-owen-1
Tre Horner,SO,WR,,tre-horner-1
Jake Bowen,SO,WR,,jake-bowen-1
Will Eaton,SO,WR,,will-eaton-1
Van Fessler,SO,WR,,van-fessler-1
C.J. Moore,SR,WR,,cj-moore-3
Jack Pruett,SO,WR,,jack-pruett-1
Reed Shumpert,SO,WR,,reed-shumpert-1
Billy Riviere,JR,TE,12 Rec 117 Yds 9.8 Avg,billy-riviere-1
Cooper Mathers,JR,TE,1 Rec 0 Yds 0.0 Avg,cooper-mathers-1
Moon Ashby,SO,TE,,moon-ashby-1
Andre Dollar,SO,TE,,andre-dollar-1
Cameron Johnson,SR,TE,,cameron-johnson-5
Trenton Olson,JR,TE,,trenton-olson-1
Brock Dieu,SO,OL,,brock-dieu-1
Fa'Alili Fa'amoe,SO,OL,,faalili-faamoe-1
Ma'ake Fifita,JR,OL,,maake-fifita-1
Konner Gomness,JR,OL,,konner-gomness-1
Christian Hilborn,SO,OL,,christian-hilborn-1
Jarrett Kingston,SR,OL,,jarrett-kingston-1
Devin Kylany,SO,OL,,devin-kylany-1
Quinn McCarthy,JR,OL,,quinn-mccarthy-1
Zack Miller,SO,OL,,zack-miller-1
Grant Stephens,SR,OL,,grant-stephens-1
Jernias Tafia,SO,OL,,jernias-tafia-1
Rodrick Tialavea,JR,OL,,rodrick-tialavea-1
Jack Wilson,SR,OL,,jack-wilson-5
Nolan Byng,SO,OL,,nolan-byng-1
Jonny Lester,SO,OL,,jonny-lester-1
Gauge Machado,SO,OL,,gauge-machado-1
Landon Roaten,SO,OL,,landon-roaten-1
Luke Roaten,SO,OL,,luke-roaten-1
Jakobus Seth,SO,OL,,jakobus-seth-1
Eric Wilder,SO,OL,,eric-wilder-1
Kendall Williams,SO,OL,,kendall-williams-3
Dean Janikowski,JR,K,,dean-janikowski-1
Colton Theaker,JR,K,,colton-theaker-1
Vincent Gourley,SO,K,,vincent-gourley-1
Alec Eckert,SO,DL,,alec-eckert-1
Tyler Garay-Harris,JR,DL,,tyler-garay-harris-1
David Gusta,SO,DL,,david-gusta-1
Brennan Jackson,SR,DL,,brennan-jackson-1
Nusi Malani,JR,DL,,nusi-malani-1
Christian Mejia,SR,DL,,christian-mejia-1
Amir Mujahid,SR,DL,,amir-mujahid-1
Antonio Pule,SR,DL,,antonio-pule-1
Ahmir Crowder,SR,DL,,ahmir-crowder-1
Bryce Lamb,SO,DL,,bryce-lamb-1
Rashad McKenzie,SO,DL,,rashad-mckenzie-1
Tristan Souza,JR,DL,,tristan-souza-1
Daiyan Henley,SR,LB,,daiyan-henley-1
Gavin Barthiel,SO,LB,,gavin-barthiel-1
Travion Brown,SR,LB,,travion-brown-1
Joshua Erling,SR,LB,,joshua-erling-1
Francisco Mauigoa,JR,LB,,francisco-mauigoa-1
Kyle Thornton,JR,LB,,kyle-thornton-1
Ben Wilson,SR,LB,,ben-wilson-3
Taariq Al-Uqdah,SO,LB,,taariq-al-uqdah-1
Mason Carr,SO,LB,,mason-carr-1
Hudson Cedarland,SO,LB,,hudson-cedarland-1
Luca Rodarte,SO,LB,,luca-rodarte-1
Darnell Stephens,SO,LB,,darnell-stephens-3
Justin Anderson,SO,DB,,justin-anderson-9
Armauni Archie,JR,DB,,armauni-archie-1
Jaden Hicks,SO,DB,,jaden-hicks-1
Chris Jackson,SR,DB,,chris-jackson-13
Henry Kimmins,JR,DB,,henry-kimmins-1
Cam Lampkin,SR,DB,,cam-lampkin-1
Derrick Langford,SR,DB,,derrick-langford-1
Jackson Lataimua,SO,DB,,jackson-lataimua-1
Jordan Lee,SR,DB,,jordan-lee-1
Sam Lockett III,SR,DB,,sam-lockett-iii-1
Armani Marsh,SR,DB,,armani-marsh-1
Tanner Moku,JR,DB,,tanner-moku-1
Cole Norah,SO,DB,,cole-norah-1
Adrian Shephard,SO,DB,,adrian-shephard-1
