Player,Class,Pos,Summary,Player-additional
Austin Reed,SR,QB,389 Cmp 603 Att 4746 Yds 40 TD,austin-reed-2
Darius Ocean,SO,QB,7 Cmp 12 Att 135 Yds 2 TD,darius-ocean-1
Caden Veltkamp,SO,QB,4 Cmp 4 Att 25 Yds 0 TD,caden-veltkamp-1
Turner Helton,SO,QB,,turner-helton-1
Davion Ervin-Poindexter,SR,RB,116 Att 525 Yds 4.5 Avg,davion-ervin-poindexter-1
Kye Robichaux,JR,RB,73 Att 496 Yds 6.8 Avg,kye-robichaux-1
L.T. Sanders,SO,RB,44 Att 292 Yds 6.6 Avg,lt-sanders-1
Markese Stepp,JR,RB,28 Att 166 Yds 5.9 Avg,markese-stepp-1
Jakairi Moses,SR,RB,26 Att 152 Yds 5.8 Avg,jakairi-moses-1
Javy Bunton,SO,RB,,javy-bunton-1
Zavione Wood,SO,RB,,zavione-wood-2
Dalvin Smith,JR,WR,35 Rec 443 Yds 12.7 Avg,dalvin-smith-1
Malachi Corley,JR,WR,101 Rec 1295 Yds 12.8 Avg,malachi-corley-1
Michael Mathison,SR,WR,52 Rec 615 Yds 11.8 Avg,michael-mathison-1
Jaylen Hall,SR,WR,68 Rec 869 Yds 12.8 Avg,jaylen-hall-2
Daewood Davis,SR,WR,63 Rec 872 Yds 13.8 Avg,daewood-davis-1
K.D. Hutchinson,SO,WR,5 Rec 48 Yds 9.6 Avg,kd-hutchinson-1
Craig Burt Jr.,SR,WR,4 Rec 70 Yds 17.5 Avg,craig-burt-jr-1
Denzil Alleyne,JR,WR,2 Rec 13 Yds 6.5 Avg,denzil-alleyne-1
Easton Messer,SO,WR,1 Rec 44 Yds 44.0 Avg,easton-messer-1
Kendall Abdur-Rahman,SR,WR,,kendall-abdur-rahman-1
Tomi Mustapha,SO,WR,,tomi-mustapha-2
Dakota Thomas,JR,WR,,dakota-thomas-1
Jax Cooper,SO,WR,,jax-cooper-1
Josh Sterns,JR,WR,,josh-sterns-1
Terence Taylor,JR,WR,,terence-taylor-1
Joshua Simon,JR,TE,20 Rec 273 Yds 13.7 Avg,joshua-simon-1
Joey Beljan,SR,TE,15 Rec 191 Yds 12.7 Avg,joey-beljan-1
River Helms,SO,TE,,river-helms-1
Dane Saltarelli,SR,TE,,dane-saltarelli-1
Alex Williams,SO,TE,,alex-williams-6
