Player,Class,Pos,Summary,Player-additional
Jeff Undercuffler,SR,QB,138 Cmp 224 Att 1378 Yds 4 TD,jeff-undercuffler-2
Demarcus Irons Jr.,SR,QB,88 Cmp 133 Att 722 Yds 3 TD,demarcus-irons-jr-1
Tahj Bullock,SO,QB,32 Cmp 66 Att 271 Yds 3 TD,tahj-bullock-1
Johnny Brookhart,FR,QB,,johnny-brookhart-1
Ryan Jankowski,JR,QB,,ryan-jankowski-1
Dijon Jennings,SO,QB,,dijon-jennings-1
Steele Wasel,FR,QB,,steele-wasel-1
Lorenzo Lingard,SR,RB,143 Att 641 Yds 4.5 Avg,lorenzo-lingard-1
Drake Anderson,SR,RB,40 Att 132 Yds 3.3 Avg,drake-anderson-1
Charles Kellom,SO,RB,4 Att 5 Yds 1.3 Avg,charles-kellom-1
Blake Hester,JR,RB,,blake-hester-1
Ali Barkley,JR,RB,,ali-barkley-1
Fahrell Freeman,FR,RB,,fahrell-freeman-1
Clyde Price,JR,RB,,clyde-price-1
Bobby Golden,SO,WR,17 Rec 144 Yds 8.5 Avg,bobby-golden-2
Jasaiah Gathings,SO,WR,55 Rec 575 Yds 10.5 Avg,jasaiah-gathings-1
Daniel George,SR,WR,52 Rec 529 Yds 10.2 Avg,daniel-george-1
Alex Adams,JR,WR,22 Rec 188 Yds 8.5 Avg,alex-adams-1
Adrian Norton,FR,WR,9 Rec 71 Yds 7.9 Avg,adrian-norton-1
Myles Walker,JR,WR,8 Rec 66 Yds 8.3 Avg,myles-walker-1
Caleb Anderson,SO,WR,6 Rec 40 Yds 6.7 Avg,caleb-anderson-2
Phaizon Wilson,SO,WR,,phaizon-wilson-1
Paul Davis,FR,WR,,paul-davis-8
Isaiah Jones,FR,WR,,isaiah-jones-6
Jean Louis III,FR,WR,,jean-louis-iii-1
Jax Smith,FR,WR,,jax-smith-1
T.J. Banks,SR,TE,19 Rec 150 Yds 7.9 Avg,tj-banks-1
Jake Newell,FR,TE,13 Rec 124 Yds 9.5 Avg,jake-newell-1
Nik Ognenovic,SR,TE,2 Rec 23 Yds 11.5 Avg,nik-ognenovic-1
Grant Gainer,JR,TE,,grant-gainer-1
Conner Cravaack,FR,TE,,conner-cravaack-1
Aiden Diaz,FR,TE,,aiden-diaz-1
Brycen Yarmo,SR,TE,,brycen-yarmo-1
Joshua Blanchard,JR,OL,,joshua-blanchard-1
Ronan Chambers,JR,OL,,ronan-chambers-1
Keylen Davis,SO,OL,,keylen-davis-1
Ben Frank,SR,OL,,ben-frank-1
Tony Georges,JR,OL,,tony-georges-1
Jayvin James,FR,OL,,jayvin-james-1
Brian Kilbane,SO,OL,,brian-kilbane-1
Keon Kindred,SO,OL,,keon-kindred-1
Collin Lyons,JR,OL,,collin-lyons-1
Delvin Morris,FR,OL,,delvin-morris-1
Alex Robarge,JR,OL,,alex-robarge-1
Nate Williams,JR,OL,,nate-williams-8
Tyhler Williams,SO,OL,,tyhler-williams-1
AJ George,FR,OL,,aj-george-1
Jonas Mann,FR,OL,,jonas-mann-1
Frank McClelland,FR,OL,,frank-mcclelland-1
Nick Stopiak,FR,OL,,nick-stopiak-1
Reece Turpin,FR,OL,,reece-turpin-1
Brian Underwood,FR,OL,,brian-underwood-2
Dante Jackson,JR,K,,dante-jackson-2
Noah Perez,SO,K,,noah-perez-1
Owen Wiley,FR,K,,owen-wiley-1
Bennett Adler,JR,DL,,bennett-adler-1
Tyler Carter,SO,DL,,tyler-carter-3
Kam Cheatom,FR,DL,,kam-cheatom-1
Lajoshua Jackson,JR,DL,,lajoshua-jackson-1
Ryan Johnson,SR,DL,,ryan-johnson-10
Terray Jones,SR,DL,,terray-jones-1
Lama Lavea,SO,DL,,lama-lavea-1
CJ McNunnally,JR,DL,,cj-mcnunnally-1
Marcus Moore Jr.,FR,DL,,marcus-moore-jr-1
Kiawan Murphy,SO,DL,,kiawan-murphy-1
Andre Proffitt,JR,DL,,andre-proffitt-1
Julian Richardson,SR,DL,,julian-richardson-1
Devon Robinson,SR,DL,,devon-robinson-1
Antonio Smith,JR,DL,,antonio-smith-3
Kyle Thomas,SR,DL,,kyle-thomas-1
Bruno Dall,FR,DL,,bruno-dall-1
Jon'Trell Mixon,FR,DL,,jontrell-mixon-1
Langston Ragland,FR,DL,,langston-ragland-1
Andrew Behm,JR,LB,,andrew-behm-1
Shammond Cooper,SO,LB,,shammond-cooper-1
Antavious Fish,JR,LB,,antavious-fish-1
Jaharon Griffin,SO,LB,,jaharon-griffin-1
Camari Harris,JR,LB,,camari-harris-1
Bryan McCoy,SO,LB,,bryan-mccoy-1
Gage Summers,JR,LB,,gage-summers-1
