Player,Class,Pos,Summary,Player-additional
Trenton Bourguet,JR,QB,151 Cmp 248 Att 1486 Yds 1 TD,trenton-bourguet-1
Jaden Rashada,FR,QB,44 Cmp 82 Att 485 Yds 4 TD,jaden-rashada-1
Drew Pyne,SO,QB,26 Cmp 49 Att 273 Yds 2 TD,drew-pyne-1
Jacob Conover,SO,QB,11 Cmp 38 Att 130 Yds 0 TD,jacob-conover-1
Hunter Herrera,FR,QB,,hunter-herrera-1
Cameron Skattebo,JR,RB,164 Att 783 Yds 4.8 Avg,cameron-skattebo-1
DeCarlos Brooks,JR,RB,48 Att 259 Yds 5.4 Avg,decarlos-brooks-1
Kyson Brown,FR,RB,23 Att 106 Yds 4.6 Avg,kyson-brown-1
Tevin White,SO,RB,11 Att 23 Yds 2.1 Avg,tevin-white-1
George Hart III,JR,RB,7 Att 11 Yds 1.6 Avg,george-hart-iii-1
Sinjin Schmitt,FR,RB,,sinjin-schmitt-1
Elijhah Badger,JR,WR,65 Rec 713 Yds 11.0 Avg,elijhah-badger-1
Kaleb Black,FR,WR,1 Rec -2 Yds -2.0 Avg,kaleb-black-1
Melquan Stovall,SR,WR,18 Rec 207 Yds 11.5 Avg,melquan-stovall-1
Javen Jacobs,SO,WR,,javen-jacobs-1
Giovanni Sanders,SR,WR,15 Rec 133 Yds 8.9 Avg,giovanni-sanders-1
Xavier Guillory,JR,WR,21 Rec 226 Yds 10.8 Avg,xavier-guillory-1
Shawn Charles,SR,WR,,shawn-charles-1
Troy Omeire,JR,WR,20 Rec 223 Yds 11.2 Avg,troy-omeire-1
Andre Johnson,SR,WR,4 Rec 36 Yds 9.0 Avg,andre-johnson-4
Coben Bourguet,SO,WR,,coben-bourguet-1
Korbin Hendrix,FR,WR,,korbin-hendrix-1
Jordyn Tyson,SO,WR,,jordyn-tyson-1
Max Ware,FR,WR,,max-ware-1
Alonzo Brown,FR,WR,,alonzo-brown-2
Derek Eusebio,FR,WR,,derek-eusebio-1
Jake Smith,JR,WR,,jake-smith-7
Patrick Williams II,FR,WR,,patrick-williams-ii-1
Jamaal Young II,FR,WR,,jamaal-young-ii-1
Jalin Conyers,JR,TE,30 Rec 362 Yds 12.1 Avg,jalin-conyers-1
Bryce Pierre,SR,TE,17 Rec 139 Yds 8.2 Avg,bryce-pierre-1
Messiah Swinson,SR,TE,6 Rec 48 Yds 8.0 Avg,messiah-swinson-1
Ryan Morgan,JR,TE,2 Rec 13 Yds 6.5 Avg,ryan-morgan-1
Colby Garvin,SO,TE,,colby-garvin-1
