Player,Class,Pos,Summary,Player-additional
Bryson Daily,JR,QB,60 Cmp 120 Att 913 Yds 7 TD,bryson-daily-1
Champ Harris,FR,QB,19 Cmp 35 Att 260 Yds 0 TD,champ-harris-1
Larry Robinson,FR,QB,2 Cmp 6 Att 20 Yds 0 TD,larry-robinson-2
Dewayne Coleman,SO,QB,1 Cmp 1 Att -14 Yds 0 TD,dewayne-coleman-1
Zach Mundell,SO,QB,,zach-mundell-1
Mitch Bolden,FR,QB,,mitch-bolden-1
Cale Hellums,FR,QB,,cale-hellums-1
Alex Meredith,SR,QB,,alex-meredith-1
Hayden Oviatt,FR,QB,,hayden-oviatt-1
Markel Johnson,JR,RB,22 Att 77 Yds 3.5 Avg,markel-johnson-2
Kanye Udoh,FR,RB,99 Att 524 Yds 5.3 Avg,kanye-udoh-1
Jakobi Buchanan,SR,RB,51 Att 169 Yds 3.3 Avg,jakobi-buchanan-1
Hayden Reed,SO,RB,50 Att 205 Yds 4.1 Avg,hayden-reed-1
Tyrell Robinson,JR,RB,39 Att 187 Yds 4.8 Avg,tyrell-robinson-2
Miles Stewart,JR,RB,15 Att 58 Yds 3.9 Avg,miles-stewart-1
Jake Rendina,FR,RB,1 Att 3 Yds 3.0 Avg,jake-rendina-1
Jarel Dickson,JR,RB,,jarel-dickson-1
Jordan Owens,FR,RB,,jordan-owens-1
Corey Singleton Jr.,FR,RB,,corey-singleton-jr-1
Carson Smith,FR,RB,,carson-smith-3
Ay'Juan Marshall,SR,WR,9 Rec 83 Yds 9.2 Avg,ayjuan-marshall-1
Noah Short,SO,WR,18 Rec 252 Yds 14.0 Avg,noah-short-1
Tobi Olawole,FR,WR,7 Rec 101 Yds 14.4 Avg,tobi-olawole-1
Casey Reynolds,JR,WR,16 Rec 237 Yds 14.8 Avg,casey-reynolds-1
Isaiah Alston,JR,WR,9 Rec 266 Yds 29.6 Avg,isaiah-alston-1
Liam Fortner,SO,WR,2 Rec 60 Yds 30.0 Avg,liam-fortner-1
Tyler Brennan,SR,WR,1 Rec 25 Yds 25.0 Avg,tyler-brennan-1
Veshe Daniyan,SR,WR,,veshe-daniyan-1
Bryce Davis,SO,WR,,bryce-davis-1
Isaiah Lige,JR,WR,,isaiah-lige-1
Taylor Saulsberry,SO,WR,,taylor-saulsberry-1
Cam Schurr,JR,WR,,cam-schurr-1
Christopher Williams,FR,WR,,christopher-williams-2
Tay Andrews,FR,WR,,tay-andrews-1
Lloyd Benson III,FR,WR,,lloyd-benson-iii-1
David Clerk,FR,WR,,david-clerk-1
Omari Embree,FR,WR,,omari-embree-1
Samari Howard,FR,WR,,samari-howard-1
Brady Mott,FR,WR,,brady-mott-1
Kavon Pointer,FR,WR,,kavon-pointer-1
Sabastian Shannon,SO,WR,,sabastian-shannon-1
Kurt Thompson,FR,WR,,kurt-thompson-1
Neo Vossschulte,FR,WR,,neo-vossschulte-1
Parker Williams,FR,WR,,parker-williams-3
Tyson Riley,SR,TE,5 Rec 38 Yds 7.6 Avg,tyson-riley-1
Joshua Lingenfelter,SR,TE,1 Rec 21 Yds 21.0 Avg,joshua-lingenfelter-1
David Crossan,JR,TE,,david-crossan-1
Parker Poloskey,FR,TE,,parker-poloskey-1
AJ Williams,JR,TE,,aj-williams-3
Aidan Casuccio,FR,TE,,aidan-casuccio-1
Brian Dyer,FR,TE,,brian-dyer-1
Brody Eaton,FR,TE,,brody-eaton-1
