Player,Class,Pos,Summary,Player-additional
Payton Thorne,JR,QB,162 Cmp 265 Att 1755 Yds 16 TD,payton-thorne-1
Robby Ashford,JR,QB,14 Cmp 27 Att 145 Yds 2 TD,robby-ashford-1
Holden Geriner,FR,QB,5 Cmp 15 Att 75 Yds 0 TD,holden-geriner-1
Hank Brown,FR,QB,7 Cmp 9 Att 132 Yds 0 TD,hank-brown-1
Jackson Barkley,SO,QB,,jackson-barkley-1
John Colvin,FR,QB,,john-colvin-1
Sawyer Pate,SO,QB,,sawyer-pate-1
Jarquez Hunter,JR,RB,159 Att 909 Yds 5.7 Avg,jarquez-hunter-1
Damari Alston,SO,RB,64 Att 320 Yds 5.0 Avg,damari-alston-1
Brian Battie,JR,RB,51 Att 227 Yds 4.5 Avg,brian-battie-1
Jeremiah Cobb,FR,RB,33 Att 172 Yds 5.2 Avg,jeremiah-cobb-1
Sean Jackson,JR,RB,6 Att 95 Yds 15.8 Avg,sean-jackson-3
Justin Jones,JR,RB,4 Att 33 Yds 8.3 Avg,justin-jones-6
Christian Burnette,FR,RB,,christian-burnette-1
Luke Reebals,FR,RB,,luke-reebals-1
Ja'Varrius Johnson,SR,WR,19 Rec 347 Yds 18.3 Avg,javarrius-johnson-1
Jay Fair,SO,WR,31 Rec 324 Yds 10.5 Avg,jay-fair-1
Caleb Burton,FR,WR,16 Rec 226 Yds 14.1 Avg,caleb-burton-1
Camden Brown,SO,WR,10 Rec 105 Yds 10.5 Avg,camden-brown-1
Shane Hooks,SR,WR,10 Rec 144 Yds 14.4 Avg,shane-hooks-2
Malcolm Johnson Jr.,JR,WR,6 Rec 89 Yds 14.8 Avg,malcolm-johnson-jr-1
Koy Moore,JR,WR,3 Rec 24 Yds 8.0 Avg,koy-moore-1
Omari Kelly,SO,WR,2 Rec 45 Yds 22.5 Avg,omari-kelly-1
Jyaire Shorter,SR,WR,1 Rec 10 Yds 10.0 Avg,jyaire-shorter-1
Nick Mardner,SR,WR,,nick-mardner-1
Kassidy Woods,SR,WR,,kassidy-woods-2
Jackson Billings,JR,WR,,jackson-billings-1
Whit Johnson,FR,WR,,whit-johnson-1
Jake Kruse,FR,WR,,jake-kruse-1
Trent Mason,SR,WR,,trent-mason-1
Colby Stafford,FR,WR,,colby-stafford-1
Will Upton,FR,WR,,will-upton-1
Rivaldo Fairweather,JR,TE,38 Rec 394 Yds 10.4 Avg,rivaldo-fairweather-1
Brandon Frazier,SR,TE,7 Rec 73 Yds 10.4 Avg,brandon-frazier-2
Tyler Fromm,SR,TE,3 Rec 21 Yds 7.0 Avg,tyler-fromm-1
Micah Riley-Ducker,FR,TE,2 Rec 40 Yds 20.0 Avg,micah-riley-ducker-1
Luke Deal,SR,TE,,luke-deal-1
Camden Etheredge,FR,TE,,camden-etheredge-1
Grant Hidalgo,JR,TE,,grant-hidalgo-1
Gunner Britton,SR,OL,,gunner-britton-1
E.J. Harris,FR,OL,,ej-harris-1
Jalil Irvin,SR,OL,,jalil-irvin-1
Tate Johnson,JR,OL,,tate-johnson-1
Tyler Johnson,FR,OL,,tyler-johnson-12
Avery Jones,SR,OL,,avery-jones-3
Connor Lew,FR,OL,,connor-lew-1
Izavion Miller,JR,OL,,izavion-miller-1
Jaden Muskrat,JR,OL,,jaden-muskrat-1
Dylan Senda,FR,OL,,dylan-senda-1
Kameron Stutts,SR,OL,,kameron-stutts-1
Dillon Wade,JR,OL,,dillon-wade-1
Jeremiah Wright,JR,OL,,jeremiah-wright-1
Harrison Clemmer,FR,OL,,harrison-clemmer-1
Bradyn Joiner,FR,OL,,bradyn-joiner-1
Evan Richards,FR,OL,,evan-richards-1
Mason Richards,FR,OL,,mason-richards-1
Clay Wedin,FR,OL,,clay-wedin-1
Alex McPherson,FR,K,,alex-mcpherson-1
Marshall Meyers,JR,K,,marshall-meyers-1
Evan McGuire,SO,K,,evan-mcguire-1
Gabriel Russo,FR,K,,gabriel-russo-1
Marcus Harris,SR,DL,,marcus-harris-5
Quientrail Jamison-Travis,JR,DL,,quientrail-jamison-travis-1
Jayson Jones,JR,DL,,jayson-jones-2
Elijah McAllister,SR,DL,,elijah-mcallister-1
