Player,Class,Pos,Summary,Player-additional
Cole Snyder,SR,QB,203 Cmp 372 Att 2108 Yds 13 TD,cole-snyder-2
CJ Ogbonna,JR,QB,8 Cmp 21 Att 87 Yds 1 TD,cj-ogbonna-1
Mason Cumbie,FR,QB,,mason-cumbie-1
Mike Depillo,SO,QB,,mike-depillo-1
Gunnar Gray,JR,QB,,gunnar-gray-1
Anthony Policare,FR,QB,,anthony-policare-1
Richie Watts,SO,QB,,richie-watts-1
Ron Cook Jr.,SR,RB,148 Att 609 Yds 4.1 Avg,ron-cook-jr-1
Mike Washington,SO,RB,90 Att 362 Yds 4.0 Avg,mike-washington-5
Jacqez Barksdale,JR,RB,52 Att 248 Yds 4.8 Avg,jacqez-barksdale-1
Al-Jay Henderson,JR,RB,5 Att 0 Yds 0.0 Avg,al-jay-henderson-1
Lamar Sperling,FR,RB,4 Att 17 Yds 4.3 Avg,lamar-sperling-1
Joseph Giggie,SO,RB,,joseph-giggie-1
Mark Scott,SO,RB,,mark-scott-3
Dylan Kedzior,JR,RB,,dylan-kedzior-1
Tadd Barr,SR,WR,,tadd-barr-1
Victor Snow,SO,WR,1 Rec 12 Yds 12.0 Avg,victor-snow-1
Cole Harrity,SR,WR,35 Rec 294 Yds 8.4 Avg,cole-harrity-1
Nik McMillan,SO,WR,13 Rec 180 Yds 13.8 Avg,nik-mcmillan-1
Marlyn Johnson,SR,WR,40 Rec 494 Yds 12.4 Avg,marlyn-johnson-1
Boobie Curry,SR,WR,29 Rec 303 Yds 10.4 Avg,boobie-curry-1
Darrell Harding Jr.,SR,WR,23 Rec 451 Yds 19.6 Avg,darrell-harding-jr-1
Chance Morrow,FR,WR,4 Rec 70 Yds 17.5 Avg,chance-morrow-1
Micah Woods,JR,WR,1 Rec 4 Yds 4.0 Avg,micah-woods-1
Qua Sanders,JR,WR,,qua-sanders-1
Messiah Burch,FR,WR,,messiah-burch-1
Javien Cuff,SR,WR,,javien-cuff-1
Aidan Walline,SO,WR,,aidan-walline-1
Jeremy Yancey,SO,WR,,jeremy-yancey-1
Cameron Ball,SO,TE,8 Rec 82 Yds 10.3 Avg,cameron-ball-2
Zion Carter,SR,TE,4 Rec 33 Yds 8.3 Avg,zion-carter-1
Jacob Orlando,SR,TE,4 Rec 28 Yds 7.0 Avg,jacob-orlando-1
Andrew Schnackenberg,JR,TE,2 Rec 8 Yds 4.0 Avg,andrew-schnackenberg-1
Mitch Viviano,FR,TE,,mitch-viviano-1
Ryan Daly,SO,TE,,ryan-daly-1
Wyatt Molinich,SR,TE,,wyatt-molinich-1
Bodhi Ogg,FR,TE,,bodhi-ogg-1
Trevor Brock,SO,OL,,trevor-brock-1
James Carrington,JR,OL,,james-carrington-1
Tyler Doty,JR,OL,,tyler-doty-1
Nicholas Fronczak,SO,OL,,nicholas-fronczak-1
Liam Hamilton,SO,OL,,liam-hamilton-1
Andrew Kerwin,JR,OL,,andrew-kerwin-1
Dom Polizzi,SR,OL,,dom-polizzi-1
Caelan Shepard,SR,OL,,caelan-shepard-1
Henry Tabansi,FR,OL,,henry-tabansi-1
Sidney Walker,SR,OL,,sidney-walker-1
Gabe Wallace,SR,OL,,gabe-wallace-1
Isaiah Wright,JR,OL,,isaiah-wright-3
Jamarr Davis,JR,OL,,jamarr-davis-1
Alex Heininger,FR,OL,,alex-heininger-1
Matt Pajuste,SO,OL,,matt-pajuste-1
Anthony Venneri,SO,K,,anthony-venneri-1
Alex McNulty,SR,K,,alex-mcnulty-1
Nick Reed,FR,K,,nick-reed-3
C.J. Bazile,SR,DL,,cj-bazile-1
Kyler Laing,SR,DL,,kyler-laing-1
George Wolo,SR,DL,,george-wolo-1
Joey Hawryschuk,SO,DL,,joey-hawryschuk-1
Junior Poyser,FR,DL,,junior-poyser-1
Joe Andreessen,SR,LB,,joe-andreessen-1
Dion Crawford,FR,LB,,dion-crawford-1
Gio De Leon,JR,LB,,gio-de-leon-1
Shaun Dolac,SR,LB,,shaun-dolac-1
Pershaun Fann,SO,LB,,pershaun-fann-1
Khalil Murdock,SO,LB,,khalil-murdock-1
Caleb Tate,SR,LB,,caleb-tate-1
Jake Zimmer,SR,LB,,jake-zimmer-1
Caleb Arena,JR,LB,,caleb-arena-1
Solomon Brown,SR,DB,,solomon-brown-1
Marcus Fuqua,SR,DB,,marcus-fuqua-1
Jalen McNair,JR,DB,,jalen-mcnair-1
Jackson Baltar,SR,P,,jackson-baltar-1
Alek Reynolds,FR,P,,alek-reynolds-1
Jaylon Bass,SR,DT,,jaylon-bass-1
Chandler Brown,JR,S,,chandler-brown-1
Jonathan Capo,SO,S,,jonathan-capo-1
Brandon Clasgens,SO,S,,brandon-clasgens-1
Marquis Cooper,SO,CB,,marquis-cooper-2
Evan Davis,SR,LS,,evan-davis-3
Cornell Evans,FR,DT,,cornell-evans-1
Daishon Folsom,SR,DT,,daishon-folsom-1
Jerrod Gentry,SO,S,,jerrod-gentry-1
Devin Grant,SO,S,,devin-grant-2
Demetrius Harris,SR,S,,demetrius-harris-2
Clevester Hines,SR,CB,,clevester-hines-1
Devonyal Lofton,JR,DE,,devonyal-lofton-1
Charles McCartherens,FR,CB,,charles-mccartherens-1
Max Michel,SR,DE,,max-michel-1
Jamiere Munson,FR,S,,jamiere-munson-1
Caleb Offord,SR,CB,,caleb-offord-1
Kameron Olds,SO,DE,,kameron-olds-1
Jayden Oliver,JR,CB,,jayden-oliver-1
Jyaire Stevens,SR,DE,,jyaire-stevens-1
Amonte' Strothers,SR,CB,,amonte-strothers-1
Daymond Williams,SR,DT,,daymond-williams-1
Solomanie Bambara,SO,DE,,solomanie-bambara-1
Ja'Mori Coard,FR,DT,,jamori-coard-1
Demarco Cuffey,JR,CB,,demarco-cuffey-1
Floyd Dozier,SO,DT,,floyd-dozier-1
D'Andre Greeley,SO,CB,,dandre-greeley-1
Nick Hemer,SO,LS,,nick-hemer-1
Konrad Krzyszton,SO,DT,,konrad-krzyszton-1
Jayden Lewis,FR,S,,jayden-lewis-1
Devin Morgan,SO,DT,,devin-morgan-1
Amir Proctor,SO,CB,,amir-proctor-1
Caron Robinson,JR,S,,caron-robinson-1
Nick Roy,FR,DE,,nick-roy-1
Michael Tetteh,JR,DT,,michael-tetteh-1
