Player,Class,Pos,Summary,Player-additional
Fernando Mendoza,FR,QB,153 Cmp 243 Att 1708 Yds 14 TD,fernando-mendoza-1
Sam Jackson,SO,QB,51 Cmp 97 Att 556 Yds 5 TD,sam-jackson-3
Ben Finley,SO,QB,54 Cmp 94 Att 572 Yds 3 TD,ben-finley-1
Belay Brummel,FR,QB,,belay-brummel-1
Tyler Jensen,FR,QB,,tyler-jensen-2
Brady Weingart,FR,QB,,brady-weingart-1
Jaydn Ott,SO,RB,246 Att 1315 Yds 5.3 Avg,jaydn-ott-1
Isaiah Ifanse,SR,RB,70 Att 365 Yds 5.2 Avg,isaiah-ifanse-1
Ashton Stredick,SO,RB,42 Att 200 Yds 4.8 Avg,ashton-stredick-1
Justin Williams-Thomas,FR,RB,21 Att 91 Yds 4.3 Avg,justin-williams-thomas-1
Jaivian Thomas,FR,RB,18 Att 110 Yds 6.1 Avg,jaivian-thomas-1
Byron Cardwell,SO,RB,,byron-cardwell-1
King Doerue,JR,RB,,king-doerue-1
Dean Taylor-Chapman,FR,RB,,dean-taylor-chapman-1
Monroe Young,SR,WR,19 Rec 208 Yds 10.9 Avg,monroe-young-1
Taj Davis,JR,WR,39 Rec 399 Yds 10.2 Avg,taj-davis-1
Mavin Anderson,SO,WR,8 Rec 87 Yds 10.9 Avg,mavin-anderson-1
Jeremiah Hunter,JR,WR,63 Rec 731 Yds 11.6 Avg,jeremiah-hunter-1
Trond Grizzell,SO,WR,39 Rec 590 Yds 15.1 Avg,trond-grizzell-1
Brian Hightower,SR,WR,10 Rec 101 Yds 10.1 Avg,brian-hightower-1
Marquis Montgomery,JR,WR,3 Rec 31 Yds 10.3 Avg,marquis-montgomery-1
Jordan King,FR,WR,,jordan-king-1
Mason Mangum,SO,WR,,mason-mangum-1
Jaiven Plummer,FR,WR,,jaiven-plummer-1
Kenden Robinson Jr.,JR,WR,,kenden-robinson-jr-1
Grant Daley,SO,WR,,grant-daley-2
Marquez Dortch,FR,WR,,marquez-dortch-1
Nyziah Hunter,FR,WR,,nyziah-hunter-1
Myles Reber,FR,WR,,myles-reber-1
Mason Starling,JR,WR,,mason-starling-1
Jack Endries,FR,TE,35 Rec 407 Yds 11.6 Avg,jack-endries-1
Asher Alberding,JR,TE,1 Rec 5 Yds 5.0 Avg,asher-alberding-1
J.T Byrne,SO,TE,,jt-byrne-1
Jeffrey Johnson,SO,TE,,jeffrey-johnson-1
Ben Marshall,FR,TE,,ben-marshall-2
Moso'oipala Tuitele,FR,TE,,mosooipala-tuitele-1
Matthew Cindric,SR,OL,,matthew-cindric-1
Brian Driscoll,JR,OL,,brian-driscoll-1
Dashaun Harris,FR,OL,,dashaun-harris-1
Dylan Jemtegaard,SO,OL,,dylan-jemtegaard-1
Everett Johnson,JR,OL,,everett-johnson-1
Barrett Miller,SR,OL,,barrett-miller-1
Trent Ramsey,FR,OL,,trent-ramsey-1
Brayden Rohme,JR,OL,,brayden-rohme-1
TJ Session,JR,OL,,tj-session-1
Bastian Swinney,SO,OL,,bastian-swinney-1
Sioape Vatikani,SO,OL,,sioape-vatikani-1
Matthew Wykoff,SO,OL,,matthew-wykoff-1
Ender Aguilar,SO,OL,,ender-aguilar-1
Colin Hamilton,SO,OL,,colin-hamilton-1
Nick Morrow,FR,OL,,nick-morrow-1
Tyler Murphy,FR,OL,,tyler-murphy-3
Joshua Stovall,FR,OL,,joshua-stovall-1
Martin Tine,JR,OL,,martin-tine-1
