Player,Class,Pos,Summary,Player-additional
Shedeur Sanders,JR,QB,298 Cmp 430 Att 3230 Yds 27 TD,shedeur-sanders-1
Ryan Staub,FR,QB,23 Cmp 40 Att 254 Yds 1 TD,ryan-staub-1
Gavin Kuld,JR,QB,1 Cmp 3 Att 22 Yds 0 TD,gavin-kuld-1
Colton Allen,FR,QB,,colton-allen-1
Kasen Weisman,FR,QB,,kasen-weisman-1
Anthony Hankerson,SO,RB,78 Att 319 Yds 4.1 Avg,anthony-hankerson-1
Dylan Edwards,FR,RB,76 Att 321 Yds 4.2 Avg,dylan-edwards-1
Sy'veon Wilkerson,SO,RB,53 Att 190 Yds 3.6 Avg,syveon-wilkerson-1
Alton McCaskill,SO,RB,14 Att 59 Yds 4.2 Avg,alton-mccaskill-1
Charlie Offerdahl,SO,RB,2 Att 11 Yds 5.5 Avg,charlie-offerdahl-1
Kavosiey Smoke,SR,RB,2 Att -2 Yds -1.0 Avg,kavosiey-smoke-1
Ahmir McGee,JR,RB,,ahmir-mcgee-1
Christian Sarem,FR,RB,,christian-sarem-1
Jimmy Horn Jr.,JR,WR,58 Rec 567 Yds 9.8 Avg,jimmy-horn-jr-1
Xavier Weaver,SR,WR,68 Rec 908 Yds 13.4 Avg,xavier-weaver-1
Tar'Varish Dawson Jr.,SO,WR,14 Rec 124 Yds 8.9 Avg,tarvarish-dawson-jr-1
Javon Antonio,SR,WR,17 Rec 209 Yds 12.3 Avg,javon-antonio-1
Omarion Miller,FR,WR,11 Rec 234 Yds 21.3 Avg,omarion-miller-1
Kaleb Mathis,FR,WR,6 Rec 38 Yds 6.3 Avg,kaleb-mathis-1
Willie Gaines,JR,WR,2 Rec 12 Yds 6.0 Avg,willie-gaines-1
Cole Boscia,FR,WR,,cole-boscia-1
Dante Capolungo,FR,WR,,dante-capolungo-1
Jaylen Ellis,JR,WR,,jaylen-ellis-1
Chernet Estes,FR,WR,,chernet-estes-1
Isaiah Hardge,FR,WR,,isaiah-hardge-1
Jordan Onovughe,FR,WR,,jordan-onovughe-1
Asaad Waseem,FR,WR,,asaad-waseem-1
Gavin Marsh,FR,WR,,gavin-marsh-1
Jacob Page,FR,WR,,jacob-page-1
Jack Rilling,SO,WR,,jack-rilling-1
Kendall Stewart,FR,WR,,kendall-stewart-2
Michael Harrison,JR,TE,31 Rec 284 Yds 9.2 Avg,michael-harrison-2
Caleb Fauria,SO,TE,,caleb-fauria-1
Brady Kopetz,FR,TE,,brady-kopetz-1
Elijah Yelverton,SO,TE,,elijah-yelverton-1
Louis Passarello,SO,TE,,louis-passarello-1
Antonio Posadas,SO,TE,,antonio-posadas-1
Jack Bailey,JR,OL,,jack-bailey-3
Landon Bebee,SR,OL,,landon-bebee-1
Gerard Christian-Lichtenhan,JR,OL,,gerard-christian-lichtenhan-1
Kareem Harden,JR,OL,,kareem-harden-1
Isaiah Jatta,JR,OL,,isaiah-jatta-1
Evan Kistler,SR,OL,,evan-kistler-1
Ben Reznik,SO,OL,,ben-reznik-1
Jack Seavall,JR,OL,,jack-seavall-1
Savion Washington,SO,OL,,savion-washington-1
Jack Wilty,SO,OL,,jack-wilty-2
Hank Zalinskas,FR,OL,,hank-zalinskas-1
Tyler Brown,JR,OL,,tyler-brown-6
