Player,Class,Pos,Summary,Player-additional
Brayden Fowler-Nicolosi,FR,QB,292 Cmp 470 Att 3460 Yds 22 TD,brayden-fowler-nicolosi-1
Clay Millen,SO,QB,15 Cmp 24 Att 110 Yds 0 TD,clay-millen-1
Jackson Brousseau,FR,QB,1 Cmp 2 Att 12 Yds 0 TD,jackson-brousseau-1
Giles Pooler,SO,QB,1 Cmp 1 Att 24 Yds 1 TD,giles-pooler-1
Brig Hartson,SO,QB,,brig-hartson-1
Jackson Stratton,FR,QB,,jackson-stratton-1
Vann Schield,SO,RB,90 Att 389 Yds 4.3 Avg,vann-schield-1
Avery Morrow,SR,RB,81 Att 262 Yds 3.2 Avg,avery-morrow-1
Justin Marshall,FR,RB,57 Att 311 Yds 5.5 Avg,justin-marshall-2
Kobe Johnson,SR,RB,44 Att 128 Yds 2.9 Avg,kobe-johnson-1
Damian Henderson,FR,RB,12 Att 50 Yds 4.2 Avg,damian-henderson-1
KJ Edwards,JR,RB,2 Att 18 Yds 9.0 Avg,kj-edwards-1
Keegan Holles,SO,RB,,keegan-holles-1
Ryan McConnell,FR,RB,,ryan-mcconnell-1
Jordan Smith,JR,RB,,jordan-smith-12
Tory Horton,SR,WR,96 Rec 1136 Yds 11.8 Avg,tory-horton-1
Dane Olson,SR,WR,1 Rec 16 Yds 16.0 Avg,dane-olson-1
Louis Brown,SO,WR,47 Rec 481 Yds 10.2 Avg,louis-brown-4
Justus Ross-Simmons,SO,WR,45 Rec 724 Yds 16.1 Avg,justus-ross-simmons-1
Dylan Goffney,JR,WR,23 Rec 298 Yds 13.0 Avg,dylan-goffney-1
Dawson Menegatti,JR,WR,6 Rec 54 Yds 9.0 Avg,dawson-menegatti-1
Caleb Goodie,FR,WR,1 Rec -1 Yds -1.0 Avg,caleb-goodie-1
Jamari Person,FR,WR,1 Rec 8 Yds 8.0 Avg,jamari-person-1
Lavon Brown,FR,WR,,lavon-brown-2
Stephon Daily,FR,WR,,stephon-daily-1
Silas Evans,FR,WR,,silas-evans-1
Mekhi Fox,SO,WR,,mekhi-fox-1
Matt Greenwald,SO,WR,,matt-greenwald-1
Terryonte Taylor,FR,WR,,terryonte-taylor-1
Peter Montini,SR,TE,3 Rec 21 Yds 7.0 Avg,peter-montini-1
Dallin Holker,JR,TE,64 Rec 767 Yds 12.0 Avg,dallin-holker-1
Vince Brown II,JR,TE,4 Rec 32 Yds 8.0 Avg,vince-brown-ii-1
Mason Muaau,FR,TE,,mason-muaau-1
Clay Nanke,SO,TE,,clay-nanke-1
Jordan Williams,SO,TE,,jordan-williams-12
Drew Cannon,SR,OL,,drew-cannon-1
Cameron Cooper,SR,OL,,cameron-cooper-1
Brian Crespo-Jaquez,JR,OL,,brian-crespo-jaquez-1
Jacob Gardner,SR,OL,,jacob-gardner-1
Keegan Hamilton,SO,OL,,keegan-hamilton-1
Saveyon Henderson,JR,OL,,saveyon-henderson-1
Oliver Jervis,SR,OL,,oliver-jervis-1
Aaron Karas,FR,OL,,aaron-karas-2
