Player,Class,Pos,Summary,Player-additional
Ta'Quan Roberson,JR,QB,197 Cmp 338 Att 2075 Yds 12 TD,taquan-roberson-1
Joe Fagnano,SR,QB,18 Cmp 35 Att 173 Yds 0 TD,joe-fagnano-1
Zion Turner,SO,QB,2 Cmp 5 Att 8 Yds 0 TD,zion-turner-1
Tucker McDonald,FR,QB,,tucker-mcdonald-1
Cale Millen,JR,QB,,cale-millen-2
Camryn Edwards,SO,RB,123 Att 618 Yds 5.0 Avg,camryn-edwards-1
Victor Rosa,SO,RB,112 Att 550 Yds 4.9 Avg,victor-rosa-1
Devontae Houston,JR,RB,34 Att 161 Yds 4.7 Avg,devontae-houston-1
Jalen Mitchell,SR,RB,22 Att 72 Yds 3.3 Avg,jalen-mitchell-1
Brian Brewton,JR,RB,3 Att 19 Yds 6.3 Avg,brian-brewton-1
Hunter Clark,SO,RB,3 Att 34 Yds 11.3 Avg,hunter-clark-1
Frank Daniley,FR,RB,,frank-daniley-1
Daniel Shaban,FR,RB,,daniel-shaban-1
Geordon Porter,SR,WR,22 Rec 213 Yds 9.7 Avg,geordon-porter-1
Cameron Ross,JR,WR,44 Rec 552 Yds 12.5 Avg,cameron-ross-1
Brett Buckman,SR,WR,46 Rec 488 Yds 10.6 Avg,brett-buckman-1
Bryan Domino,FR,WR,,bryan-domino-1
James Burns,JR,WR,2 Rec 21 Yds 10.5 Avg,james-burns-2
Kevens Clercius,JR,WR,5 Rec 56 Yds 11.2 Avg,kevens-clercius-1
Kylish Hicks,SO,WR,3 Rec 35 Yds 11.7 Avg,kylish-hicks-1
Zack Drawdy,FR,WR,,zack-drawdy-1
Jacob Flynn,JR,WR,,jacob-flynn-1
Jackson Harper,FR,WR,,jackson-harper-1
Dajon Harrison,SO,WR,,dajon-harrison-1
John Neider,FR,WR,,john-neider-1
Jarvis Jones,FR,WR,,jarvis-jones-3
Zach Madison,FR,WR,,zach-madison-1
Teddy Williams,FR,WR,,teddy-williams-2
Alex Honig,SO,TE,,alex-honig-1
Justin Joly,SO,TE,56 Rec 578 Yds 10.3 Avg,justin-joly-1
Louis Hansen,SO,TE,2 Rec 33 Yds 16.5 Avg,louis-hansen-1
Nick Harris,JR,TE,1 Rec 4 Yds 4.0 Avg,nick-harris-4
Rayonte Brown,JR,TE,,rayonte-brown-1
Bo Estes,JR,TE,,bo-estes-1
Brandon Niemenski,JR,TE,,brandon-niemenski-1
Nader Chirchi,FR,TE,,nader-chirchi-1
Cody Smith,FR,TE,,cody-smith-5
Danny Antolovich,JR,OL,,danny-antolovich-1
Christopher Fortin,JR,OL,,christopher-fortin-1
Christian Haynes,SR,OL,,christian-haynes-2
Kyle Juergens,SO,OL,,kyle-juergens-1
Chase Lundt,SR,OL,,chase-lundt-1
Ben Murawski,FR,OL,,ben-murawski-1
Noel Ofori-Nyadu,SR,OL,,noel-ofori-nyadu-1
Valentin Senn,JR,OL,,valentin-senn-1
Yakiri Walker,JR,OL,,yakiri-walker-1
Carsten Casady,FR,OL,,carsten-casady-1
Toriyan Johnson,FR,OL,,toriyan-johnson-1
Jake Kiernan,FR,OL,,jake-kiernan-1
Will Meyer,JR,OL,,will-meyer-1
Jesse Polansky,JR,OL,,jesse-polansky-1
Mason Raymer,JR,OL,,mason-raymer-1
Dayne Shor,SO,OL,,dayne-shor-1
Toluwanimi Tunde,FR,OL,,toluwanimi-tunde-1
Brady Wayburn,SO,OL,,brady-wayburn-1
Joe McFadden,JR,K,,joe-mcfadden-1
Noe Ruelas,JR,K,,noe-ruelas-1
Jelani Stafford,JR,DL,,jelani-stafford-1
Cleto Chol,FR,DL,,cleto-chol-1
Brady Fodor,FR,DL,,brady-fodor-1
Dalmont Gourdine,SR,DL,,dalmont-gourdine-1
Langston Hardy,JR,DL,,langston-hardy-1
Matt Hoffman,SO,DL,,matt-hoffman-1
Carter Hooper,JR,DL,,carter-hooper-1
Brandon Kelly,FR,DL,,brandon-kelly-2
Collin McCarthy,JR,DL,,collin-mccarthy-1
Sokoya McDuffie,SR,DL,,sokoya-mcduffie-1
Timothy Passmore Jr.,FR,DL,,timothy-passmore-jr-1
Jack Stewart,SR,DL,,jack-stewart-1
Eric Watts,SR,DL,,eric-watts-1
Raashaan Wilkins Jr.,SR,DL,,raashaan-wilkins-jr-1
Jaavon Brown,JR,DL,,jaavon-brown-1
Donovan Branch,SO,LB,,donovan-branch-1
Alfred Chea,JR,LB,,alfred-chea-1
Oumar Diomande,FR,LB,,oumar-diomande-1
Tui Faumuina-Brown,JR,LB,,tui-faumuina-brown-1
Desmond Fogle,JR,LB,,desmond-fogle-1
