Player,Class,Pos,Summary,Player-additional
Riley Leonard,JR,QB,95 Cmp 165 Att 1102 Yds 3 TD,riley-leonard-1
Grayson Loftis,FR,QB,91 Cmp 163 Att 1006 Yds 8 TD,grayson-loftis-1
Henry Belvin IV,SO,QB,13 Cmp 26 Att 232 Yds 3 TD,henry-belvin-iv-1
Donald Tomlin,FR,QB,,donald-tomlin-1
Jordan Waters,SR,RB,153 Att 819 Yds 5.4 Avg,jordan-waters-1
Jaquez Moore,JR,RB,116 Att 674 Yds 5.8 Avg,jaquez-moore-1
Jaylen Coleman,SR,RB,46 Att 170 Yds 3.7 Avg,jaylen-coleman-2
Peyton Jones,FR,RB,20 Att 71 Yds 3.6 Avg,peyton-jones-3
Travis Bates,SO,RB,5 Att 42 Yds 8.4 Avg,travis-bates-1
Grissim Anderson,SR,RB,,grissim-anderson-1
Marquise Collins,FR,RB,,marquise-collins-1
Quran Boyd,FR,WR,,quran-boyd-1
Jordan Moore,JR,WR,62 Rec 835 Yds 13.5 Avg,jordan-moore-5
Jalon Calhoun,SR,WR,50 Rec 666 Yds 13.3 Avg,jalon-calhoun-1
Shamir Hagans,JR,WR,30 Rec 260 Yds 8.7 Avg,shamir-hagans-1
Mehki Wall,SO,WR,6 Rec 38 Yds 6.3 Avg,mehki-wall-1
Jontavis Robertson,SR,WR,4 Rec 36 Yds 9.0 Avg,jontavis-robertson-1
Malik Bowen-Sims,SR,WR,3 Rec 13 Yds 4.3 Avg,malik-bowen-sims-1
Sean Brown,FR,WR,2 Rec 19 Yds 9.5 Avg,sean-brown-8
Edwin Barnes III,SR,WR,,edwin-barnes-iii-1
Apollos Cook,FR,WR,,apollos-cook-1
Trevor Horton,SR,WR,,trevor-horton-1
Spencer Jones,FR,WR,,spencer-jones-3
Nick Lampert,JR,WR,,nick-lampert-1
Hayes Sutton,SR,WR,,hayes-sutton-1
Jaden Watkins,SO,WR,,jaden-watkins-1
Beau Lilly III,FR,WR,,beau-lilly-iii-1
Eli Pancol,SR,WR,,eli-pancol-1
William Robertson,SR,WR,,william-robertson-2
Nicky Dalmolin,SR,TE,15 Rec 147 Yds 9.8 Avg,nicky-dalmolin-1
Jeremiah Hasley,SO,TE,5 Rec 52 Yds 10.4 Avg,jeremiah-hasley-1
Jake Taylor,SO,TE,1 Rec 14 Yds 14.0 Avg,jake-taylor-2
Vance Bolyard,FR,TE,,vance-bolyard-1
Vincent Drolet,FR,TE,,vincent-drolet-1
Cole Finney,JR,TE,,cole-finney-1
Cade Anders,SO,TE,,cade-anders-1
Matt Craycraft,SO,OL,,matt-craycraft-1
Scott Elliott,SR,OL,,scott-elliott-2
Matt Eylander,SR,OL,,matt-eylander-1
Ben Hoitink,SR,OL,,ben-hoitink-1
Jacob Long,JR,OL,,jacob-long-1
Maurice McIntyre,SR,OL,,maurice-mcintyre-1
Jacob Monk,SR,OL,,jacob-monk-1
Max Norton,SR,OL,,max-norton-1
Brian Parker II,SO,OL,,brian-parker-ii-1
Caleb Dorris,FR,OL,,caleb-dorris-1
Ethan Hubbard,FR,OL,,ethan-hubbard-1
Reagan McCranie,FR,OL,,reagan-mccranie-1
Ryan Degyansky,FR,K,,ryan-degyansky-1
Charlie Ham,SR,K,,charlie-ham-1
Todd Pelino,SO,K,,todd-pelino-1
DeWayne Carter,SR,DL,,dewayne-carter-2
Anthony Nelson Jr.,SR,DL,,anthony-nelson-jr-1
R.J. Oben,SR,DL,,rj-oben-1
Cam Dillon,SR,LB,,cam-dillon-1
