Player,Class,Pos,Summary,Player-additional
Austin Smith,JR,QB,171 Cmp 298 Att 1775 Yds 9 TD,austin-smith-5
Ike Udengwu,JR,QB,13 Cmp 31 Att 100 Yds 0 TD,ike-udengwu-1
Cam'Ron McCoy,SO,QB,12 Cmp 28 Att 73 Yds 0 TD,camron-mccoy-1
Jermiah Salem,SO,QB,,jermiah-salem-1
Samson Evans,SR,RB,142 Att 635 Yds 4.5 Avg,samson-evans-1
Jaylon Jackson,SR,RB,136 Att 576 Yds 4.2 Avg,jaylon-jackson-2
Dontae McMillan,SR,RB,11 Att 32 Yds 2.9 Avg,dontae-mcmillan-1
Bryson Moss,JR,RB,1 Att 8 Yds 8.0 Avg,bryson-moss-1
Elijah Jackson-Anderson,SO,RB,1 Rec 28 Yds 28.0 Avg,elijah-jackson-anderson-1
Joey Mattord,FR,RB,,joey-mattord-1
Hamze El-Zayat,SR,WR,27 Rec 360 Yds 13.3 Avg,hamze-el-zayat-2
Tanner Knue,SR,WR,50 Rec 479 Yds 9.6 Avg,tanner-knue-1
JB Mitchell III,JR,WR,35 Rec 398 Yds 11.4 Avg,jb-mitchell-iii-1
Terry Lockett Jr.,JR,WR,3 Rec 34 Yds 11.3 Avg,terry-lockett-jr-1
Javon Swinton,JR,WR,4 Rec 26 Yds 6.5 Avg,javon-swinton-1
Joseph Walker,FR,WR,3 Rec 22 Yds 7.3 Avg,joseph-walker-2
Isaac Smith,SR,WR,1 Rec 3 Yds 3.0 Avg,isaac-smith-2
Jamarien Wheeler,JR,WR,1 Rec 7 Yds 7.0 Avg,jamarien-wheeler-1
Nick Devereaux,JR,WR,,nick-devereaux-1
Quinn Fracassi,SO,WR,,quinn-fracassi-1
Kaiden Keefe,SR,WR,,kaiden-keefe-1
Makhail Wood,FR,WR,,makhail-wood-1
Ali Abdul-Barr,SO,WR,,ali-abdul-barr-1
Tyron Bates,SO,WR,,tyron-bates-1
Tyree Lockett,SO,WR,,tyree-lockett-1
Owen McGraw,FR,WR,,owen-mcgraw-1
Adam Rammouni,SO,WR,,adam-rammouni-1
Max Reese,SO,TE,2 Rec 8 Yds 4.0 Avg,max-reese-1
Jere Getzinger Jr.,SR,TE,16 Rec 88 Yds 5.5 Avg,jere-getzinger-jr-1
Blake Daniels,SR,TE,13 Rec 149 Yds 11.5 Avg,blake-daniels-1
Andreas Paaske,JR,TE,4 Rec 39 Yds 9.8 Avg,andreas-paaske-1
C.J. Horton,JR,TE,,cj-horton-2
Cedric Anton,FR,TE,,cedric-anton-1
Gabe Hoffmann,FR,TE,,gabe-hoffmann-1
Joshua Anderson,SO,OL,,joshua-anderson-1
Zack Conti,SR,OL,,zack-conti-1
Brian Dooley,SR,OL,,brian-dooley-1
Dimitri Douglas,SR,OL,,dimitri-douglas-1
Alex Howie,SR,OL,,alex-howie-1
Broderick Jordan,JR,OL,,broderick-jordan-1
Carson Lee,JR,OL,,carson-lee-1
Chris Mayo,JR,OL,,chris-mayo-1
Mickey Rewolinski,JR,OL,,mickey-rewolinski-1
Owen Snively,JR,OL,,owen-snively-1
Dan Sunderman,SR,OL,,dan-sunderman-1
Daniel Warnsman,JR,OL,,daniel-warnsman-1
Tommy Dickinson,SO,OL,,tommy-dickinson-1
Nicholas Gallegos,SO,OL,,nicholas-gallegos-1
Mack Indestad,SO,OL,,mack-indestad-1
Jeremiah Jackson,SO,OL,,jeremiah-jackson-3
Kellen McDonough,FR,OL,,kellen-mcdonough-1
Terrance Saunders,FR,OL,,terrance-saunders-1
Dennis Strey,SO,OL,,dennis-strey-1
Trenton VanBoening,FR,OL,,trenton-vanboening-1
Kenyon Bowyer,SR,K,,kenyon-bowyer-1
Jesus Gomez,JR,K,,jesus-gomez-1
Hudson Fiene,FR,K,,hudson-fiene-1
Mikah Coleman,SR,DL,,mikah-coleman-1
Jaden Gaines,SO,DL,,jaden-gaines-1
Carter Gilbert,JR,DL,,carter-gilbert-1
Adrian Gonzalez,SR,DL,,adrian-gonzalez-1
Tim Grant-Randall,SR,DL,,tim-grant-randall-1
Mikey Haney,SR,DL,,mikey-haney-1
Jez Janvier,JR,DL,,jez-janvier-1
Alex Merritt,SR,DL,,alex-merritt-1
Ugo Nosike,SO,DL,,ugo-nosike-1
Peyton Price,JR,DL,,peyton-price-1
Melvin Swindle II,JR,DL,,melvin-swindle-ii-1
Malik Tullis,FR,DL,,malik-tullis-1
Joseph Zelinsky,SR,DL,,joseph-zelinsky-1
Messiah Blair,FR,DL,,messiah-blair-1
Maliek Bogard,SO,DL,,maliek-bogard-1
James Doerer,JR,DL,,james-doerer-1
Gary Dorsey,FR,DL,,gary-dorsey-2
Luke Fletcher,FR,DL,,luke-fletcher-1
Sterling Miles,SR,DL,,sterling-miles-1
Ke'Vion Wellington,FR,DL,,kevion-wellington-1
Luke Cameron,SR,LB,,luke-cameron-1
Bryce Eliuk,FR,LB,,bryce-eliuk-1
Justin Jefferson,SR,LB,,justin-jefferson-2
Chase Kline,SR,LB,,chase-kline-1
Cole McElvany,SO,LB,,cole-mcelvany-1
Zach Mowchan,JR,LB,,zach-mowchan-1
Joseph Sparacio,SR,LB,,joseph-sparacio-1
EJ Williams,SR,LB,,ej-williams-1
Quinn Kelly,FR,LB,,quinn-kelly-1
Soloman Bell,JR,DB,,soloman-bell-1
David Carter Jr.,SR,DB,,david-carter-jr-1
Londyn Craft,SR,DB,,londyn-craft-1
Keylen Gulley,JR,DB,,keylen-gulley-1
Korey Hernandez,SR,DB,,korey-hernandez-1
Tristen Hines,SR,DB,,tristen-hines-1
Jaheim Jenkins,SO,DB,,jaheim-jenkins-1
Barry Manning,SO,DB,,barry-manning-1
Jason Marshall,SO,DB,,jason-marshall-1
Josh McCarty,JR,DB,,josh-mccarty-1
Kendric Nowling,SR,DB,,kendric-nowling-1
T.J. Peavy,SR,DB,,tj-peavy-1
Quentavius Scandrett,JR,DB,,quentavius-scandrett-1
Joshua Scott,JR,DB,,joshua-scott-1
Kempton Shine,JR,DB,,kempton-shine-1
Cameron Smith,JR,DB,,cameron-smith-7
Bennett Walker,JR,DB,,bennett-walker-1
Daiquan White,FR,DB,,daiquan-white-1
Chase Arrington,FR,DB,,chase-arrington-1
Hussein Hussein,JR,DB,,hussein-hussein-1
Jesse Vasquez,JR,DB,,jesse-vasquez-2
Ryan Kingston,SO,P,,ryan-kingston-1
Mitchell Tomasek,JR,P,,mitchell-tomasek-1
Steve Bird,SR,LS,,steve-bird-1
Mitchell Dietzel,FR,LS,,mitchell-dietzel-1
Carter Evans,JR,DE,,carter-evans-1
