Player,Class,Pos,Summary,Player-additional
Carson Beck,JR,QB,302 Cmp 417 Att 3941 Yds 24 TD,carson-beck-1
Gunner Stockton,FR,QB,12 Cmp 19 Att 148 Yds 2 TD,gunner-stockton-1
Brock Vandagriff,SO,QB,12 Cmp 18 Att 165 Yds 2 TD,brock-vandagriff-1
Collin Drake,SO,QB,1 Cmp 1 Att 2 Yds 0 TD,collin-drake-1
Jackson Muschamp,JR,QB,,jackson-muschamp-1
Daijun Edwards,SR,RB,164 Att 881 Yds 5.4 Avg,daijun-edwards-1
Kendall Milton,SR,RB,121 Att 790 Yds 6.5 Avg,kendall-milton-1
Andrew Paul,FR,RB,29 Att 129 Yds 4.4 Avg,andrew-paul-1
Roderick Robinson II,FR,RB,24 Att 196 Yds 8.2 Avg,roderick-robinson-ii-1
Cash Jones,SO,RB,22 Att 161 Yds 7.3 Avg,cash-jones-1
Sevaughn Clark,SR,RB,8 Att 36 Yds 4.5 Avg,sevaughn-clark-1
Joseph Daniels,SR,RB,2 Att 5 Yds 2.5 Avg,joseph-daniels-1
Jacob Hardie,FR,RB,,jacob-hardie-1
Branson Robinson,SO,RB,,branson-robinson-1
Len'Neth Whitehead,JR,RB,,lenneth-whitehead-1
Dillon Bell,SO,WR,29 Rec 355 Yds 12.2 Avg,dillon-bell-1
Ladd McConkey,JR,WR,30 Rec 478 Yds 15.9 Avg,ladd-mcconkey-1
Mekhi Mews,SO,WR,13 Rec 155 Yds 11.9 Avg,mekhi-mews-1
Arian Smith,JR,WR,8 Rec 153 Yds 19.1 Avg,arian-smith-1
C.J. Smith,FR,WR,6 Rec 116 Yds 19.3 Avg,cj-smith-4
Anthony Evans III,FR,WR,4 Rec 35 Yds 8.8 Avg,anthony-evans-iii-1
Dominic Lovett,JR,WR,54 Rec 613 Yds 11.4 Avg,dominic-lovett-1
Marcus Rosemy-Jacksaint,SR,WR,34 Rec 535 Yds 15.7 Avg,marcus-rosemy-jacksaint-1
Rara Thomas,JR,WR,23 Rec 383 Yds 16.7 Avg,rara-thomas-1
Luke Bennett,FR,WR,1 Rec 2 Yds 2.0 Avg,luke-bennett-1
Zeed Haynes,FR,WR,1 Rec 20 Yds 20.0 Avg,zeed-haynes-1
Jackson Meeks,JR,WR,1 Rec 23 Yds 23.0 Avg,jackson-meeks-1
Cole Speer,SO,WR,1 Rec 7 Yds 7.0 Avg,cole-speer-1
Tyler Williams,FR,WR,1 Rec 4 Yds 4.0 Avg,tyler-williams-12
Grant Briscoe,FR,WR,,grant-briscoe-1
Braxton Hicks,JR,WR,,braxton-hicks-1
De'Nylon Morrissette,SO,WR,,denylon-morrissette-1
George Vining,SR,WR,,george-vining-2
Logan Johnson,SO,WR,,logan-johnson-1
Brandon Moody,JR,WR,,brandon-moody-1
Izayah Reeves,SO,WR,,izayah-reeves-1
Will Taylor,FR,WR,,will-taylor-3
Miles Thornton,FR,WR,,miles-thornton-1
Brock Bowers,JR,TE,56 Rec 714 Yds 12.8 Avg,brock-bowers-1
Oscar Delp,SO,TE,24 Rec 284 Yds 11.8 Avg,oscar-delp-1
Pearce Spurlin III,FR,TE,3 Rec 60 Yds 20.0 Avg,pearce-spurlin-iii-1
Lawson Luckie,FR,TE,2 Rec 9 Yds 4.5 Avg,lawson-luckie-1
Cade Brock,JR,TE,,cade-brock-1
Cooper Johnson,FR,TE,,cooper-johnson-1
Drew Sheehan,SR,TE,,drew-sheehan-1
David Lalaian,FR,TE,,david-lalaian-1
Aliou Bah,FR,OL,,aliou-bah-1
Austin Blaske,JR,OL,,austin-blaske-1
Drew Bobo,FR,OL,,drew-bobo-1
Chris Brown,JR,OL,,chris-brown-21
Dylan Fairchild,SO,OL,,dylan-fairchild-1
Monroe Freeling,FR,OL,,monroe-freeling-1
Earnest Greene,FR,OL,,earnest-greene-1
Bo Hughley,FR,OL,,bo-hughley-1
Miles Johnson,JR,OL,,miles-johnson-2
Chad Lindberg,JR,OL,,chad-lindberg-1
Jamal Meriweather,FR,OL,,jamal-meriweather-1
Amarius Mims,JR,OL,,amarius-mims-1
Micah Morris,SO,OL,,micah-morris-1
Tate Ratledge,SO,OL,,tate-ratledge-1
Xavier Truss,SR,OL,,xavier-truss-1
Sedrick Van Pran,JR,OL,,sedrick-van-pran-1
Jared Wilson,SO,OL,,jared-wilson-2
Joshua Miller,FR,OL,,joshua-miller-1
Kelton Smith Jr.,FR,OL,,kelton-smith-jr-1
Peyton Woodring,FR,K,,peyton-woodring-1
Jared Zirkel,JR,K,,jared-zirkel-1
Liam Badger,SO,K,,liam-badger-1
Henry Bates,FR,K,,henry-bates-1
Will Hattaway,FR,K,,will-hattaway-1
Clinton Barlow,FR,DL,,clinton-barlow-1
Warren Brinson,SR,DL,,warren-brinson-1
Jordan Hall,FR,DL,,jordan-hall-4
Tyrion Ingram-Dawkins,SO,DL,,tyrion-ingram-dawkins-1
Jamaal Jarrett,FR,DL,,jamaal-jarrett-1
Jonathan Jefferson,SO,DL,,jonathan-jefferson-1
Zion Logue,SR,DL,,zion-logue-1
Christen Miller,FR,DL,,christen-miller-1
Nazir Stackhouse,SR,DL,,nazir-stackhouse-1
Tramel Walthour,SR,DL,,tramel-walthour-1
Mykel Williams,SO,DL,,mykel-williams-1
C.J. Allen,FR,LB,,cj-allen-1
Troy Bowles,FR,LB,,troy-bowles-1
Chaz Chambliss,JR,LB,,chaz-chambliss-1
Graham Collins,JR,LB,,graham-collins-1
Jamon Dumas-Johnson,JR,LB,,jamon-dumas-johnson-1
Terrell Foster,FR,LB,,terrell-foster-1
Gabe Harris Jr.,FR,LB,,gabe-harris-jr-1
Marvin Jones Jr.,SO,LB,,marvin-jones-jr-1
Sam M'Pemba,FR,LB,,sam-mpemba-1
C.J. Madden,FR,LB,,cj-madden-1
Smael Mondon Jr.,JR,LB,,smael-mondon-jr-1
Darris Smith,SO,LB,,darris-smith-1
Xavian Sorey Jr.,SO,LB,,xavian-sorey-jr-1
Jalon Walker,SO,LB,,jalon-walker-1
Damon Wilson II,FR,LB,,damon-wilson-ii-1
Raylen Wilson,FR,LB,,raylen-wilson-1
Luke Collins,SO,LB,,luke-collins-3
E.J. Lightsey,FR,LB,,ej-lightsey-1
Sam Shurtleff,JR,LB,,sam-shurtleff-2
Joenel Aguero,FR,DB,,joenel-aguero-1
Javon Bullard,JR,DB,,javon-bullard-1
David Daniel,JR,DB,,david-daniel-4
Daylen Everette,SO,DB,,daylen-everette-1
Nyland Green,SO,DB,,nyland-green-1
AJ Harris,FR,DB,,aj-harris-5
Daniel Harris,FR,DB,,daniel-harris-2
Julian Humphrey,FR,DB,,julian-humphrey-1
Dan Jackson,SR,DB,,dan-jackson-2
Kyron Jones,FR,DB,,kyron-jones-1
Kamari Lassiter,JR,DB,,kamari-lassiter-1
Chris Peal,FR,DB,,chris-peal-1
Justyn Rhett,FR,DB,,justyn-rhett-1
Colby Smith,SR,DB,,colby-smith-5
Tykee Smith,SR,DB,,tykee-smith-1
Malaki Starks,SO,DB,,malaki-starks-1
Patrick Taylor,JR,DB,,patrick-taylor-4
JaCorey Thomas,SO,DB,,jacorey-thomas-1
