Player,Class,Pos,Summary,Player-additional
Davis Brin,SR,QB,362 Cmp 552 Att 3781 Yds 24 TD,davis-brin-1
JC French,FR,QB,13 Cmp 16 Att 122 Yds 1 TD,jc-french-1
Colton FitzGerald,SO,QB,,colton-fitzgerald-1
Beau Allen,JR,QB,,beau-allen-2
David Dallas,FR,QB,,david-dallas-1
Coby Walton,FR,QB,,coby-walton-1
OJ Arnold,SO,RB,75 Att 411 Yds 5.5 Avg,oj-arnold-1
Jalen White,SR,RB,160 Att 889 Yds 5.6 Avg,jalen-white-1
David Mbadinga,FR,RB,22 Att 112 Yds 5.1 Avg,david-mbadinga-1
Terrance Gibbs,FR,RB,9 Att 23 Yds 2.6 Avg,terrance-gibbs-1
Terron Dixon II,SR,RB,5 Att 12 Yds 2.4 Avg,terron-dixon-ii-1
Tyler Jordan,SR,RB,,tyler-jordan-2
J'Shawn Anderson,FR,RB,,jshawn-anderson-1
Robert Edwards III,FR,RB,,robert-edwards-iii-1
Jamarian Samuel,JR,RB,,jamarian-samuel-1
Dalen Cobb,SO,WR,40 Rec 601 Yds 15.0 Avg,dalen-cobb-1
Khaleb Hood,SR,WR,101 Rec 948 Yds 9.4 Avg,khaleb-hood-1
KD Dorsey,FR,WR,5 Rec 31 Yds 6.2 Avg,kd-dorsey-1
Derwin Burgess Jr.,JR,WR,74 Rec 813 Yds 11.0 Avg,derwin-burgess-jr-1
Anthony Queeley,SR,WR,28 Rec 275 Yds 9.8 Avg,anthony-queeley-1
Jaylon Barden,SR,WR,16 Rec 183 Yds 11.4 Avg,jaylon-barden-1
Marcus Sanders Jr.,SO,WR,6 Rec 91 Yds 15.2 Avg,marcus-sanders-jr-1
DeAndre Buchannon,FR,WR,4 Rec 31 Yds 7.8 Avg,deandre-buchannon-1
Josh Dallas,FR,WR,4 Rec 40 Yds 10.0 Avg,josh-dallas-1
Joshua Thompson,SO,WR,2 Rec 84 Yds 42.0 Avg,joshua-thompson-3
