Player,Class,Pos,Summary,Player-additional
Rocco Becht,FR,QB,231 Cmp 367 Att 3120 Yds 23 TD,rocco-becht-1
J.J. Kohl,FR,QB,9 Cmp 11 Att 23 Yds 0 TD,jj-kohl-1
Tanner Hughes,JR,QB,,tanner-hughes-1
Wyatt Bohm,FR,QB,,wyatt-bohm-1
Hunter Dekkers,JR,QB,,hunter-dekkers-1
Eli Sanders,SO,RB,102 Att 477 Yds 4.7 Avg,eli-sanders-2
Cartevious Norton,SO,RB,87 Att 343 Yds 3.9 Avg,cartevious-norton-1
Abu Sama,FR,RB,84 Att 614 Yds 7.3 Avg,abu-sama-1
Carson Hansen,FR,RB,22 Att 67 Yds 3.0 Avg,carson-hansen-1
Arlen Harris,FR,RB,1 Att 6 Yds 6.0 Avg,arlen-harris-2
Levi Hummel,SR,RB,,levi-hummel-1
Blaze Doxzon,JR,RB,,blaze-doxzon-1
Easton Miller,FR,RB,,easton-miller-1
Jaylin Noel,JR,WR,66 Rec 820 Yds 12.4 Avg,jaylin-noel-1
Jayden Higgins,JR,WR,53 Rec 983 Yds 18.5 Avg,jayden-higgins-1
Daniel Jackson,JR,WR,16 Rec 260 Yds 16.3 Avg,daniel-jackson-4
Dimitri Stanley,SR,WR,15 Rec 139 Yds 9.3 Avg,dimitri-stanley-1
Aidan Bitter,JR,WR,5 Rec 79 Yds 15.8 Avg,aidan-bitter-1
Greg Gaines,FR,WR,2 Rec 12 Yds 6.0 Avg,greg-gaines-3
Beni Ngoyi,FR,WR,1 Rec 46 Yds 46.0 Avg,beni-ngoyi-1
Kai Black,FR,WR,,kai-black-1
Carson Brown,FR,WR,,carson-brown-1
Jason Essex,FR,WR,,jason-essex-1
Quaron Adams,FR,WR,,quaron-adams-1
Tyler Claiborne,FR,WR,,tyler-claiborne-1
Michael Parkes,FR,WR,,michael-parkes-1
Dillon Ranck,FR,WR,,dillon-ranck-1
Jonathan Vande Walle,FR,WR,,jonathan-vande-walle-1
Benjamin Brahmer,FR,TE,28 Rec 352 Yds 12.6 Avg,benjamin-brahmer-1
Easton Dean,SR,TE,16 Rec 171 Yds 10.7 Avg,easton-dean-1
Stevo Klotz,JR,TE,7 Rec 60 Yds 8.6 Avg,stevo-klotz-1
Tyler Moore,SO,TE,4 Rec 25 Yds 6.3 Avg,tyler-moore-4
Gabe Burkle,FR,TE,2 Rec 9 Yds 4.5 Avg,gabe-burkle-1
Jack Bjorn,FR,TE,,jack-bjorn-1
Andrew Keller,FR,TE,,andrew-keller-1
Tucker Clark,FR,TE,,tucker-clark-1
DeShawn Hanika,SR,TE,,deshawn-hanika-1
A.J. Petersen,FR,TE,,aj-petersen-1
Tripp Walsh,FR,TE,,tripp-walsh-1
Brendan Black,FR,OL,,brendan-black-1
Jim Bonifas,SO,OL,,jim-bonifas-1
Jarrod Hufford,SR,OL,,jarrod-hufford-1
Evan Ladwig,SO,OL,,evan-ladwig-1
Tyler Maro,SO,OL,,tyler-maro-2
Tyler Miller,JR,OL,,tyler-miller-2
James Neal,SO,OL,,james-neal-2
Brady Petersen,JR,OL,,brady-petersen-2
Jake Remsburg,SR,OL,,jake-remsburg-1
Darrell Simmons,SR,OL,,darrell-simmons-1
Grant Treiber,SR,OL,,grant-treiber-1
Oluwafunto Akinshilo,SO,OL,,oluwafunto-akinshilo-1
Trevor Buhr,FR,OL,,trevor-buhr-1
Easton Eledge,FR,OL,,easton-eledge-1
Aidan Gilmore,FR,OL,,aidan-gilmore-1
Gabe Greenlee,FR,OL,,gabe-greenlee-1
Deylin Hasert,FR,OL,,deylin-hasert-1
Jack Hester,JR,OL,,jack-hester-1
Nick Lawler,JR,OL,,nick-lawler-1
George Nahas,FR,OL,,george-nahas-1
Hayden Pauls,JR,OL,,hayden-pauls-1
Anthony Smith,JR,OL,,anthony-smith-15
Chase Contreraz,SR,K,,chase-contreraz-1
Jace Gilbert,SO,K,,jace-gilbert-1
Keegan Shackford,SO,K,,keegan-shackford-1
Kyle Konrardy,FR,K,,kyle-konrardy-1
Tommy Hamann,FR,DL,,tommy-hamann-1
Zaimir Hawk,FR,DL,,zaimir-hawk-1
Tyler Onyedim,SO,DL,,tyler-onyedim-1
Domonique Orange,SO,DL,,domonique-orange-1
J.R. Singleton,JR,DL,,jr-singleton-1
Kaden Sutton,JR,DL,,kaden-sutton-1
Xavier Hamilton,FR,DL,,xavier-hamilton-1
Obald Niyonkuru,FR,DL,,obald-niyonkuru-1
Braden Simonsen,FR,DL,,braden-simonsen-1
Caleb Bacon,SO,LB,,caleb-bacon-1
Kooper Ebel,FR,LB,,kooper-ebel-1
Jacob Ellis,SO,LB,,jacob-ellis-1
Jacob Imming,FR,LB,,jacob-imming-1
J.J. Jean-Louis,FR,LB,,jj-jean-louis-1
John Klosterman,FR,LB,,john-klosterman-1
Zach Lovett,SO,LB,,zach-lovett-1
Carston Marshall,SO,LB,,carston-marshall-1
Will McLaughlin,SO,LB,,will-mclaughlin-1
Jack Sadowsky,FR,LB,,jack-sadowsky-1
Gerry Vaughn,SR,LB,,gerry-vaughn-1
Carson Willich,FR,LB,,carson-willich-1
Rylan Barnes,FR,LB,,rylan-barnes-1
Alec Cook,FR,LB,,alec-cook-1
Cole Garwood,FR,LB,,cole-garwood-1
Kade Gilbertson,FR,LB,,kade-gilbertson-1
Nick Reinicke,FR,LB,,nick-reinicke-1
Zack Anderson,FR,DB,,zack-anderson-1
Jeremiah Cooper,SO,DB,,jeremiah-cooper-1
Terrell Crosby,FR,DB,,terrell-crosby-1
Mason DouBrava,SO,DB,,mason-doubrava-1
Beau Freyler,JR,DB,,beau-freyler-1
Trevon Howard,FR,DB,,trevon-howard-1
Ta'Shawn James,FR,DB,,tashawn-james-1
Caden Matson,FR,DB,,caden-matson-1
Treyveon McGee,JR,DB,,treyveon-mcgee-1
Ben Nikkel,SR,DB,,ben-nikkel-1
Jamison Patton,FR,DB,,jamison-patton-1
Darien Porter,SR,DB,,darien-porter-1
Myles Purchase,JR,DB,,myles-purchase-1
Cam Smith,FR,DB,,cam-smith-6
Drew Surges,FR,DB,,drew-surges-1
T.J. Tampa,SR,DB,,tj-tampa-1
Blake Thompson,SO,DB,,blake-thompson-3
Asle Thorson,JR,DB,,asle-thorson-1
Malik Verdon,SO,DB,,malik-verdon-1
Jontez Williams,FR,DB,,jontez-williams-1
Wyatt Archer,FR,DB,,wyatt-archer-1
Norris Davis,FR,DB,,norris-davis-2
Caden Kock,FR,DB,,caden-kock-1
Eddie Lemos,FR,DB,,eddie-lemos-1
Myles Norwood,SO,DB,,myles-norwood-2
Tyler Perkins,SO,P,,tyler-perkins-1
Ryan Millmore,FR,P,,ryan-millmore-1
Ikenna Ezeogu,FR,DE,,ikenna-ezeogu-1
Trent Jones,SO,DE,,trent-jones-3
Drake Knobloch,FR,LS,,drake-knobloch-1
Myles Mendeszoon,SO,DE,,myles-mendeszoon-1
Tobechi Okoli,SO,DE,,tobechi-okoli-1
Joey Petersen,JR,DE,,joey-petersen-1
Samuel Same,FR,DE,,samuel-same-1
Jefferson Adam,JR,DE,,jefferson-adam-1
Chet Andrews,FR,DE,,chet-andrews-1
Vince Benetti,FR,DE,,vince-benetti-1
David Caulker,FR,DE,,david-caulker-1
Anthony Cunningham,FR,DE,,anthony-cunningham-1
Jacob Lyftogt,FR,LS,,jacob-lyftogt-1
Dominic Sisneros,JR,LS,,dominic-sisneros-1
