Player,Class,Pos,Summary,Player-additional
Zion Webb,SR,QB,111 Cmp 220 Att 1437 Yds 6 TD,zion-webb-1
Logan Smothers,JR,QB,66 Cmp 117 Att 735 Yds 6 TD,logan-smothers-1
Ashton Frye,FR,QB,5 Cmp 11 Att 51 Yds 0 TD,ashton-frye-1
Te'Sean Smoot,FR,QB,,tesean-smoot-1
Earl Woods III,FR,QB,,earl-woods-iii-1
Carter Lambert,FR,QB,,carter-lambert-1
Caden Creel,FR,QB,,caden-creel-1
Malik Jackson,SR,RB,146 Att 897 Yds 6.1 Avg,malik-jackson-6
Anwar Lewis,JR,RB,93 Att 452 Yds 4.9 Avg,anwar-lewis-1
Ron Wiggins,JR,RB,92 Att 468 Yds 5.1 Avg,ron-wiggins-1
Reggion Bennett,FR,RB,27 Att 60 Yds 2.2 Avg,reggion-bennett-1
J'Wan Evans,JR,RB,21 Att 60 Yds 2.9 Avg,jwan-evans-2
Kenyon Sims,SR,RB,4 Att 8 Yds 2.0 Avg,kenyon-sims-1
Demarco Hopkins,FR,RB,,demarco-hopkins-1
Ty Waymon,JR,RB,,ty-waymon-1
Perry Carter,SR,WR,38 Rec 672 Yds 17.7 Avg,perry-carter-2
Sterling Galban,SR,WR,11 Rec 126 Yds 11.5 Avg,sterling-galban-1
Jayson Jones,SO,WR,2 Rec 24 Yds 12.0 Avg,jayson-jones-3
Jarod Bowie,SO,WR,,jarod-bowie-1
Quinton Lane,SR,WR,30 Rec 342 Yds 11.4 Avg,quinton-lane-2
Michael Pettway,SO,WR,17 Rec 196 Yds 11.5 Avg,michael-pettway-1
PJ Wells,JR,WR,12 Rec 150 Yds 12.5 Avg,pj-wells-2
Jamarye Joiner,SR,WR,10 Rec 93 Yds 9.3 Avg,jamarye-joiner-1
Jordan McCants,FR,WR,1 Rec 28 Yds 28.0 Avg,jordan-mccants-1
Brock Rechsteiner,SO,WR,1 Rec 5 Yds 5.0 Avg,brock-rechsteiner-1
Anthony Benjamin,FR,WR,,anthony-benjamin-1
Aghogho Eyafe,JR,WR,,aghogho-eyafe-1
Colton Pitchford,FR,WR,,colton-pitchford-1
Cam Vaughn,FR,WR,,cam-vaughn-1
Jaylen Williams,FR,WR,,jaylen-williams-2
Dallan Wright,SO,WR,,dallan-wright-1
La'Derrick Bell,JR,WR,,laderrick-bell-1
Kam Edge,FR,WR,,kam-edge-1
Ty Gilbert,FR,WR,,ty-gilbert-1
Christian Thomas,FR,WR,,christian-thomas-3
Nate Zills,FR,WR,,nate-zills-1
Cole Fuller,SO,TE,,cole-fuller-1
Sean Brown,JR,TE,19 Rec 294 Yds 15.5 Avg,sean-brown-10
Jacob Barrick,SO,TE,3 Rec 32 Yds 10.7 Avg,jacob-barrick-1
Pearson Baldwin,SO,TE,,pearson-baldwin-1
Ridge Redd,FR,TE,,ridge-redd-1
Gage Cline,FR,TE,,gage-cline-1
K.D. Arnold,FR,OL,,kd-arnold-1
Xavier Bausley,FR,OL,,xavier-bausley-1
Treylen Brown,SR,OL,,treylen-brown-1
Cameron Griffin,FR,OL,,cameron-griffin-2
Daveion Harley,FR,OL,,daveion-harley-1
Caleb Hill,FR,OL,,caleb-hill-1
Marvin Lee,FR,OL,,marvin-lee-1
Cade Nayadley,JR,OL,,cade-nayadley-1
Will O'Steen,SO,OL,,will-osteen-1
Will Pieroni,JR,OL,,will-pieroni-1
Brock Robey,JR,OL,,brock-robey-1
Maddox Sunderman,FR,OL,,maddox-sunderman-1
Clay Webb,JR,OL,,clay-webb-1
Judson Billings,FR,OL,,judson-billings-1
Joel Brown,FR,OL,,joel-brown-2
Tom Hadary,FR,OL,,tom-hadary-1
Cole Roberson,FR,OL,,cole-roberson-1
Nate Smith,FR,OL,,nate-smith-2
Moussa Sylla,FR,OL,,moussa-sylla-1
Brayden Wood,SO,OL,,brayden-wood-1
Alen Karajic,JR,K,,alen-karajic-1
Garrison Rippa,FR,K,,garrison-rippa-1
Carson McCauley,SO,K,,carson-mccauley-1
Devin Baldwin,JR,DL,,devin-baldwin-1
Keyon Clark,SO,DL,,keyon-clark-1
Jackson Luttrell,SR,DL,,jackson-luttrell-1
Jeff Marks,SR,DL,,jeff-marks-1
Darrell Prater,FR,DL,,darrell-prater-1
Ricky Samuel,JR,DL,,ricky-samuel-2
Kamari Stephens,JR,DL,,kamari-stephens-1
Quin Warren,JR,DL,,quin-warren-1
Kevin Ellis,SO,DL,,kevin-ellis-3
Javius Hudgins,FR,DL,,javius-hudgins-1
Chuck Taylor,SO,DL,,chuck-taylor-4
Jackson Veasy,FR,DL,,jackson-veasy-1
Jibreel Al-Amin,FR,LB,,jibreel-al-amin-1
Jaleel Birdsong,FR,LB,,jaleel-birdsong-1
Dajwon DeLoach,FR,LB,,dajwon-deloach-1
Quae Drake,SR,LB,,quae-drake-1
Laletia Hale,JR,LB,,laletia-hale-1
Brad Harper,FR,LB,,brad-harper-1
Xavier Morrow,JR,LB,,xavier-morrow-1
Jaden Thomas,FR,LB,,jaden-thomas-2
Aidan Thompson,FR,LB,,aidan-thompson-1
Tristan Wells,JR,LB,,tristan-wells-1
Larry Worth,SO,LB,,larry-worth-1
Nick Covington,FR,DB,,nick-covington-1
Jack Dawson,JR,P,,jack-dawson-2
Cade Backe,SO,P,,cade-backe-1
Terrance Alexander,JR,CB,,terrance-alexander-1
Austin Ambush,SO,S,,austin-ambush-1
Marco Baker,JR,CB,,marco-baker-1
Jalen Bustamante,JR,S,,jalen-bustamante-1
Will Caneer,FR,DE,,will-caneer-1
Derek Carter,SO,CB,,derek-carter-5
Travis Collier,SO,CB,,travis-collier-2
Travis Franklin Jr.,FR,S,,travis-franklin-jr-1
Kolbi Fuqua,SR,S,,kolbi-fuqua-2
Yessman Green,JR,S,,yessman-green-1
Chris Hardie,JR,DE,,chris-hardie-1
Jeremiah Harris,SR,S,,jeremiah-harris-2
Javarius Hoskins,JR,DE,,javarius-hoskins-1
Jamari Jemison,JR,CB,,jamari-jemison-1
Jumarion Larry,FR,DE,,jumarion-larry-1
Geimere Latimer,FR,CB,,geimere-latimer-1
Jabari Mack,SO,CB,,jabari-mack-1
K'won McCray,JR,S,,kwon-mccray-1
Walker O'Steen,FR,S,,walker-osteen-1
Fred Perry,SO,S,,fred-perry-1
Thomas Peterson,JR,LS,,thomas-peterson-2
Nehemiah Pgouda,FR,S,,nehemiah-pgouda-1
Zechariah Poyser,FR,S,,zechariah-poyser-1
J-Rock Swain,JR,DE,,j-rock-swain-1
Kekoura Tarnue,JR,CB,,kekoura-tarnue-1
Terrance Thomas Jr.,JR,S,,terrance-thomas-jr-1
Collin Westfelt,SO,LS,,collin-westfelt-1
Cam Williams,SO,DE,,cam-williams-1
Curley Young Jr.,JR,DE,,curley-young-jr-2
Kacey Battle,FR,S,,kacey-battle-1
Keith Christein,FR,S,,keith-christein-1
Tae Floyd,FR,DE,,tae-floyd-1
Luke Hogan,SO,LS,,luke-hogan-2
Cai Mayowa,FR,S,,cai-mayowa-1
Micah McCarroll,FR,CB,,micah-mccarroll-1
Dee Newsome,FR,S,,dee-newsome-1
Shane Payton Hodges,FR,DE,,shane-payton-hodges-1
