Player,Class,Pos,Summary,Player-additional
Jayden Daniels,SR,QB,236 Cmp 327 Att 3812 Yds 40 TD,jayden-daniels-1
Garrett Nussmeier,SO,QB,48 Cmp 78 Att 591 Yds 4 TD,garrett-nussmeier-1
Rickie Collins,FR,QB,2 Cmp 2 Att 3 Yds 0 TD,rickie-collins-1
George Hamsley,FR,QB,,george-hamsley-1
Matt O'Dowd,SO,QB,,matt-odowd-1
Logan Diggs,JR,RB,119 Att 653 Yds 5.5 Avg,logan-diggs-1
Josh Williams,SR,RB,55 Att 284 Yds 5.2 Avg,josh-williams-10
Noah Cain,SR,RB,37 Att 181 Yds 4.9 Avg,noah-cain-1
Kaleb Jackson,FR,RB,31 Att 165 Yds 5.3 Avg,kaleb-jackson-1
John Emery Jr.,SR,RB,23 Att 121 Yds 5.3 Avg,john-emery-jr-1
Trey Holly,FR,RB,11 Att 110 Yds 10.0 Avg,trey-holly-1
Tre Bradford,SO,RB,4 Att 1 Yds 0.3 Avg,tre-bradford-1
Malachi Lane,SO,RB,1 Att 1 Yds 1.0 Avg,malachi-lane-1
Armoni Goodwin,JR,RB,,armoni-goodwin-1
Malik Nabers,JR,WR,89 Rec 1569 Yds 17.6 Avg,malik-nabers-1
Brian Thomas Jr.,JR,WR,68 Rec 1177 Yds 17.3 Avg,brian-thomas-jr-1
Kyren Lacy,SR,WR,30 Rec 558 Yds 18.6 Avg,kyren-lacy-1
Chris Hilton Jr.,SO,WR,13 Rec 225 Yds 17.3 Avg,chris-hilton-jr-1
Aaron Anderson,FR,WR,12 Rec 59 Yds 4.9 Avg,aaron-anderson-3
Jalen Brown,FR,WR,,jalen-brown-4
Gregory Clayton Jr.,SR,WR,,gregory-clayton-jr-1
Javen Nicholas,FR,WR,,javen-nicholas-1
Kyle Parker,FR,WR,,kyle-parker-2
Shelton Sampson,FR,WR,,shelton-sampson-2
RJ Willis,SO,WR,,rj-willis-1
Cowinn Helaire,FR,WR,,cowinn-helaire-1
Landon Ibieta,FR,WR,,landon-ibieta-1
Noah Nash,SO,WR,,noah-nash-1
Khai Prean,FR,WR,,khai-prean-1
Mason Taylor,SO,TE,36 Rec 348 Yds 9.7 Avg,mason-taylor-1
Mac Markway,FR,TE,3 Rec 16 Yds 5.3 Avg,mac-markway-1
Ka'Morreun Pimpton,FR,TE,1 Rec 1 Yds 1.0 Avg,kamorreun-pimpton-1
Connor Gilbreath,SO,TE,,connor-gilbreath-1
Gabe Leonards,SO,TE,,gabe-leonards-1
Jackson McGohan,FR,TE,,jackson-mcgohan-1
GiVanni Peterson,SO,TE,,givanni-peterson-1
Tyree Adams,FR,OL,,tyree-adams-1
Bo Bordelon,FR,OL,,bo-bordelon-1
Will Campbell,SO,OL,,will-campbell-1
DJ Chester,FR,OL,,dj-chester-1
Garrett Dellinger,JR,OL,,garrett-dellinger-1
Miles Frazier,JR,OL,,miles-frazier-1
Lance Heard,FR,OL,,lance-heard-1
