Player,Class,Pos,Summary,Player-additional
Taisun Phommachanh,JR,QB,139 Cmp 227 Att 1507 Yds 6 TD,taisun-phommachanh-1
Carlos Davis,SR,QB,62 Cmp 101 Att 886 Yds 6 TD,carlos-davis-5
Ahmad Haston,FR,QB,11 Cmp 17 Att 176 Yds 2 TD,ahmad-haston-1
Brady Olson,JR,QB,0 Cmp 3 Att 0 Yds 0 TD,brady-olson-1
Zamar Wise,SO,QB,,zamar-wise-1
Conner Whitson,FR,QB,,conner-whitson-1
Kay'ron Adams,JR,RB,236 Att 1157 Yds 4.9 Avg,kayron-adams-1
Gregory Desrosiers,SO,RB,37 Att 301 Yds 8.1 Avg,gregory-desrosiers-1
Jalen John,SO,RB,10 Att 31 Yds 3.1 Avg,jalen-john-6
Dymeir Still,FR,RB,,dymeir-still-1
Tim Baldwin Jr.,SO,RB,,tim-baldwin-jr-1
Jackson Paradis,FR,RB,,jackson-paradis-1
Donta Whack,FR,RB,,donta-whack-1
Anthony Simpson,JR,WR,57 Rec 792 Yds 13.9 Avg,anthony-simpson-2
Mark Pope,SR,WR,33 Rec 420 Yds 12.7 Avg,mark-pope-1
Shawn Harris Jr.,JR,WR,16 Rec 152 Yds 9.5 Avg,shawn-harris-jr-1
Christian Wells,JR,WR,11 Rec 169 Yds 15.4 Avg,christian-wells-1
George Johnson,JR,WR,35 Rec 421 Yds 12.0 Avg,george-johnson-6
Isaac Ross,SR,WR,3 Rec 9 Yds 3.0 Avg,isaac-ross-1
Dallas Elliott,FR,WR,,dallas-elliott-1
Jacquon Gibson,SO,WR,,jacquon-gibson-1
T.Y. Harding,SO,WR,,ty-harding-1
Victor Mafo,FR,WR,,victor-mafo-1
Ott Eric Ottender,FR,WR,,ott-eric-ottender-1
Shane Robles,FR,WR,,shane-robles-1
Gino Campiotti,SR,TE,21 Rec 289 Yds 13.8 Avg,gino-campiotti-2
Eni Falayi,SO,TE,1 Rec 14 Yds 14.0 Avg,eni-falayi-1
Jackson Manning,SO,TE,,jackson-manning-1
Matt Smith,JR,TE,,matt-smith-8
Jason Weir,JR,TE,,jason-weir-1
Patrick Rindfuss,FR,TE,,patrick-rindfuss-1
Magnus von Saldern,FR,TE,,magnus-von-saldern-1
Marcellus Anderson,SR,OL,,marcellus-anderson-1
Josh Atwood,JR,OL,,josh-atwood-1
Cole Garcia,SR,OL,,cole-garcia-1
Jonny Hassard,JR,OL,,jonny-hassard-1
Brandon MacKinnon,SO,OL,,brandon-mackinnon-1
Ryan Mosesso,SO,OL,,ryan-mosesso-1
Ethan Mottinger,JR,OL,,ethan-mottinger-1
Wyatt Terlaak,JR,OL,,wyatt-terlaak-1
Zachary Anderson,FR,OL,,zachary-anderson-1
Cole Erickson,FR,OL,,cole-erickson-1
Chris Glass,JR,OL,,chris-glass-1
Parris Heath,SR,OL,,parris-heath-1
Tyler Leinberger,FR,OL,,tyler-leinberger-1
Peyton Miller,FR,OL,,peyton-miller-1
Kaden Nystuen,FR,OL,,kaden-nystuen-1
Peter Papkyrikos,FR,OL,,peter-papkyrikos-1
Connor Vasher,SR,OL,,connor-vasher-1
Cameron Carson,JR,K,,cameron-carson-1
Riley Moore,SO,K,,riley-moore-2
Bennett Abbe,FR,K,,bennett-abbe-1
Michael Cooper,FR,K,,michael-cooper-5
Aaron Beckwith,SO,DL,,aaron-beckwith-1
Marcus Bradley,SO,DL,,marcus-bradley-1
Josh Brown,SR,DL,,josh-brown-9
Jaylen Murphy,FR,DL,,jaylen-murphy-1
Jermaine Wiggins Jr.,FR,DL,,jermaine-wiggins-jr-1
Anthony Johnson,SO,DL,,anthony-johnson-19
Josh Brunelle,JR,LB,,josh-brunelle-1
John Burton,SO,LB,,john-burton-1
Derrieon Craig,SO,LB,,derrieon-craig-1
Donovan Dyson,FR,LB,,donovan-dyson-1
RJ Edwards,SO,LB,,rj-edwards-1
Zukodo Igwenagu,JR,LB,,zukodo-igwenagu-1
Gerrell Johnson,JR,LB,,gerrell-johnson-1
Nahji Logan,JR,LB,,nahji-logan-1
Tyler Martin,FR,LB,,tyler-martin-1
Jerry Roberts,SR,LB,,jerry-roberts-2
Jyree Roberts,FR,LB,,jyree-roberts-1
Dominic Schofield,SO,LB,,dominic-schofield-1
Jalen Stewart,JR,LB,,jalen-stewart-1
Myles Turner,SO,LB,,myles-turner-1
Rashad Henry,FR,LB,,rashad-henry-1
Kyle Ott,FR,LB,,kyle-ott-1
Alex Tsoumakas,FR,LB,,alex-tsoumakas-1
Tristan Armstrong,JR,DB,,tristan-armstrong-1
Noah Boykin,SR,DB,,noah-boykin-1
Osei Dixon,SO,DB,,osei-dixon-1
Jalon Ferrell,SR,DB,,jalon-ferrell-1
Darius Gooden,JR,DB,,darius-gooden-2
Dorian Helm,JR,DB,,dorian-helm-1
Christian LeBrun,FR,DB,,christian-lebrun-1
Jordan Mahoney,JR,DB,,jordan-mahoney-1
Jeremiah McGill,FR,DB,,jeremiah-mcgill-1
Michael Oppong,JR,DB,,michael-oppong-1
Te'Rai Powell,JR,DB,,terai-powell-1
Tyler Rudolph,JR,DB,,tyler-rudolph-1
Isaiah Rutherford,JR,DB,,isaiah-rutherford-1
CJ Kolodziey,JR,P,,cj-kolodziey-1
Kofi Asare,FR,DE,,kofi-asare-1
Jerrod Cameron Jr.,FR,CB,,jerrod-cameron-jr-1
Ethan Dumont,SR,LS,,ethan-dumont-1
Uchenna Ezewike,SR,DE,,uchenna-ezewike-1
Jalen Harrell,SO,S,,jalen-harrell-1
Shambre Jackson,SO,DT,,shambre-jackson-1
Dashaun Jerkins,SR,S,,dashaun-jerkins-1
Louce Julien,SO,DE,,louce-julien-1
Tate Kendall,FR,LS,,tate-kendall-1
Hugo Klages,JR,DT,,hugo-klages-1
Juan Lua,SR,S,,juan-lua-1
Cletus Mathurin,SR,DT,,cletus-mathurin-1
Steven Ortiz Jr.,SO,CB,,steven-ortiz-jr-1
Aquan Robinson,SO,DE,,aquan-robinson-1
Donovan Turner,FR,CB,,donovan-turner-1
Tyson Watson,SO,DE,,tyson-watson-1
Billy Wooden,SR,DT,,billy-wooden-1
Payton Andrade,FR,DE,,payton-andrade-1
