Player,Class,Pos,Summary,Player-additional
Will Rogers,SR,QB,142 Cmp 237 Att 1626 Yds 12 TD,will-rogers-1
Mike Wright,SR,QB,48 Cmp 85 Att 453 Yds 3 TD,mike-wright-8
Chris Parson,FR,QB,11 Cmp 26 Att 103 Yds 0 TD,chris-parson-1
Asher Morgan,SO,QB,,asher-morgan-1
Vic Sutton,FR,QB,,vic-sutton-1
Jake Weir,SO,QB,,jake-weir-1
Jo'quavious Marks,SR,RB,121 Att 573 Yds 4.7 Avg,joquavious-marks-1
Seth Davis,FR,RB,59 Att 356 Yds 6.0 Avg,seth-davis-1
Jeffery Pittman,JR,RB,54 Att 268 Yds 5.0 Avg,jeffery-pittman-1
Keyvone Lee,JR,RB,12 Att 75 Yds 6.3 Avg,keyvone-lee-1
Simeon Price,SO,RB,5 Att 41 Yds 8.2 Avg,simeon-price-1
Javaris Bufford,SO,RB,,javaris-bufford-1
Wykece Johnson,JR,RB,,wykece-johnson-1
Brinston Williams,FR,RB,,brinston-williams-1
Lideatrick Griffin,SR,WR,50 Rec 658 Yds 13.2 Avg,lideatrick-griffin-1
Zavion Thomas,SO,WR,40 Rec 503 Yds 12.6 Avg,zavion-thomas-1
Creed Whittemore,FR,WR,11 Rec 102 Yds 9.3 Avg,creed-whittemore-1
Justin Robinson,JR,WR,21 Rec 257 Yds 12.2 Avg,justin-robinson-2
Freddie Roberson,SR,WR,11 Rec 149 Yds 13.5 Avg,freddie-roberson-2
Jaden Walley,SR,WR,5 Rec 49 Yds 9.8 Avg,jaden-walley-1
Jordan Mosely,SO,WR,3 Rec 45 Yds 15.0 Avg,jordan-mosely-1
Jacoby Bellazar,JR,WR,1 Rec 13 Yds 13.0 Avg,jacoby-bellazar-1
Grant Evans,FR,WR,,grant-evans-1
Kade Kolka,SR,WR,,kade-kolka-1
Nakai Poole,FR,WR,,nakai-poole-1
Antonio Harmon,SO,TE,14 Rec 98 Yds 7.0 Avg,antonio-harmon-1
Ryland Goede,SR,TE,1 Rec 18 Yds 18.0 Avg,ryland-goede-1
Malik Ellis,FR,TE,,malik-ellis-1
Nick Lauderdale,JR,TE,,nick-lauderdale-1
Jacarius Clayton,FR,TE,,jacarius-clayton-1
Rayfield Lotten,FR,TE,,rayfield-lotten-1
Geor'Quarius Spivey,SR,TE,,georquarius-spivey-1
Seydou Traore,JR,TE,,seydou-traore-1
Leon Bell,JR,OL,,leon-bell-1
Canon Boone,SO,OL,,canon-boone-1
Grant Jackson,JR,OL,,grant-jackson-1
Kwatrivous Johnson,SR,OL,,kwatrivous-johnson-1
Kameron Jones,SR,OL,,kameron-jones-1
Nick Jones,SR,OL,,nick-jones-5
Percy Lewis,SR,OL,,percy-lewis-1
Steven Losoya III,SR,OL,,steven-losoya-iii-1
Albert Reese IV,SO,OL,,albert-reese-iv-1
Cole Smith,SR,OL,,cole-smith-3
Zay Alexander,FR,OL,,zay-alexander-1
Wesley Davis,FR,OL,,wesley-davis-1
Jayden Hobson,FR,OL,,jayden-hobson-1
Jakson LaHue,FR,OL,,jakson-lahue-1
Amari Smith,FR,OL,,amari-smith-1
Nicholas Barr-Mira,SR,K,,nicholas-barr-mira-1
Kyle Ferrie,FR,K,,kyle-ferrie-1
Marlon Hauck,FR,K,,marlon-hauck-1
Carson Allen,FR,K,,carson-allen-1
Ethan Chang,JR,K,,ethan-chang-1
Kalvin Dinkins,FR,DL,,kalvin-dinkins-1
Joseph Head Jr.,FR,DL,,joseph-head-jr-1
Gavin Nelson,FR,DL,,gavin-nelson-1
Donterry Russell,FR,DL,,donterry-russell-1
Eric Taylor,SO,DL,,eric-taylor-3
Trevion Williams,SO,DL,,trevion-williams-1
Caleb Bryant,FR,DL,,caleb-bryant-2
Jonathan Davis,FR,DL,,jonathan-davis-4
Gabe Moore,FR,DL,,gabe-moore-1
Dayvionte Thompson,FR,DL,,dayvionte-thompson-1
Ty Cooper,SO,LB,,ty-cooper-1
Javae Gilmore,FR,LB,,javae-gilmore-1
Jett Johnson,SR,LB,,jett-johnson-1
John Lewis,SO,LB,,john-lewis-7
Nic Mitchell,SO,LB,,nic-mitchell-1
Khalid Moore,FR,LB,,khalid-moore-1
DeShawn Page,SR,LB,,deshawn-page-1
J.P. Purvis,SR,LB,,jp-purvis-1
Avery Sledge,FR,LB,,avery-sledge-1
Zakari Tillman,FR,LB,,zakari-tillman-1
Nathaniel Watson,SR,LB,,nathaniel-watson-1
Tabias Hinton,FR,LB,,tabias-hinton-1
Michael Robinson,SO,LB,,michael-robinson-6
Raydarious Jones,SR,DB,,raydarious-jones-1
Kobi Albert,SO,DB,,kobi-albert-1
Khamauri Rogers,FR,DB,,khamauri-rogers-1
Keelan Crimmins,FR,P,,keelan-crimmins-1
Andrew Osteen,SR,P,,andrew-osteen-1
Deonte Anderson,SO,DE,,deonte-anderson-1
Marcus Banks,SR,S,,marcus-banks-1
Jamari Brown,SR,CB,,jamari-brown-1
Jaden Crumedy,SR,DT,,jaden-crumedy-1
Jordan Davis,SR,DE,,jordan-davis-8
Corey Ellington,JR,S,,corey-ellington-1
Esaias Furdge,SR,CB,,esaias-furdge-1
Hayes Hammond,JR,LS,,hayes-hammond-1
Tanner Duke Johnson,FR,S,,tanner-duke-johnson-1
Kelley Jones,FR,CB,,kelley-jones-1
Christopher Keys,JR,S,,christopher-keys-1
Jordan Morant,JR,S,,jordan-morant-1
DeCarlos Nicholson,SR,CB,,decarlos-nicholson-1
Nathan Pickering,SR,DT,,nathan-pickering-1
Brice Pollock,FR,CB,,brice-pollock-1
Shawn Preston Jr.,SR,S,,shawn-preston-jr-1
Decamerion Richardson,SR,CB,,decamerion-richardson-1
De'Monte Russell,SR,DE,,demonte-russell-1
Isaac Smith,FR,S,,isaac-smith-4
Cody Swanson,SR,S,,cody-swanson-1
Hunter Washington,SO,S,,hunter-washington-1
Jaylen Aborom,FR,S,,jaylen-aborom-1
Nicholas Bargains,FR,CB,,nicholas-bargains-1
Luke Beard,FR,LS,,luke-beard-1
Luke Evans,FR,CB,,luke-evans-3
Manuel Hillman,JR,LS,,manuel-hillman-1
Will James,FR,S,,will-james-2
Jalin Shephard,SO,S,,jalin-shephard-1
Trent Singleton,FR,S,,trent-singleton-1
