Player,Class,Pos,Summary,Player-additional
Heinrich Haarberg,SO,QB,77 Cmp 157 Att 967 Yds 7 TD,heinrich-haarberg-1
Chubba Purdy,SO,QB,31 Cmp 57 Att 382 Yds 2 TD,chubba-purdy-1
Jeff Sims,JR,QB,28 Cmp 47 Att 282 Yds 1 TD,jeff-sims-1
Luke Longval,FR,QB,,luke-longval-1
Jack Woche,FR,QB,,jack-woche-1
Anthony Grant,SR,RB,104 Att 413 Yds 4.0 Avg,anthony-grant-1
Emmett Johnson,FR,RB,90 Att 411 Yds 4.6 Avg,emmett-johnson-2
Gabe Ervin Jr.,SO,RB,38 Att 196 Yds 5.2 Avg,gabe-ervin-jr-1
Rahmir Johnson,JR,RB,12 Att 65 Yds 5.4 Avg,rahmir-johnson-1
Trevin Luben,SO,RB,3 Att 29 Yds 9.7 Avg,trevin-luben-1
Maurice Mazzccua,JR,RB,1 Att 6 Yds 6.0 Avg,maurice-mazzccua-1
Cole Ballard,FR,RB,,cole-ballard-2
Kwinten Ives,FR,RB,,kwinten-ives-1
Isaiah Harris,SO,RB,,isaiah-harris-4
Trevon Kincher,FR,RB,,trevon-kincher-1
Kenneth Williams,FR,RB,,kenneth-williams-5
Josh Fleeks,SR,WR,8 Rec 69 Yds 8.6 Avg,josh-fleeks-1
Jaylen Lloyd,FR,WR,6 Rec 237 Yds 39.5 Avg,jaylen-lloyd-1
Billy Kemp,SR,WR,35 Rec 310 Yds 8.9 Avg,billy-kemp-2
Alex Bullock,SO,WR,15 Rec 221 Yds 14.7 Avg,alex-bullock-1
Malachi Coleman,FR,WR,8 Rec 139 Yds 17.4 Avg,malachi-coleman-1
Marcus Washington,SR,WR,8 Rec 176 Yds 22.0 Avg,marcus-washington-6
Ty Hahn,SO,WR,4 Rec 36 Yds 9.0 Avg,ty-hahn-1
Jaidyn Doss,FR,WR,2 Rec 20 Yds 10.0 Avg,jaidyn-doss-1
Isaiah Garcia-Castaneda,JR,WR,1 Rec 7 Yds 7.0 Avg,isaiah-garcia-castaneda-1
Elliot Brown,SO,WR,,elliot-brown-1
Cooper Hausmann,FR,WR,,cooper-hausmann-1
Roman Mangini,FR,WR,,roman-mangini-1
Barron Miles Jr.,SO,WR,,barron-miles-jr-1
Taveon Thompson,SO,WR,,taveon-thompson-1
Demitrius Bell,FR,WR,,demitrius-bell-1
Nate Boerkircher,SO,TE,5 Rec 51 Yds 10.2 Avg,nate-boerkircher-1
Luke Lindenmeyer,FR,TE,,luke-lindenmeyer-1
Thomas Fidone III,SO,TE,25 Rec 260 Yds 10.4 Avg,thomas-fidone-iii-1
Jake Appleget,FR,TE,,jake-appleget-1
John Goodwin,JR,TE,,john-goodwin-1
Caden Becker,SO,TE,,caden-becker-1
Cayden Echternach,FR,TE,,cayden-echternach-1
Arik Gilbert,SO,TE,,arik-gilbert-1
Ismael Smith Flores,FR,TE,,ismael-smith-flores-1
Bryce Benhart,JR,OL,,bryce-benhart-1
Turner Corcoran,JR,OL,,turner-corcoran-1
Justin Evans-Jenkins,FR,OL,,justin-evans-jenkins-1
Gunner Gottula,FR,OL,,gunner-gottula-1
Jacob Hood,FR,OL,,jacob-hood-1
Tyler Knaak,FR,OL,,tyler-knaak-1
Henry Lutovsky,SO,OL,,henry-lutovsky-1
Joey Mancino,SO,OL,,joey-mancino-1
Keegan Menning,SO,OL,,keegan-menning-1
Nouredin Nouili,SR,OL,,nouredin-nouili-1
Dylan Parrott,FR,OL,,dylan-parrott-1
Ethan Piper,JR,OL,,ethan-piper-1
Teddy Prochazka,SO,OL,,teddy-prochazka-1
Ben Scott,JR,OL,,ben-scott-3
David Borchers,FR,OL,,david-borchers-1
Jacob Brandl,FR,OL,,jacob-brandl-1
Conor Connealy,FR,OL,,conor-connealy-1
Mason Goldman,FR,OL,,mason-goldman-1
Brock Knutson,FR,OL,,brock-knutson-1
Grant Seagren,FR,OL,,grant-seagren-1
Sam Sledge,FR,OL,,sam-sledge-2
Timmy Bleekrode,JR,K,,timmy-bleekrode-1
Tristan Alvano,FR,K,,tristan-alvano-1
Spencer Pankratz,SO,K,,spencer-pankratz-1
Ru'Quan Buckley,SO,DL,,ruquan-buckley-1
Vincent Carroll-Jackson,FR,DL,,vincent-carroll-jackson-1
Blaise Gunnerson,SO,DL,,blaise-gunnerson-1
Jacob Herbek,JR,DL,,jacob-herbek-1
Nash Hutmacher,JR,DL,,nash-hutmacher-1
Elijah Jeudy,SO,DL,,elijah-jeudy-1
Sua Lefotu,FR,DL,,sua-lefotu-1
Cameron Lenhardt,FR,DL,,cameron-lenhardt-1
Ty Robinson,JR,DL,,ty-robinson-1
A.J. Rollins,SO,DL,,aj-rollins-1
Princewill Umanmielen,FR,DL,,princewill-umanmielen-1
Riley Van Poppel,FR,DL,,riley-van-poppel-1
Kai Wallin,SO,DL,,kai-wallin-1
James Williams,SO,DL,,james-williams-17
Leslie Black,FR,DL,,leslie-black-1
Jason Maciejczak,FR,DL,,jason-maciejczak-1
Brodie Tagaloa,FR,DL,,brodie-tagaloa-1
Chief Borders,SO,LB,,chief-borders-1
John Bullock,JR,LB,,john-bullock-2
Jimari Butler,SO,LB,,jimari-butler-1
Korver Demma,FR,LB,,korver-demma-1
Mikai Gbayor,SO,LB,,mikai-gbayor-1
Nick Henrich,JR,LB,,nick-henrich-1
Luke Reimer,SR,LB,,luke-reimer-1
MJ Sherman,JR,LB,,mj-sherman-1
Garrett Snodgrass,JR,LB,,garrett-snodgrass-1
Grant Tagge,JR,LB,,grant-tagge-1
Kaine Williams,SO,LB,,kaine-williams-1
Javin Wright,JR,LB,,javin-wright-1
Jacob Bower,FR,LB,,jacob-bower-2
Grant Buda,SO,LB,,grant-buda-1
Noah Bustard,FR,LB,,noah-bustard-1
Eric Fields,FR,LB,,eric-fields-2
Randolph Kpai,SO,LB,,randolph-kpai-1
Maverick Noonan,FR,LB,,maverick-noonan-1
Danny Pasko,FR,LB,,danny-pasko-1
Dylan Rogers,FR,LB,,dylan-rogers-1
Gage Stenger,FR,LB,,gage-stenger-1
Tommi Hill,JR,DB,,tommi-hill-1
Michael Booker III,SO,DB,,michael-booker-iii-1
Dwight Bootle II,FR,DB,,dwight-bootle-ii-1
Derek Branch,SO,DB,,derek-branch-1
Koby Bretz,SO,DB,,koby-bretz-1
Omar Brown,SR,DB,,omar-brown-3
Marques Buford Jr.,JR,DB,,marques-buford-jr-1
Jeremiah Charles,FR,DB,,jeremiah-charles-1
Blake Closman,SO,DB,,blake-closman-1
Corey Collier Jr.,SO,DB,,corey-collier-jr-1
Isaac Gifford,JR,DB,,isaac-gifford-1
Malcolm Hartzog,SO,DB,,malcolm-hartzog-1
Ashton Hausmann,SO,DB,,ashton-hausmann-1
Tamon Lynum,SO,DB,,tamon-lynum-1
Javier Morton,JR,DB,,javier-morton-1
Ethan Nation,FR,DB,,ethan-nation-1
Quinton Newsome,SR,DB,,quinton-newsome-1
Phalen Sanford,SR,DB,,phalen-sanford-1
DeShon Singleton,JR,DB,,deshon-singleton-1
Rahmir Stewart,FR,DB,,rahmir-stewart-1
Brice Turner,FR,DB,,brice-turner-1
D'Andre Barnes,FR,DB,,dandre-barnes-1
Mason Jones,FR,DB,,mason-jones-1
Javon Kincher,FR,DB,,javon-kincher-1
Syncere Safeeullah,FR,DB,,syncere-safeeullah-1
Cooper Wilson,FR,DB,,cooper-wilson-2
Brian Buschini,JR,P,,brian-buschini-1
Jacob Hohl,JR,P,,jacob-hohl-1
Gage Wager,FR,P,,gage-wager-1
Janiran Bonner,FR,FB,,janiran-bonner-1
Braden Klover,SO,FB,,braden-klover-1
Barret Liebentritt,SO,FB,,barret-liebentritt-1
Marco Ortiz,SR,LS,,marco-ortiz-1
Will DePooter,FR,LS,,will-depooter-1
Trevor Ruth,FR,FB,,trevor-ruth-1
Landon Ternus,FR,FB,,landon-ternus-1
Camden Witucki,SO,LS,,camden-witucki-1
