Player,Class,Pos,Summary,Player-additional
Jayden Maiava,FR,QB,224 Cmp 353 Att 3085 Yds 17 TD,jayden-maiava-1
Doug Brumfield,SR,QB,26 Cmp 50 Att 252 Yds 0 TD,doug-brumfield-1
Cameron Friel,JR,QB,,cameron-friel-1
Bo Edmundson,FR,QB,,bo-edmundson-1
Lucas Lenhoff,FR,QB,,lucas-lenhoff-1
Vincent Davis,SR,RB,145 Att 760 Yds 5.2 Avg,vincent-davis-3
Jai'Den Thomas,FR,RB,108 Att 503 Yds 4.7 Avg,jaiden-thomas-1
Donavyn Lester,SR,RB,95 Att 455 Yds 4.8 Avg,donavyn-lester-1
Courtney Reese,SR,RB,59 Att 233 Yds 3.9 Avg,courtney-reese-1
Jordan Younge-Humphrey,SR,RB,12 Att 96 Yds 8.0 Avg,jordan-younge-humphrey-1
Darrien Jones,FR,RB,,darrien-jones-1
Andrew Wimmer,SR,RB,,andrew-wimmer-1
Jacob De Jesus,JR,WR,60 Rec 606 Yds 10.1 Avg,jacob-de-jesus-1
Timothy Conerly,JR,WR,8 Rec 80 Yds 10.0 Avg,timothy-conerly-1
DeAngelo Irvin Jr.,FR,WR,3 Rec 37 Yds 12.3 Avg,deangelo-irvin-jr-1
Ricky White,JR,WR,88 Rec 1483 Yds 16.9 Avg,ricky-white-2
Senika McKie,SR,WR,23 Rec 342 Yds 14.9 Avg,senika-mckie-1
Dominic Gicinto,SR,WR,7 Rec 124 Yds 17.7 Avg,dominic-gicinto-1
Corey Thompson Jr.,FR,WR,4 Rec 55 Yds 13.8 Avg,corey-thompson-jr-1
Zyell Griffin,SR,WR,3 Rec 24 Yds 8.0 Avg,zyell-griffin-1
Landon Rogers,SO,WR,1 Rec 7 Yds 7.0 Avg,landon-rogers-1
Malik Bradford,SO,WR,,malik-bradford-1
Rashawn Jackson,FR,WR,,rashawn-jackson-2
Jordan Jakes,SR,WR,,jordan-jakes-1
Gavin Thomson,SR,WR,,gavin-thomson-1
Bryson Waterman,FR,WR,,bryson-waterman-1
