Player,Class,Pos,Summary,Player-additional
Dylan Hopkins,SR,QB,157 Cmp 282 Att 2074 Yds 11 TD,dylan-hopkins-1
Devon Dampier,FR,QB,40 Cmp 64 Att 525 Yds 6 TD,devon-dampier-1
DC Tabscott,SO,QB,1 Cmp 5 Att 16 Yds 0 TD,dc-tabscott-1
Justin Holaday,JR,QB,,justin-holaday-1
Aiden Armenta,FR,QB,,aiden-armenta-1
Isaiah Chavez,JR,QB,,isaiah-chavez-1
Jacory Croskey-Merritt,SR,RB,189 Att 1190 Yds 6.3 Avg,jacory-croskey-merritt-1
Andrew Henry,SR,RB,52 Att 350 Yds 6.7 Avg,andrew-henry-2
Sherod White,SR,RB,37 Att 155 Yds 4.2 Avg,sherod-white-1
Dorian Lewis,SR,RB,24 Att 123 Yds 5.1 Avg,dorian-lewis-1
Christian Washington,SO,RB,12 Att 11 Yds 0.9 Avg,christian-washington-1
Zach Vigil,SO,RB,7 Att 21 Yds 3.0 Avg,zach-vigil-2
Jaylen Morgan,SR,RB,1 Att 4 Yds 4.0 Avg,jaylen-morgan-2
Jimmy Gallegos,JR,RB,,jimmy-gallegos-2
Ray Iwai,FR,RB,,ray-iwai-1
Washington Jalen,SO,RB,,washington-jalen-1
Jeremiah Hixon,SR,WR,39 Rec 482 Yds 12.4 Avg,jeremiah-hixon-2
Caleb Medford,SO,WR,30 Rec 551 Yds 18.4 Avg,caleb-medford-1
DJ Washington,SR,WR,29 Rec 336 Yds 11.6 Avg,dj-washington-3
Ryan Davis,SR,WR,21 Rec 255 Yds 12.1 Avg,ryan-davis-6
Andrew Erickson,SR,WR,20 Rec 263 Yds 13.2 Avg,andrew-erickson-1
Deuce Jones,JR,WR,8 Rec 194 Yds 24.3 Avg,deuce-jones-1
Luke Wysong,JR,WR,7 Rec 110 Yds 15.7 Avg,luke-wysong-1
Kaydin Pope,FR,WR,6 Rec 67 Yds 11.2 Avg,kaydin-pope-1
Jacob Godfrey,FR,WR,1 Rec 6 Yds 6.0 Avg,jacob-godfrey-1
Kade Zimmerman,JR,WR,1 Rec 30 Yds 30.0 Avg,kade-zimmerman-1
Ezra Sexton,FR,WR,,ezra-sexton-1
Nic Trujillo,FR,WR,,nic-trujillo-1
Michael Buckley,SO,WR,,michael-buckley-1
Austin Erickson,JR,WR,,austin-erickson-1
Elijah Spaulding,FR,WR,,elijah-spaulding-1
Jace Taylor-Stalhut,SR,WR,,jace-taylor-stalhut-1
Xavier Van,FR,WR,,xavier-van-1
Evan Wysong,FR,WR,,evan-wysong-1
Trace Bruckler,SO,TE,9 Rec 89 Yds 9.9 Avg,trace-bruckler-1
Everett Hunter,SO,TE,2 Rec 18 Yds 9.0 Avg,everett-hunter-1
Wyatt McClour,SO,TE,2 Rec 47 Yds 23.5 Avg,wyatt-mcclour-1
Connor Witthoft,SR,TE,1 Rec 11 Yds 11.0 Avg,connor-witthoft-1
Magnus Geers,JR,TE,,magnus-geers-1
Caleb Marra,JR,TE,,caleb-marra-1
Jacob Trussell,FR,TE,,jacob-trussell-1
Max Lantzsch,FR,TE,,max-lantzsch-1
Sir Robinson,FR,TE,,sir-robinson-1
Walter Baca,JR,OL,,walter-baca-1
Jer'Marques Bailey,JR,OL,,jermarques-bailey-1
JC Davis,JR,OL,,jc-davis-1
CJ James,JR,OL,,cj-james-2
Shancco Matautia,SO,OL,,shancco-matautia-1
Isaiah Sillemon,SO,OL,,isaiah-sillemon-1
Devon Smith,JR,OL,,devon-smith-3
Taurrian Stafford,SR,OL,,taurrian-stafford-1
Reese Steele,JR,OL,,reese-steele-1
DJ Wingfield,JR,OL,,dj-wingfield-1
Arrison Cole,SO,OL,,arrison-cole-1
Chris Lovato,SO,OL,,chris-lovato-1
Cayden Romero,FR,OL,,cayden-romero-1
Vincent Santos,JR,OL,,vincent-santos-1
Sam Telesa,SR,OL,,sam-telesa-1
Matthew Toilolo,FR,OL,,matthew-toilolo-1
