Player,Class,Pos,Summary,Player-additional
Chandler Rogers,JR,QB,262 Cmp 421 Att 3382 Yds 29 TD,chandler-rogers-3
Stone Earle,JR,QB,22 Cmp 40 Att 274 Yds 4 TD,stone-earle-1
Dylan Gebbia,FR,QB,,dylan-gebbia-1
JD Head,SO,QB,,jd-head-1
Ayo Adeyi,JR,RB,143 Att 1017 Yds 7.1 Avg,ayo-adeyi-1
Oscar Adaway III,JR,RB,123 Att 738 Yds 6.0 Avg,oscar-adaway-iii-1
Isaiah Johnson,JR,RB,37 Att 229 Yds 6.2 Avg,isaiah-johnson-10
Ikaika Ragsdale,JR,RB,9 Att 34 Yds 3.8 Avg,ikaika-ragsdale-1
Keith Jackson,SO,RB,,keith-jackson-6
Qualon Farrar,FR,RB,,qualon-farrar-1
Makenzie McGill,FR,RB,,makenzie-mcgill-1
Landon Sides,FR,WR,30 Rec 363 Yds 12.1 Avg,landon-sides-1
Kaylon Horton,SR,WR,6 Rec 44 Yds 7.3 Avg,kaylon-horton-1
Jay Maclin,SO,WR,57 Rec 1004 Yds 17.6 Avg,jay-maclin-1
Roderic Burns,SR,WR,41 Rec 466 Yds 11.4 Avg,roderic-burns-1
Damon Ward,JR,WR,39 Rec 487 Yds 12.5 Avg,damon-ward-2
Trey Cleveland,JR,WR,27 Rec 415 Yds 15.4 Avg,trey-cleveland-1
Blair Conwright,JR,WR,24 Rec 385 Yds 16.0 Avg,blair-conwright-1
Jordan Smart,JR,WR,19 Rec 230 Yds 12.1 Avg,jordan-smart-1
Zhighlil McMillan,SO,WR,,zhighlil-mcmillan-1
Dorian Morris,JR,WR,,dorian-morris-1
Richard Rocquemore,SO,WR,,richard-rocquemore-1
Detraveon Brown,JR,WR,,detraveon-brown-1
J'Kalon Carter,JR,WR,,jkalon-carter-1
Zack Darkoch,FR,WR,,zack-darkoch-1
Dallas Dudley,FR,WR,,dallas-dudley-1
Evan Greene,SO,WR,,evan-greene-1
Tim Madison,FR,WR,,tim-madison-1
Caden Park,FR,WR,,caden-park-1
Luke Rossley,FR,WR,,luke-rossley-1
Kaden Taylor,SO,WR,,kaden-taylor-1
Xzavior Kautai,SO,TE,7 Rec 42 Yds 6.0 Avg,xzavior-kautai-1
Christian Lee,JR,TE,4 Rec 43 Yds 10.8 Avg,christian-lee-1
West Wilson,FR,TE,,west-wilson-1
Brad Adamcik,SO,TE,,brad-adamcik-1
Josh Smith,SO,TE,,josh-smith-20
Leke Asenuga,SO,OL,,leke-asenuga-1
Gabe Blair,JR,OL,,gabe-blair-1
Daizion Carroll,SR,OL,,daizion-carroll-1
Jett Duncan,JR,OL,,jett-duncan-1
Desmond Magiya,FR,OL,,desmond-magiya-1
Ethan Miner,JR,OL,,ethan-miner-1
Larry Moore,SO,OL,,larry-moore-5
Kaci Moreka,SR,OL,,kaci-moreka-1
Febechi Nwaiwu,SO,OL,,febechi-nwaiwu-1
Caden Reeves,SO,OL,,caden-reeves-1
Howard Simpson,FR,OL,,howard-simpson-2
Paula Vaipulu,JR,OL,,paula-vaipulu-1
Samora Ezekiel,FR,OL,,samora-ezekiel-1
Josiah Jefferson,FR,OL,,josiah-jefferson-1
Keon Johnson,FR,OL,,keon-johnson-3
Ryan Krueger,FR,OL,,ryan-krueger-1
Dameon Smallwood,FR,OL,,dameon-smallwood-1
Isaac Sohn,FR,OL,,isaac-sohn-1
Isaiah Villanueva,FR,OL,,isaiah-villanueva-1
