Player,Class,Pos,Summary,Player-additional
Dillon Gabriel,SR,QB,266 Cmp 384 Att 3660 Yds 30 TD,dillon-gabriel-1
Jackson Arnold,FR,QB,44 Cmp 69 Att 563 Yds 4 TD,jackson-arnold-1
Davis Beville,SR,QB,,davis-beville-1
General Booty,SO,QB,,general-booty-1
Jacob Switzer,SO,QB,,jacob-switzer-1
Gavin Sawchuk,FR,RB,120 Att 744 Yds 6.2 Avg,gavin-sawchuk-1
Tawee Walker,JR,RB,102 Att 513 Yds 5.0 Avg,tawee-walker-1
Marcus Major,SR,RB,78 Att 308 Yds 3.9 Avg,marcus-major-1
Jovantae Barnes,SO,RB,37 Att 140 Yds 3.8 Avg,jovantae-barnes-1
Daylan Smothers,FR,RB,11 Att 42 Yds 3.8 Avg,daylan-smothers-1
Kalib Hicks,FR,RB,3 Att 14 Yds 4.7 Avg,kalib-hicks-1
Emeka Megwa,SO,RB,1 Att 6 Yds 6.0 Avg,emeka-megwa-1
Braylon Colgrove,FR,RB,,braylon-colgrove-1
Chapman McKown,FR,RB,,chapman-mckown-1
Jalil Farooq,JR,WR,45 Rec 694 Yds 15.4 Avg,jalil-farooq-1
Gavin Freeman,SO,WR,19 Rec 95 Yds 5.0 Avg,gavin-freeman-1
Drake Stoops,SR,WR,84 Rec 962 Yds 11.5 Avg,drake-stoops-1
Jaquaize Pettaway,FR,WR,11 Rec 70 Yds 6.4 Avg,jaquaize-pettaway-1
Nic Anderson,FR,WR,38 Rec 798 Yds 21.0 Avg,nic-anderson-1
Andrel Anthony,JR,WR,27 Rec 429 Yds 15.9 Avg,andrel-anthony-1
Jayden Gibson,SO,WR,14 Rec 375 Yds 26.8 Avg,jayden-gibson-1
Brenen Thompson,SO,WR,7 Rec 241 Yds 34.4 Avg,brenen-thompson-1
LV Bunkley-Shelton,JR,WR,3 Rec 33 Yds 11.0 Avg,lv-bunkley-shelton-1
Javian Hester,JR,WR,,javian-hester-1
Major Melson,JR,WR,,major-melson-1
Eli Merck,FR,WR,,eli-merck-1
Trey Brown,FR,WR,,trey-brown-3
Patrick Cromer,FR,WR,,patrick-cromer-1
D.J. Graham,SR,WR,,dj-graham-1
Brandon Harper,FR,WR,,brandon-harper-2
Austin Stogner,SR,TE,17 Rec 196 Yds 11.5 Avg,austin-stogner-1
Blake Smith,JR,TE,2 Rec 30 Yds 15.0 Avg,blake-smith-4
Kade McIntyre,FR,TE,1 Rec 26 Yds 26.0 Avg,kade-mcintyre-1
Hayden Bray,SO,TE,,hayden-bray-1
Josh Fanuiel,SO,TE,,josh-fanuiel-1
Hamp Fay,SO,TE,,hamp-fay-1
Jason Llewellyn,SO,TE,,jason-llewellyn-1
Kaden Helms,FR,TE,,kaden-helms-1
Gunnar Allen,FR,OL,,gunnar-allen-1
Nate Anderson,JR,OL,,nate-anderson-2
Joshua Bates,FR,OL,,joshua-bates-1
Savion Byrd,SO,OL,,savion-byrd-1
Troy Everett,SO,OL,,troy-everett-1
Cayden Green,FR,OL,,cayden-green-1
Tyler Guyton,JR,OL,,tyler-guyton-1
Logan Howland,FR,OL,,logan-howland-1
McKade Mettauer,SR,OL,,mckade-mettauer-1
Heath Ozaeta,FR,OL,,heath-ozaeta-1
Aaryn Parks,JR,OL,,aaryn-parks-1
Andrew Raym,SR,OL,,andrew-raym-1
Jacob Sexton,SO,OL,,jacob-sexton-1
Caleb Shaffer,SR,OL,,caleb-shaffer-1
Jake Taylor,SO,OL,,jake-taylor-3
Drew Batt,FR,OL,,drew-batt-1
Ty Kubicek,FR,OL,,ty-kubicek-1
Christian Smith,FR,OL,,christian-smith-4
Kenneth Wermy,FR,OL,,kenneth-wermy-1
Gavin Marshall,FR,K,,gavin-marshall-1
Zach Schmit,JR,K,,zach-schmit-1
Redi Mustafaraj,SO,K,,redi-mustafaraj-1
Adepoju Adebawore,FR,DL,,adepoju-adebawore-1
Rondell Bothroyd,SR,DL,,rondell-bothroyd-1
Isaiah Coe,SR,DL,,isaiah-coe-1
Ethan Downs,JR,DL,,ethan-downs-1
Trace Ford,SR,DL,,trace-ford-1
Kelvin Gilliam,SO,DL,,kelvin-gilliam-1
Reggie Grimes,SR,DL,,reggie-grimes-2
Gracen Halton,SO,DL,,gracen-halton-1
Jordan Kelley,SR,DL,,jordan-kelley-1
Jacob Lacey,SR,DL,,jacob-lacey-2
Jonah Laulu,SR,DL,,jonah-laulu-2
Phillip Paea,SR,DL,,phillip-paea-1
Ashton Sanders,FR,DL,,ashton-sanders-1
Davon Sears,SR,DL,,davon-sears-1
Marcus Stripling,SR,DL,,marcus-stripling-1
Markus Strong,FR,DL,,markus-strong-1
DaJon Terry,SR,DL,,dajon-terry-1
R Mason Thomas,SO,DL,,r-mason-thomas-1
Taylor Wein,FR,DL,,taylor-wein-1
Drew Heinig,FR,DL,,drew-heinig-1
Lewis Carter,FR,LB,,lewis-carter-1
Reed DeQuasie,FR,LB,,reed-dequasie-1
