Player,Class,Pos,Summary,Player-additional
Alan Bowman,SR,QB,304 Cmp 501 Att 3460 Yds 15 TD,alan-bowman-1
Gunnar Gundy,SO,QB,21 Cmp 34 Att 202 Yds 1 TD,gunnar-gundy-1
Garret Rangel,FR,QB,17 Cmp 32 Att 172 Yds 2 TD,garret-rangel-1
Zane Flores,FR,QB,,zane-flores-1
Peyton Thompson,SR,QB,,peyton-thompson-2
Ollie Gordon,SO,RB,285 Att 1732 Yds 6.1 Avg,ollie-gordon-1
Jaden Nixon,SO,RB,50 Att 197 Yds 3.9 Avg,jaden-nixon-1
Elijah Collins,SR,RB,30 Att 142 Yds 4.7 Avg,elijah-collins-1
Sesi Vailahi,FR,RB,6 Att 27 Yds 4.5 Avg,sesi-vailahi-1
Hudson Devins,FR,RB,,hudson-devins-1
Seth Swirczynski,FR,RB,,seth-swirczynski-1
Brennan Presley,SR,WR,101 Rec 991 Yds 9.8 Avg,brennan-presley-1
Jaden Bray,SO,WR,30 Rec 382 Yds 12.7 Avg,jaden-bray-1
Rashod Owens,JR,WR,63 Rec 895 Yds 14.2 Avg,rashod-owens-1
Leon Johnson III,SR,WR,33 Rec 539 Yds 16.3 Avg,leon-johnson-iii-1
De'Zhaun Stribling,JR,WR,14 Rec 198 Yds 14.1 Avg,dezhaun-stribling-1
Blaine Green,SO,WR,13 Rec 102 Yds 7.8 Avg,blaine-green-1
Talyn Shettron,FR,WR,6 Rec 78 Yds 13.0 Avg,talyn-shettron-1
Cale Cabbiness,JR,WR,1 Rec 10 Yds 10.0 Avg,cale-cabbiness-1
Tykie Andrews,FR,WR,,tykie-andrews-1
Mason Gilkey,FR,WR,,mason-gilkey-1
Camron Heard,FR,WR,,camron-heard-1
Jalen Pope,FR,WR,,jalen-pope-1
Cason Cabbiness,FR,WR,,cason-cabbiness-1
Jaxon Deason,FR,WR,,jaxon-deason-1
Ty Walls,FR,WR,,ty-walls-1
Josiah Johnson,SR,TE,22 Rec 166 Yds 7.5 Avg,josiah-johnson-1
Bryce Drummond,SO,TE,,bryce-drummond-1
Ian Edenfield,SR,TE,,ian-edenfield-1
Quinton Stewart,JR,TE,,quinton-stewart-1
Tabry Shettron,FR,TE,,tabry-shettron-1
Cole Birmingham,SR,OL,,cole-birmingham-1
Jason Brooks Jr.,JR,OL,,jason-brooks-jr-1
Dalton Cooper,SR,OL,,dalton-cooper-1
Davis Dotson,FR,OL,,davis-dotson-1
Jack Endean,FR,OL,,jack-endean-1
Austin Kawecki,FR,OL,,austin-kawecki-1
Viliami Makahununiu,FR,OL,,viliami-makahununiu-1
Noah Mckinney,FR,OL,,noah-mckinney-1
Joe Michalski,SR,OL,,joe-michalski-1
Taylor Miterko,SR,OL,,taylor-miterko-1
Jakobe Sanders,FR,OL,,jakobe-sanders-1
Jake Springfield,SR,OL,,jake-springfield-1
Preston Wilson,SR,OL,,preston-wilson-1
Evan Bax,FR,OL,,evan-bax-1
Calvin Harvey,FR,OL,,calvin-harvey-1
Jarrett Henry,SO,OL,,jarrett-henry-1
Garrett Keith,FR,OL,,garrett-keith-1
Hilton Marsh,SO,OL,,hilton-marsh-1
Jamison Mejia,FR,OL,,jamison-mejia-1
Jude Ropp,FR,OL,,jude-ropp-1
Gage Stanaland,FR,OL,,gage-stanaland-1
Alex Hale,SR,K,,alex-hale-1
Logan Ward,SO,K,,logan-ward-1
Thomas Murray,FR,K,,thomas-murray-2
Kason Shrum,JR,K,,kason-shrum-1
Xavier Benson,SR,LB,,xavier-benson-2
Constantino Borrelli,JR,LB,,constantino-borrelli-1
Gabe Brown,FR,LB,,gabe-brown-1
Chance Clements,FR,LB,,chance-clements-1
Bo Hardy,JR,LB,,bo-hardy-2
Nickolas Martin,SO,LB,,nickolas-martin-1
Andrew McCall,FR,LB,,andrew-mccall-1
Collin Oliver,JR,LB,,collin-oliver-1
Jeff Roberson,JR,LB,,jeff-roberson-1
Donovan Stephens,SO,LB,,donovan-stephens-1
Poasa Utu,FR,LB,,poasa-utu-1
Elijah Wright,JR,LB,,elijah-wright-2
Justin Wright,SR,LB,,justin-wright-1
Justin Crutchmer,FR,LB,,justin-crutchmer-1
Ike Esonwune,FR,LB,,ike-esonwune-1
Grant Mirabal,FR,LB,,grant-mirabal-1
Hudson Kaak,FR,P,,hudson-kaak-1
Wes Pahl,JR,P,,wes-pahl-1
Braden Cassity,SR,FB,,braden-cassity-1
Jake Schultz,SR,FB,,jake-schultz-1
Ryan Baker,JR,DE,,ryan-baker-3
De'Kelvion Beamon,SO,CB,,dekelvion-beamon-1
Korie Black,SR,CB,,korie-black-1
DeSean Brown,FR,DE,,desean-brown-1
DeSean Buckner,JR,CB,,desean-buckner-1
Collin Clay,SR,DT,,collin-clay-1
Kendal Daniels,SO,S,,kendal-daniels-1
Landon Dean,FR,DE,,landon-dean-1
Marcus Duckworth,JR,DT,,marcus-duckworth-1
Cameron Epps,FR,S,,cameron-epps-1
Kam Franklin,FR,S,,kam-franklin-1
Shea Freibaum,FR,LS,,shea-freibaum-1
Raymond Gay II,SO,S,,raymond-gay-ii-1
Anthony Goodlow,SR,DE,,anthony-goodlow-1
