Player,Class,Pos,Summary,Player-additional
Grant Wilson,JR,QB,178 Cmp 312 Att 2149 Yds 17 TD,grant-wilson-1
Jack Shields,SO,QB,25 Cmp 47 Att 353 Yds 2 TD,jack-shields-3
Colton Joseph,FR,QB,,colton-joseph-1
Lendon Redwine,SR,QB,,lendon-redwine-1
Tyler Stott,SO,QB,,tyler-stott-1
Keshawn Wicks,JR,RB,120 Att 589 Yds 4.9 Avg,keshawn-wicks-1
Kadarius Calloway,JR,RB,88 Att 623 Yds 7.1 Avg,kadarius-calloway-1
Obie Sanni,SO,RB,57 Att 248 Yds 4.4 Avg,obie-sanni-1
Devin Roche,FR,RB,32 Att 182 Yds 5.7 Avg,devin-roche-1
Tariq Sims,SO,RB,15 Att 41 Yds 2.7 Avg,tariq-sims-1
Alex Jreige,FR,RB,,alex-jreige-1
Ahmarian Granger,SO,WR,15 Rec 213 Yds 14.2 Avg,ahmarian-granger-1
Isiah Paige,JR,WR,43 Rec 445 Yds 10.3 Avg,isiah-paige-1
Kelby Williams,SO,WR,26 Rec 451 Yds 17.3 Avg,kelby-williams-1
Javon Harvey,JR,WR,29 Rec 391 Yds 13.5 Avg,javon-harvey-1
Reymello Murphy,SO,WR,28 Rec 502 Yds 17.9 Avg,reymello-murphy-1
Jordan Bly,JR,WR,13 Rec 52 Yds 4.0 Avg,jordan-bly-1
Dominic Dutton,SO,WR,9 Rec 201 Yds 22.3 Avg,dominic-dutton-1
Myles Alston,SO,WR,,myles-alston-1
Marquez Bell,SO,WR,,marquez-bell-1
Ethan Presutty,FR,WR,,ethan-presutty-1
Jaylen Pretlow,FR,WR,,jaylen-pretlow-1
MarShawn Ferguson,FR,WR,,marshawn-ferguson-1
TJ Lott,FR,WR,,tj-lott-1
Devin Queen,FR,WR,,devin-queen-1
Isaiah Smith,FR,WR,,isaiah-smith-2
Jalen Butler,SO,TE,9 Rec 44 Yds 4.9 Avg,jalen-butler-1
DJ Chandler,SO,TE,,dj-chandler-1
Isaiah Spencer,SR,TE,,isaiah-spencer-2
A'Quan Dunbar,FR,TE,,aquan-dunbar-1
Trey Lancaster,JR,TE,,trey-lancaster-2
Curtis Nixon,SO,TE,,curtis-nixon-1
Chris Adams,SO,OL,,chris-adams-2
Xavier Black,JR,OL,,xavier-black-1
Chris Chernak,SR,OL,,chris-chernak-1
Spencer Dow,FR,OL,,spencer-dow-1
Stephon Dubose-Bourne,SO,OL,,stephon-dubose-bourne-1
Skyler Grant,SO,OL,,skyler-grant-1
Elijah Hoskin,SO,OL,,elijah-hoskin-1
Keanon McNally,FR,OL,,keanon-mcnally-1
Santana Saunders,JR,OL,,santana-saunders-1
Leroy Thomas,SR,OL,,leroy-thomas-2
Maarten Woudsma,FR,OL,,maarten-woudsma-1
Caleb Bryant,FR,OL,,caleb-bryant-1
Connor Drake,FR,OL,,connor-drake-1
Michael Flores,SR,OL,,michael-flores-1
Caleb Gosney,SO,OL,,caleb-gosney-1
Mason Howard,FR,OL,,mason-howard-1
Kainan Miller,FR,OL,,kainan-miller-1
