Player,Class,Pos,Summary,Player-additional
Christian Veilleux,SO,QB,94 Cmp 184 Att 1179 Yds 7 TD,christian-veilleux-1
Phil Jurkovec,SR,QB,57 Cmp 112 Att 818 Yds 6 TD,phil-jurkovec-1
Nate Yarnell,SO,QB,41 Cmp 62 Att 595 Yds 4 TD,nate-yarnell-1
Ty Dieffenbach,FR,QB,,ty-dieffenbach-1
Jake Frantl,SO,QB,,jake-frantl-1
David Lynch,FR,QB,,david-lynch-1
Rodney Hammond Jr.,JR,RB,118 Att 547 Yds 4.6 Avg,rodney-hammond-jr-1
C'Bo Flemister,SR,RB,98 Att 367 Yds 3.7 Avg,cbo-flemister-1
Daniel Carter,SR,RB,28 Att 134 Yds 4.8 Avg,daniel-carter-1
Montravius Lloyd,FR,RB,5 Att 20 Yds 4.0 Avg,montravius-lloyd-1
Derrick Davis Jr.,SO,RB,2 Att 8 Yds 4.0 Avg,derrick-davis-jr-1
TJ Harvison,FR,RB,,tj-harvison-1
Caleb Williams,FR,RB,,caleb-williams-4
Kenny Johnson,FR,WR,15 Rec 122 Yds 8.1 Avg,kenny-johnson-3
Che Nwabuko,FR,WR,,che-nwabuko-1
Konata Mumpfield,JR,WR,44 Rec 576 Yds 13.1 Avg,konata-mumpfield-1
Daejon Reynolds,SO,WR,28 Rec 316 Yds 11.3 Avg,daejon-reynolds-1
Bub Means,SR,WR,41 Rec 721 Yds 17.6 Avg,bub-means-1
Zion Fowler-El,FR,WR,1 Rec -3 Yds -3.0 Avg,zion-fowler-el-1
Jake McConnachie,JR,WR,1 Rec 39 Yds 39.0 Avg,jake-mcconnachie-1
Israel Polk,FR,WR,1 Rec 14 Yds 14.0 Avg,israel-polk-1
Joshua Junko,SR,WR,,joshua-junko-1
Lamar Seymore,FR,WR,,lamar-seymore-1
Peter Vardzel,SO,WR,,peter-vardzel-1
Addison Copeland III,FR,WR,,addison-copeland-iii-1
Benny Haselrig,FR,WR,,benny-haselrig-1
Lorenzo Jenkins,FR,WR,,lorenzo-jenkins-1
Thaddeus Shaw,FR,WR,,thaddeus-shaw-1
Caden Smith,FR,WR,,caden-smith-2
Devin Whitlock,FR,WR,,devin-whitlock-1
Gavin Bartholomew,JR,TE,18 Rec 326 Yds 18.1 Avg,gavin-bartholomew-1
Karter Johnson,SR,TE,12 Rec 175 Yds 14.6 Avg,karter-johnson-2
