Player,Class,Pos,Summary,Player-additional
JT Daniels,SR,QB,181 Cmp 287 Att 2443 Yds 21 TD,jt-daniels-1
AJ Padgett,FR,QB,71 Cmp 117 Att 721 Yds 8 TD,aj-padgett-1
Chase Jenkins,FR,QB,13 Cmp 19 Att 100 Yds 0 TD,chase-jenkins-1
Shawqi Itraish,FR,QB,2 Cmp 4 Att 19 Yds 0 TD,shawqi-itraish-1
Quinton Jackson,FR,RB,7 Att 25 Yds 3.6 Avg,quinton-jackson-1
Dean Connors,JR,RB,121 Att 771 Yds 6.4 Avg,dean-connors-1
Juma Otoviano,SR,RB,92 Att 326 Yds 3.5 Avg,juma-otoviano-1
Ari Broussard,SR,RB,29 Att 91 Yds 3.1 Avg,ari-broussard-1
Daelen Alexander,FR,RB,18 Att 35 Yds 1.9 Avg,daelen-alexander-1
Christian Francisco,SO,RB,1 Att 4 Yds 4.0 Avg,christian-francisco-1
Michael Amico,FR,RB,,michael-amico-1
Luke McCaffrey,JR,WR,71 Rec 992 Yds 14.0 Avg,luke-mccaffrey-1
Kobie Campbell,JR,WR,11 Rec 164 Yds 14.9 Avg,kobie-campbell-1
Braylen Walker,FR,WR,13 Rec 200 Yds 15.4 Avg,braylen-walker-1
Rawson MacNeill,SO,WR,26 Rec 379 Yds 14.6 Avg,rawson-macneill-1
Landon Ransom-Goelz,FR,WR,26 Rec 380 Yds 14.6 Avg,landon-ransom-goelz-1
Drayden Dickman,FR,WR,1 Rec -1 Yds -1.0 Avg,drayden-dickman-1
Matt Sykes,SR,WR,1 Rec 32 Yds 32.0 Avg,matt-sykes-1
Arden Napier,SO,WR,,arden-napier-1
Justin Williams Jr.,FR,WR,,justin-williams-jr-1
Jake Dragoo,FR,WR,,jake-dragoo-1
Ryan Guillo,FR,WR,,ryan-guillo-1
Tyson Thompson,JR,WR,,tyson-thompson-3
Jovoni Johnson,JR,TE,3 Rec 54 Yds 18.0 Avg,jovoni-johnson-1
Boden Groen,SO,TE,39 Rec 383 Yds 9.8 Avg,boden-groen-1
Jack Bradley,SR,TE,8 Rec 94 Yds 11.8 Avg,jack-bradley-1
