Player,Class,Pos,Summary,Player-additional
Gavin Wimsatt,JR,QB,138 Cmp 289 Att 1735 Yds 9 TD,gavin-wimsatt-1
Evan Simon,JR,QB,2 Cmp 3 Att 30 Yds 1 TD,evan-simon-1
Ajani Sheppard,FR,QB,2 Cmp 2 Att 23 Yds 0 TD,ajani-sheppard-1
Colin O'Sullivan,FR,QB,,colin-osullivan-1
Raeden Oliver,SO,QB,,raeden-oliver-1
Kyle Monangai,JR,RB,242 Att 1262 Yds 5.2 Avg,kyle-monangai-1
Samuel Brown V,SO,RB,63 Att 216 Yds 3.4 Avg,samuel-brown-v-1
Ja'shon Benjamin,FR,RB,45 Att 172 Yds 3.8 Avg,jashon-benjamin-1
Aaron Young,SR,RB,16 Att 94 Yds 5.9 Avg,aaron-young-5
Charlie Barth,SO,RB,,charlie-barth-1
Donovan Delaney,SO,RB,,donovan-delaney-1
Jordan Kinsler,JR,RB,,jordan-kinsler-1
Christian Dremel,SR,WR,36 Rec 468 Yds 13.0 Avg,christian-dremel-1
Isaiah Washington,SR,WR,25 Rec 321 Yds 12.8 Avg,isaiah-washington-2
JaQuae Jackson,SR,WR,22 Rec 361 Yds 16.4 Avg,jaquae-jackson-1
Ian Strong,FR,WR,16 Rec 230 Yds 14.4 Avg,ian-strong-1
Chris Long,JR,WR,2 Rec 28 Yds 14.0 Avg,chris-long-3
Jesse Ofurie,FR,WR,2 Rec 11 Yds 5.5 Avg,jesse-ofurie-1
Famah Toure,FR,WR,2 Rec 24 Yds 12.0 Avg,famah-toure-1
Dylan Braithwaite,FR,WR,1 Rec 10 Yds 10.0 Avg,dylan-braithwaite-1
Max Patterson,JR,WR,1 Rec 5 Yds 5.0 Avg,max-patterson-1
Davoun Fuse,FR,WR,,davoun-fuse-1
Deondre Johnson,FR,WR,,deondre-johnson-2
Nasir Montgomery,JR,WR,,nasir-montgomery-1
Rashad Rochelle,SO,WR,,rashad-rochelle-1
Gunnison Bloodgood,JR,WR,,gunnison-bloodgood-1
Naseim Brantley,SR,WR,,naseim-brantley-1
Bryce Kissi,SO,WR,,bryce-kissi-1
Vilay Nakkoun Jr.,FR,WR,,vilay-nakkoun-jr-1
Ben Rosenblatt,FR,WR,,ben-rosenblatt-1
Jordan Smikle,SO,WR,,jordan-smikle-1
Johnny Langan,SR,TE,14 Rec 121 Yds 8.6 Avg,johnny-langan-1
Shawn Bowman,SR,TE,4 Rec 24 Yds 6.0 Avg,shawn-bowman-2
Mike Higgins,SO,TE,,mike-higgins-4
Victor Konopka,JR,TE,,victor-konopka-1
Jordan Walker,SO,TE,,jordan-walker-1
Logan Blake,FR,TE,,logan-blake-1
Q'yaeir Price,SO,TE,,qyaeir-price-1
Evan Ward,JR,TE,,evan-ward-2
Kwabena Asamoah,SO,OL,,kwabena-asamoah-1
Ireland Brown,SR,OL,,ireland-brown-1
Dantae Chin,SO,OL,,dantae-chin-1
Mike Ciaffoni,SR,OL,,mike-ciaffoni-1
Curtis Dunlap Jr.,SR,OL,,curtis-dunlap-jr-1
Bryan Felter,JR,OL,,bryan-felter-1
Kamar Missouri,JR,OL,,kamar-missouri-1
Tyler Needham,JR,OL,,tyler-needham-1
Hollin Pierce,JR,OL,,hollin-pierce-1
Terrence Salami,JR,OL,,terrence-salami-1
Reggie Sutton,SR,OL,,reggie-sutton-3
Taj White,SO,OL,,taj-white-1
Gus Zilinskas,JR,OL,,gus-zilinskas-1
Jacob Allen,SO,OL,,jacob-allen-2
Nick Ciaffoni,SO,OL,,nick-ciaffoni-1
Joe De Croce,SO,OL,,joe-de-croce-1
Moses Gbagebe-Sowah,JR,OL,,moses-gbagebe-sowah-1
Cole Kozlowski,FR,OL,,cole-kozlowski-1
Nick Oliveira,FR,OL,,nick-oliveira-1
Dominic Rivera,FR,OL,,dominic-rivera-1
Hunter Seubert,FR,OL,,hunter-seubert-1
Emir Stinette,SO,OL,,emir-stinette-1
John Stone,FR,OL,,john-stone-3
Mozell Williams,FR,OL,,mozell-williams-1
Jude McAtamney,SR,K,,jude-mcatamney-1
Jai Patel,SO,K,,jai-patel-1
Michael Hartshorn,FR,K,,michael-hartshorn-1
Riley McCann,FR,K,,riley-mccann-1
Mayan Ahanotu,SR,DL,,mayan-ahanotu-1
DJ Allen,SO,DL,,dj-allen-3
Zaire Angoy,JR,DL,,zaire-angoy-1
Wesley Bailey,JR,DL,,wesley-bailey-2
